config,problem_id,seed,theoretical_effective_bits,actual_effective_bits,python_tensor_storage_bytes,sink_tokens_final,recent_tokens_final,packed_history_tokens_final,pending_tokens_final,assignment_storage,V_gate_storage,metadata_bits
fp16,0,42,16.0,16.0,503840768,0,0,0,0,0,0,0
fp16,0,43,16.0,16.0,1507196928,0,0,0,0,0,0,0
fp16,0,44,16.0,16.0,356777984,0,0,0,0,0,0,0
fp16,1,42,16.0,16.0,3023437824,0,0,0,0,0,0,0
fp16,1,43,16.0,16.0,2462842880,0,0,0,0,0,0,0
fp16,1,44,16.0,16.0,3245735936,0,0,0,0,0,0,0
fp16,2,42,16.0,16.0,2559705088,0,0,0,0,0,0,0
fp16,2,43,16.0,16.0,2553151488,0,0,0,0,0,0,0
fp16,2,44,16.0,16.0,2627338240,0,0,0,0,0,0,0
fp16,3,42,16.0,16.0,1579810816,0,0,0,0,0,0,0
fp16,3,43,16.0,16.0,4308336640,0,0,0,0,0,0,0
fp16,3,44,16.0,16.0,1754005504,0,0,0,0,0,0,0
fp16,4,42,16.0,16.0,2761162752,0,0,0,0,0,0,0
fp16,4,43,16.0,16.0,818675712,0,0,0,0,0,0,0
fp16,4,44,16.0,16.0,866779136,0,0,0,0,0,0,0
fp16,5,42,16.0,16.0,1764229120,0,0,0,0,0,0,0
fp16,5,43,16.0,16.0,1847721984,0,0,0,0,0,0,0
fp16,5,44,16.0,16.0,1351483392,0,0,0,0,0,0,0
fp16,6,42,16.0,16.0,1624244224,0,0,0,0,0,0,0
fp16,6,43,16.0,16.0,1016070144,0,0,0,0,0,0,0
fp16,6,44,16.0,16.0,2007498752,0,0,0,0,0,0,0
fp16,7,42,16.0,16.0,2265317376,0,0,0,0,0,0,0
fp16,7,43,16.0,16.0,2347892736,0,0,0,0,0,0,0
fp16,7,44,16.0,16.0,920649728,0,0,0,0,0,0,0
fp16,8,42,16.0,16.0,432668672,0,0,0,0,0,0,0
fp16,8,43,16.0,16.0,456261632,0,0,0,0,0,0,0
fp16,8,44,16.0,16.0,523632640,0,0,0,0,0,0,0
fp16,9,42,16.0,16.0,453115904,0,0,0,0,0,0,0
fp16,9,43,16.0,16.0,551550976,0,0,0,0,0,0,0
fp16,9,44,16.0,16.0,793509888,0,0,0,0,0,0,0
fp16,10,42,16.0,16.0,3072196608,0,0,0,0,0,0,0
