config,problem_id,seed,runtime_error,runtime_error_message,parser_failure,length_truncated,stop_reason,parsed_answer,path
fp16,3,43,False,,True,True,length,,results/aime24_full30_3seed/fp16/p03_s1_seed43_909e22f046490779.json
fp16,13,43,False,,False,True,length,272,results/aime24_full30_3seed/fp16/p13_s1_seed43_909e22f046490779.json
fp16,21,42,False,,False,True,length,12,results/aime24_full30_3seed/fp16/p21_s0_seed42_909e22f046490779.json
fp16,21,43,False,,True,True,length,,results/aime24_full30_3seed/fp16/p21_s1_seed43_909e22f046490779.json
patternkv_paper,2,44,False,,True,True,length,,results/aime24_full30_3seed/patternkv_paper/p02_s2_seed44_ec97dfe97d0fa0b4.json
patternkv_paper,4,42,False,,False,True,length,289,results/aime24_full30_3seed/patternkv_paper/p04_s0_seed42_ec97dfe97d0fa0b4.json
patternkv_paper,4,44,False,,False,True,length,289,results/aime24_full30_3seed/patternkv_paper/p04_s2_seed44_ec97dfe97d0fa0b4.json
patternkv_paper,5,44,False,,False,True,length,21,results/aime24_full30_3seed/patternkv_paper/p05_s2_seed44_ec97dfe97d0fa0b4.json
patternkv_paper,11,42,False,,True,True,length,,results/aime24_full30_3seed/patternkv_paper/p11_s0_seed42_ec97dfe97d0fa0b4.json
patternkv_paper,12,44,False,,False,True,length,600,results/aime24_full30_3seed/patternkv_paper/p12_s2_seed44_ec97dfe97d0fa0b4.json
patternkv_paper,15,42,False,,False,True,length,234,results/aime24_full30_3seed/patternkv_paper/p15_s0_seed42_ec97dfe97d0fa0b4.json
patternkv_paper,20,43,False,,False,True,length,17,results/aime24_full30_3seed/patternkv_paper/p20_s1_seed43_ec97dfe97d0fa0b4.json
patternkv_paper,20,44,False,,False,True,length,27,results/aime24_full30_3seed/patternkv_paper/p20_s2_seed44_ec97dfe97d0fa0b4.json
patternkv_paper,21,42,False,,False,True,length,12,results/aime24_full30_3seed/patternkv_paper/p21_s0_seed42_ec97dfe97d0fa0b4.json
patternkv_paper,21,43,False,,True,True,length,,results/aime24_full30_3seed/patternkv_paper/p21_s1_seed43_ec97dfe97d0fa0b4.json
patternkv_paper,22,42,False,,True,True,length,,results/aime24_full30_3seed/patternkv_paper/p22_s0_seed42_ec97dfe97d0fa0b4.json
patternkv_paper,23,43,False,,True,True,length,,results/aime24_full30_3seed/patternkv_paper/p23_s1_seed43_ec97dfe97d0fa0b4.json
patternkv_paper,23,44,False,,False,True,length,10,results/aime24_full30_3seed/patternkv_paper/p23_s2_seed44_ec97dfe97d0fa0b4.json
patternkv_paper,25,42,False,,True,True,length,,results/aime24_full30_3seed/patternkv_paper/p25_s0_seed42_ec97dfe97d0fa0b4.json
patternkv_paper,25,43,False,,True,True,length,,results/aime24_full30_3seed/patternkv_paper/p25_s1_seed43_ec97dfe97d0fa0b4.json
patternkv_paper,27,42,False,,True,True,length,,results/aime24_full30_3seed/patternkv_paper/p27_s0_seed42_ec97dfe97d0fa0b4.json
patternkv_paper,29,42,False,,True,True,length,,results/aime24_full30_3seed/patternkv_paper/p29_s0_seed42_ec97dfe97d0fa0b4.json
pattern_rolling_s0_r128,1,42,False,,True,True,length,,results/aime24_full30_3seed/pattern_rolling_s0_r128/p01_s0_seed42_1cf2aba55ad8c129.json
pattern_rolling_s0_r128,4,42,False,,False,True,length,256,results/aime24_full30_3seed/pattern_rolling_s0_r128/p04_s0_seed42_1cf2aba55ad8c129.json
pattern_rolling_s0_r128,4,44,False,,False,True,length,17,results/aime24_full30_3seed/pattern_rolling_s0_r128/p04_s2_seed44_1cf2aba55ad8c129.json
pattern_rolling_s0_r128,5,43,False,,False,True,length,115,results/aime24_full30_3seed/pattern_rolling_s0_r128/p05_s1_seed43_1cf2aba55ad8c129.json
pattern_rolling_s0_r128,19,42,False,,False,True,length,2,results/aime24_full30_3seed/pattern_rolling_s0_r128/p19_s0_seed42_1cf2aba55ad8c129.json
pattern_rolling_s0_r128,19,43,False,,False,True,length,2,results/aime24_full30_3seed/pattern_rolling_s0_r128/p19_s1_seed43_1cf2aba55ad8c129.json
pattern_rolling_s0_r128,23,43,False,,False,True,length,999,results/aime24_full30_3seed/pattern_rolling_s0_r128/p23_s1_seed43_1cf2aba55ad8c129.json
pattern_rolling_s0_r128,26,43,False,,True,True,length,,results/aime24_full30_3seed/pattern_rolling_s0_r128/p26_s1_seed43_1cf2aba55ad8c129.json
pattern_rolling_s0_r128,27,43,False,,False,True,length,7,results/aime24_full30_3seed/pattern_rolling_s0_r128/p27_s1_seed43_1cf2aba55ad8c129.json
pattern_rolling_s0_r128,29,43,False,,False,True,length,25,results/aime24_full30_3seed/pattern_rolling_s0_r128/p29_s1_seed43_1cf2aba55ad8c129.json
kivi_paper,2,42,False,,True,True,length,,results/aime24_full30_3seed/kivi_paper/p02_s0_seed42_e99edf567737e063.json
kivi_paper,5,43,False,,True,True,length,,results/aime24_full30_3seed/kivi_paper/p05_s1_seed43_e99edf567737e063.json
kivi_paper,10,44,False,,False,True,length,9,results/aime24_full30_3seed/kivi_paper/p10_s2_seed44_e99edf567737e063.json
kivi_paper,12,43,False,,True,True,length,,results/aime24_full30_3seed/kivi_paper/p12_s1_seed43_e99edf567737e063.json
kivi_paper,15,43,False,,True,True,length,,results/aime24_full30_3seed/kivi_paper/p15_s1_seed43_e99edf567737e063.json
kivi_paper,19,44,False,,False,True,length,2,results/aime24_full30_3seed/kivi_paper/p19_s2_seed44_e99edf567737e063.json
kivi_paper,21,43,False,,True,True,length,,results/aime24_full30_3seed/kivi_paper/p21_s1_seed43_e99edf567737e063.json
kivi_paper,22,42,False,,False,True,length,18,results/aime24_full30_3seed/kivi_paper/p22_s0_seed42_e99edf567737e063.json
kivi_paper,23,42,False,,True,True,length,,results/aime24_full30_3seed/kivi_paper/p23_s0_seed42_e99edf567737e063.json
kivi_paper,23,43,False,,True,True,length,,results/aime24_full30_3seed/kivi_paper/p23_s1_seed43_e99edf567737e063.json
kivi_paper,23,44,False,,False,True,length,2,results/aime24_full30_3seed/kivi_paper/p23_s2_seed44_e99edf567737e063.json
kivi_paper,25,42,False,,True,True,length,,results/aime24_full30_3seed/kivi_paper/p25_s0_seed42_e99edf567737e063.json
kivi_paper,26,44,False,,True,True,length,,results/aime24_full30_3seed/kivi_paper/p26_s2_seed44_e99edf567737e063.json
kivi_paper,27,44,False,,True,True,length,,results/aime24_full30_3seed/kivi_paper/p27_s2_seed44_e99edf567737e063.json
kivi_paper,29,43,False,,True,True,length,,results/aime24_full30_3seed/kivi_paper/p29_s1_seed43_e99edf567737e063.json
kivi_rolling_s0_r128,2,42,False,,True,True,length,,results/aime24_full30_3seed/kivi_rolling_s0_r128/p02_s0_seed42_244c1b7195ce11a5.json
kivi_rolling_s0_r128,5,43,False,,True,True,length,,results/aime24_full30_3seed/kivi_rolling_s0_r128/p05_s1_seed43_244c1b7195ce11a5.json
kivi_rolling_s0_r128,10,44,False,,False,True,length,9,results/aime24_full30_3seed/kivi_rolling_s0_r128/p10_s2_seed44_244c1b7195ce11a5.json
kivi_rolling_s0_r128,12,43,False,,True,True,length,,results/aime24_full30_3seed/kivi_rolling_s0_r128/p12_s1_seed43_244c1b7195ce11a5.json
kivi_rolling_s0_r128,15,43,False,,True,True,length,,results/aime24_full30_3seed/kivi_rolling_s0_r128/p15_s1_seed43_244c1b7195ce11a5.json
kivi_rolling_s0_r128,19,44,False,,False,True,length,2,results/aime24_full30_3seed/kivi_rolling_s0_r128/p19_s2_seed44_244c1b7195ce11a5.json
kivi_rolling_s0_r128,21,43,False,,True,True,length,,results/aime24_full30_3seed/kivi_rolling_s0_r128/p21_s1_seed43_244c1b7195ce11a5.json
kivi_rolling_s0_r128,22,42,False,,False,True,length,18,results/aime24_full30_3seed/kivi_rolling_s0_r128/p22_s0_seed42_244c1b7195ce11a5.json
kivi_rolling_s0_r128,23,42,False,,True,True,length,,results/aime24_full30_3seed/kivi_rolling_s0_r128/p23_s0_seed42_244c1b7195ce11a5.json
kivi_rolling_s0_r128,23,43,False,,True,True,length,,results/aime24_full30_3seed/kivi_rolling_s0_r128/p23_s1_seed43_244c1b7195ce11a5.json
kivi_rolling_s0_r128,23,44,False,,False,True,length,2,results/aime24_full30_3seed/kivi_rolling_s0_r128/p23_s2_seed44_244c1b7195ce11a5.json
kivi_rolling_s0_r128,25,42,False,,True,True,length,,results/aime24_full30_3seed/kivi_rolling_s0_r128/p25_s0_seed42_244c1b7195ce11a5.json
kivi_rolling_s0_r128,26,44,False,,True,True,length,,results/aime24_full30_3seed/kivi_rolling_s0_r128/p26_s2_seed44_244c1b7195ce11a5.json
kivi_rolling_s0_r128,27,44,False,,True,True,length,,results/aime24_full30_3seed/kivi_rolling_s0_r128/p27_s2_seed44_244c1b7195ce11a5.json
kivi_rolling_s0_r128,29,43,False,,True,True,length,,results/aime24_full30_3seed/kivi_rolling_s0_r128/p29_s1_seed43_244c1b7195ce11a5.json
kivi_rolling_s16_r128,6,43,False,,False,True,length,3,results/aime24_full30_3seed/kivi_rolling_s16_r128/p06_s1_seed43_ce95dc2db37175dd.json
kivi_rolling_s16_r128,26,43,False,,False,True,length,734,results/aime24_full30_3seed/kivi_rolling_s16_r128/p26_s1_seed43_ce95dc2db37175dd.json
kivi_rolling_s16_r128,27,44,False,,False,True,length,7,results/aime24_full30_3seed/kivi_rolling_s16_r128/p27_s2_seed44_ce95dc2db37175dd.json
