comparison_name,problem_id,baseline,candidate,baseline_correct_count,candidate_correct_count,delta_correct_count,classification
pattern_paper_to_s16,0,patternkv_paper,pattern_rolling_s16_r128,3,2,-1,SEED_SENSITIVE
pattern_paper_to_s16,1,patternkv_paper,pattern_rolling_s16_r128,0,0,0,NO_CHANGE
pattern_paper_to_s16,2,patternkv_paper,pattern_rolling_s16_r128,0,0,0,NO_CHANGE
pattern_paper_to_s16,3,patternkv_paper,pattern_rolling_s16_r128,0,0,0,NO_CHANGE
pattern_paper_to_s16,4,patternkv_paper,pattern_rolling_s16_r128,1,3,2,STABLE_RESCUE
pattern_paper_to_s16,5,patternkv_paper,pattern_rolling_s16_r128,1,2,1,PARTIAL_RESCUE
pattern_paper_to_s16,6,patternkv_paper,pattern_rolling_s16_r128,2,3,1,PARTIAL_RESCUE
pattern_paper_to_s16,7,patternkv_paper,pattern_rolling_s16_r128,2,3,1,PARTIAL_RESCUE
pattern_paper_to_s16,8,patternkv_paper,pattern_rolling_s16_r128,2,3,1,PARTIAL_RESCUE
pattern_paper_to_s16,9,patternkv_paper,pattern_rolling_s16_r128,3,3,0,NO_CHANGE
pattern_paper_to_s16,10,patternkv_paper,pattern_rolling_s16_r128,0,0,0,NO_CHANGE
pattern_paper_to_s16,11,patternkv_paper,pattern_rolling_s16_r128,1,2,1,PARTIAL_RESCUE
pattern_paper_to_s16,12,patternkv_paper,pattern_rolling_s16_r128,1,3,2,STABLE_RESCUE
pattern_paper_to_s16,13,patternkv_paper,pattern_rolling_s16_r128,0,1,1,PARTIAL_RESCUE
pattern_paper_to_s16,14,patternkv_paper,pattern_rolling_s16_r128,0,1,1,PARTIAL_RESCUE
pattern_paper_to_s16,15,patternkv_paper,pattern_rolling_s16_r128,0,1,1,PARTIAL_RESCUE
pattern_paper_to_s16,16,patternkv_paper,pattern_rolling_s16_r128,0,0,0,NO_CHANGE
pattern_paper_to_s16,17,patternkv_paper,pattern_rolling_s16_r128,0,0,0,NO_CHANGE
pattern_paper_to_s16,18,patternkv_paper,pattern_rolling_s16_r128,1,3,2,STABLE_RESCUE
pattern_paper_to_s16,19,patternkv_paper,pattern_rolling_s16_r128,0,3,3,STABLE_RESCUE
pattern_paper_to_s16,20,patternkv_paper,pattern_rolling_s16_r128,0,0,0,NO_CHANGE
pattern_paper_to_s16,21,patternkv_paper,pattern_rolling_s16_r128,0,0,0,NO_CHANGE
pattern_paper_to_s16,22,patternkv_paper,pattern_rolling_s16_r128,1,0,-1,SEED_SENSITIVE
pattern_paper_to_s16,23,patternkv_paper,pattern_rolling_s16_r128,0,1,1,PARTIAL_RESCUE
pattern_paper_to_s16,24,patternkv_paper,pattern_rolling_s16_r128,2,3,1,PARTIAL_RESCUE
pattern_paper_to_s16,25,patternkv_paper,pattern_rolling_s16_r128,0,2,2,STABLE_RESCUE
pattern_paper_to_s16,26,patternkv_paper,pattern_rolling_s16_r128,1,1,0,SEED_SENSITIVE
pattern_paper_to_s16,27,patternkv_paper,pattern_rolling_s16_r128,0,1,1,PARTIAL_RESCUE
pattern_paper_to_s16,28,patternkv_paper,pattern_rolling_s16_r128,0,0,0,NO_CHANGE
pattern_paper_to_s16,29,patternkv_paper,pattern_rolling_s16_r128,0,0,0,NO_CHANGE
pattern_paper_to_s0,0,patternkv_paper,pattern_rolling_s0_r128,3,3,0,NO_CHANGE
