method,base_seed,mean_generated_tokens,median_generated_tokens,p90_generated_tokens,p95_generated_tokens,max_generated_tokens,correct_mean_generated_tokens,incorrect_mean_generated_tokens
FP16,42,13611.433333333332,11860.5,21458.500000000007,27025.54999999998,32768.0,9571.625,18228.35714285714
FP16,43,13008.566666666668,10684.5,25642.70000000001,32768.0,32768.0,7974.153846153846,16858.41176470588
FP16,44,14171.766666666666,12932.5,23982.700000000008,30445.549999999985,32768.0,8962.5625,20125.14285714286
PATTERN_BASE,42,13504.6,12961.5,20476.4,27853.99999999997,32768.0,7539.090909090909,16958.315789473683
PATTERN_BASE,43,13555.5,10886.5,24410.000000000004,29513.14999999998,32768.0,6924.3,16871.1
PATTERN_BASE,44,14472.033333333333,12489.5,26722.8,30204.799999999985,32768.0,8660.90909090909,17836.36842105263
RANDOM_V4_25,42,13293.066666666668,12058.5,26156.100000000002,30793.399999999987,32768.0,6421.545454545455,17271.315789473683
RANDOM_V4_25,43,15622.933333333332,13383.5,32768.0,32768.0,32768.0,10492.181818181818,18593.36842105263
RANDOM_V4_25,44,13099.433333333332,13063.5,19344.9,25635.699999999975,32768.0,9080.142857142857,16616.3125
CAUSAL_V4_25,42,13184.366666666667,12596.0,21558.2,28716.649999999972,32768.0,10580.125,16160.642857142857
CAUSAL_V4_25,43,14227.566666666668,12952.5,27058.40000000001,32768.0,32768.0,7649.4,20805.733333333334
CAUSAL_V4_25,44,14057.366666666667,14327.5,23412.40000000001,31597.09999999999,32768.0,9542.214285714286,18008.125
