backend_method,base_seed,config_name,correct,effective_kv_bits_per_element,effective_seed,error,experiment_id,formal_config_hash,formal_key,generated_token_sha256,generated_tokens,generation_config_hash,git_commit,gold_answer,gpu_name,length_truncated,logical_gpu,method,method_config_hash,model_identity,nan_inf_detected,parse_status,parsed_answer,parser_strategy,peak_memory_allocated_bytes,peak_memory_reserved_bytes,phase,physical_gpu,problem_id,prompt_tokens,raw_generation_path,raw_generation_sha256,runtime_seconds,sample_id,selector_task_key,status,stop_reason,timestamp,tokens_per_second,total_tokens,v4_realized_fraction
patternkv,42,pattern_rolling_k2v2_s16_r128_causal_v4_b025,True,2.50048828125,42,,aime24_full_causal25_quality_formal,35fdc9fe0d9dda5e,CAUSAL_V4_25:seed42:p00,78ccb6c348d7995fac6f36ce9b99c69e46ed68239d3e360194564d13c2c36ab4,2379,fda7c0ebafea3955,e3fe0d3df798f3b0c0b86035be3539a4feb4681b,204,NVIDIA GeForce RTX 3090,False,cuda:0,CAUSAL_V4_25,df086b3089b7912d,DeepSeek-R1-Distill-Llama-8B,False,parsed,204,boxed,16282065920,16401825792,formal,4,0,154,reports/aime24_full_causal25_quality_4gpu/raw_generations/formal/CAUSAL_V4_25/seed42/p00.txt,2c6c36dd0f8ee12b739d04be0247e03ded45193ced45ed265d857822f01d2130,268.9265,0,aime24:p0:s0:seed42,completed,eos,2026-08-10T08:29:41.278920+00:00,8.8463,2533,0.25
patternkv,42,pattern_rolling_k2v2_s16_r128_causal_v4_b025,False,2.50048828125,1042,,aime24_full_causal25_quality_formal,35fdc9fe0d9dda5e,CAUSAL_V4_25:seed42:p01,220356c39f7e99f274f9d1c9205d7ec87788e2354ef584f10da262fc594a06a4,32768,fda7c0ebafea3955,e3fe0d3df798f3b0c0b86035be3539a4feb4681b,113,NVIDIA GeForce RTX 3090,True,cuda:0,CAUSAL_V4_25,df086b3089b7912d,DeepSeek-R1-Distill-Llama-8B,False,parsed,36,tail_integer,18237939200,18530435072,formal,4,1,128,reports/aime24_full_causal25_quality_4gpu/raw_generations/formal/CAUSAL_V4_25/seed42/p01.txt,6d1f95f1cb9a52706938c3d3fae7363f8f6c6fcb1a23871745842f711ab05fd8,4948.6656,0,aime24:p1:s0:seed1042,completed,length,2026-08-10T09:52:10.123221+00:00,6.6216,32896,0.25
patternkv,42,pattern_rolling_k2v2_s16_r128_causal_v4_b025,False,2.50048828125,2042,,aime24_full_causal25_quality_formal,35fdc9fe0d9dda5e,CAUSAL_V4_25:seed42:p02,5a5e2b84f09d855b5987d04a6d53e764ce7b7d4f7ad7fe5f0d0e488d0cec52a3,11352,fda7c0ebafea3955,e3fe0d3df798f3b0c0b86035be3539a4feb4681b,371,NVIDIA GeForce RTX 3090,False,cuda:0,CAUSAL_V4_25,df086b3089b7912d,DeepSeek-R1-Distill-Llama-8B,False,parsed,9,boxed,16859734528,18530435072,formal,4,2,98,reports/aime24_full_causal25_quality_4gpu/raw_generations/formal/CAUSAL_V4_25/seed42/p02.txt,a51e6cd6295fcf24a47d0f13aa8fc9f1c3f5631c07c0235cebfcc43dfef9159b,1322.8721,0,aime24:p2:s0:seed2042,completed,eos,2026-08-10T10:14:13.078901+00:00,8.5813,11450,0.25
patternkv,42,pattern_rolling_k2v2_s16_r128_causal_v4_b025,False,2.50048828125,3042,,aime24_full_causal25_quality_formal,35fdc9fe0d9dda5e,CAUSAL_V4_25:seed42:p03,2bf09d5252276cf0a41f445e99c85cfc49b91c1015cd279236273ef152e66af4,12029,fda7c0ebafea3955,e3fe0d3df798f3b0c0b86035be3539a4feb4681b,385,NVIDIA GeForce RTX 3090,False,cuda:0,CAUSAL_V4_25,df086b3089b7912d,DeepSeek-R1-Distill-Llama-8B,False,parsed,16,boxed,16901006336,18530435072,formal,4,3,103,reports/aime24_full_causal25_quality_4gpu/raw_generations/formal/CAUSAL_V4_25/seed42/p03.txt,e2389c577891bdabde4943d51df7d05b8526b012ac00cf1f2238a318e38d8010,1414.3083,0,aime24:p3:s0:seed3042,completed,eos,2026-08-10T10:37:47.472025+00:00,8.5052,12132,0.25
patternkv,42,pattern_rolling_k2v2_s16_r128_causal_v4_b025,True,2.50048828125,4042,,aime24_full_causal25_quality_formal,35fdc9fe0d9dda5e,CAUSAL_V4_25:seed42:p04,688d46929ff14acb00e26d4658b7168cc95c5f84d7efc72ad19a8104da19b92b,21313,fda7c0ebafea3955,e3fe0d3df798f3b0c0b86035be3539a4feb4681b,110,NVIDIA GeForce RTX 3090,False,cuda:0,CAUSAL_V4_25,df086b3089b7912d,DeepSeek-R1-Distill-Llama-8B,False,parsed,110,boxed,17503459328,18530435072,formal,4,4,87,reports/aime24_full_causal25_quality_4gpu/raw_generations/formal/CAUSAL_V4_25/seed42/p04.txt,d4b842da024b0067dfa928c034e0fb602dfcb12227acd291cf765d4a0dcf5786,2699.0536,0,aime24:p4:s0:seed4042,completed,eos,2026-08-10T11:22:46.650769+00:00,7.8965,21400,0.25
patternkv,42,pattern_rolling_k2v2_s16_r128_causal_v4_b025,True,2.50048828125,5042,,aime24_full_causal25_quality_formal,35fdc9fe0d9dda5e,CAUSAL_V4_25:seed42:p05,9f97913f39da187832f1202e67d4b444d031ad8f3cabcba3c1db3dcd9509354d,23765,fda7c0ebafea3955,e3fe0d3df798f3b0c0b86035be3539a4feb4681b,104,NVIDIA GeForce RTX 3090,False,cuda:0,CAUSAL_V4_25,df086b3089b7912d,DeepSeek-R1-Distill-Llama-8B,False,parsed,104,boxed,17660254208,18532532224,formal,4,5,171,reports/aime24_full_causal25_quality_4gpu/raw_generations/formal/CAUSAL_V4_25/seed42/p05.txt,d4095c16792fd8ecb53fb8f9dd54da4fe937aa023f0f509fc1caf866b97c9366,3154.2886,0,aime24:p5:s0:seed5042,completed,eos,2026-08-10T12:15:21.081231+00:00,7.5342,23936,0.25
patternkv,42,pattern_rolling_k2v2_s16_r128_causal_v4_b025,True,2.50048828125,6042,,aime24_full_causal25_quality_formal,35fdc9fe0d9dda5e,CAUSAL_V4_25:seed42:p06,910281c4ed5b58f0345d361dcde3eacdb277e7cb95a175e079023d9b50800ab0,8697,fda7c0ebafea3955,e3fe0d3df798f3b0c0b86035be3539a4feb4681b,721,NVIDIA GeForce RTX 3090,False,cuda:0,CAUSAL_V4_25,df086b3089b7912d,DeepSeek-R1-Distill-Llama-8B,False,parsed,721,boxed,16686436864,18532532224,formal,4,6,117,reports/aime24_full_causal25_quality_4gpu/raw_generations/formal/CAUSAL_V4_25/seed42/p06.txt,b7b52200f39157d8896ea425736d16bc8d72b5ee58e5a0d9e82f0fe5c04933ed,1079.6926,0,aime24:p6:s0:seed6042,completed,eos,2026-08-10T12:33:20.840695+00:00,8.0551,8814,0.25
patternkv,42,pattern_rolling_k2v2_s16_r128_causal_v4_b025,True,2.50048828125,7042,,aime24_full_causal25_quality_formal,35fdc9fe0d9dda5e,CAUSAL_V4_25:seed42:p07,70f25b67c33e8a482e2b0bc590f1aef34c855e125b33384ebf25a8db2dbd4ae4,2141,fda7c0ebafea3955,e3fe0d3df798f3b0c0b86035be3539a4feb4681b,25,NVIDIA GeForce RTX 3090,False,cuda:0,CAUSAL_V4_25,df086b3089b7912d,DeepSeek-R1-Distill-Llama-8B,False,parsed,25,boxed,16265542144,18532532224,formal,4,7,71,reports/aime24_full_causal25_quality_4gpu/raw_generations/formal/CAUSAL_V4_25/seed42/p07.txt,aae1c90617c41055f1d775dcfd7be5b3a4cf1d9e20a9c10732fc175a4d152f0b,234.545,0,aime24:p7:s0:seed7042,completed,eos,2026-08-10T12:37:15.418190+00:00,9.1283,2212,0.25
patternkv,42,pattern_rolling_k2v2_s16_r128_causal_v4_b025,True,2.50048828125,8042,,aime24_full_causal25_quality_formal,35fdc9fe0d9dda5e,CAUSAL_V4_25:seed42:p08,10327791acbd05854bfb361fe1073330cf8701a9cf27f63876963ca099cf17b5,9894,fda7c0ebafea3955,e3fe0d3df798f3b0c0b86035be3539a4feb4681b,809,NVIDIA GeForce RTX 3090,False,cuda:0,CAUSAL_V4_25,df086b3089b7912d,DeepSeek-R1-Distill-Llama-8B,False,parsed,809,boxed,16768963584,18532532224,formal,4,8,118,reports/aime24_full_causal25_quality_4gpu/raw_generations/formal/CAUSAL_V4_25/seed42/p08.txt,57923b7bd13508b88114a389202cbbf541035286d04c36c7756cc8dd6772017b,1160.109,0,aime24:p8:s0:seed8042,completed,eos,2026-08-10T12:56:35.602108+00:00,8.5285,10012,0.25
patternkv,42,pattern_rolling_k2v2_s16_r128_causal_v4_b025,True,2.50048828125,9042,,aime24_full_causal25_quality_formal,35fdc9fe0d9dda5e,CAUSAL_V4_25:seed42:p09,92b9a8b90f7e4266c075d07b7aff7d8a34e3cdce19be7f86653b4a160da2e82b,2592,fda7c0ebafea3955,e3fe0d3df798f3b0c0b86035be3539a4feb4681b,116,NVIDIA GeForce RTX 3090,False,cuda:0,CAUSAL_V4_25,df086b3089b7912d,DeepSeek-R1-Distill-Llama-8B,False,parsed,116,boxed,16298554880,18532532224,formal,4,9,146,reports/aime24_full_causal25_quality_4gpu/raw_generations/formal/CAUSAL_V4_25/seed42/p09.txt,99bfebca5c0ea95d5f25c6c4b2fb2073ff25114ed5f9c5cfa924403835d48c72,295.3684,0,aime24:p9:s0:seed9042,completed,eos,2026-08-10T13:01:31.005120+00:00,8.7755,2738,0.25
