method,base_seed,correct,total,accuracy
FP16,42,16,30,0.5333333333333333
FP16,43,13,30,0.43333333333333335
FP16,44,16,30,0.5333333333333333
PATTERN_BASE,42,11,30,0.36666666666666664
PATTERN_BASE,43,10,30,0.3333333333333333
PATTERN_BASE,44,11,30,0.36666666666666664
RANDOM_V4_25,42,11,30,0.36666666666666664
RANDOM_V4_25,43,11,30,0.36666666666666664
RANDOM_V4_25,44,14,30,0.4666666666666667
CAUSAL_V4_25,42,16,30,0.5333333333333333
CAUSAL_V4_25,43,15,30,0.5
CAUSAL_V4_25,44,14,30,0.4666666666666667
