method,base_seed,effective_seed,problem_id,selector_task_key,layer,v4_tokens,total_tokens,fraction,generation_config_hash,formal_config_hash
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,0,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,1,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,2,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,3,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,4,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,5,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,6,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,7,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,8,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,9,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,10,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,11,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
CAUSAL_V4_25,42,42,0,aime24:p0:s0:seed42,12,576,2304,0.25,fda7c0ebafea3955,35fdc9fe0d9dda5e
