backend,decode_position,k_assignment_disagreement_rate,layer,task_key,v_assignment_disagreement_rate,v_gate_disagreement_rate
production,128,0.0,0,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,1,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,2,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,3,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,4,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,5,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,6,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,7,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,8,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,9,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,10,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,11,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,12,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,13,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,14,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,15,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,16,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,17,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,18,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,19,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,20,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,21,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,22,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,23,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,24,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,25,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,26,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,27,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,28,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,29,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,30,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,31,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,0,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0009765625,1,aime24:p12:s0:seed12042,0.00048828125,0.00048828125
production,256,0.0,2,aime24:p12:s0:seed12042,0.0,0.00048828125
production,256,0.00048828125,3,aime24:p12:s0:seed12042,0.00048828125,0.0
production,256,0.0,4,aime24:p12:s0:seed12042,0.0009765625,0.0009765625
production,256,0.00048828125,5,aime24:p12:s0:seed12042,0.00146484375,0.00146484375
production,256,0.00048828125,6,aime24:p12:s0:seed12042,0.00048828125,0.00048828125
production,256,0.0,7,aime24:p12:s0:seed12042,0.0029296875,0.0009765625
production,256,0.0,8,aime24:p12:s0:seed12042,0.00146484375,0.00146484375
production,256,0.00048828125,9,aime24:p12:s0:seed12042,0.00244140625,0.0
production,256,0.001953125,10,aime24:p12:s0:seed12042,0.00390625,0.00146484375
production,256,0.00146484375,11,aime24:p12:s0:seed12042,0.0029296875,0.0009765625
production,256,0.0,12,aime24:p12:s0:seed12042,0.00146484375,0.00244140625
production,256,0.0009765625,13,aime24:p12:s0:seed12042,0.0029296875,0.0
production,256,0.00048828125,14,aime24:p12:s0:seed12042,0.0009765625,0.0009765625
production,256,0.00048828125,15,aime24:p12:s0:seed12042,0.001953125,0.0009765625
production,256,0.0,16,aime24:p12:s0:seed12042,0.001953125,0.0009765625
production,256,0.0009765625,17,aime24:p12:s0:seed12042,0.00244140625,0.00146484375
production,256,0.00146484375,18,aime24:p12:s0:seed12042,0.00048828125,0.0029296875
production,256,0.001953125,19,aime24:p12:s0:seed12042,0.00048828125,0.0009765625
production,256,0.0,20,aime24:p12:s0:seed12042,0.001953125,0.0009765625
production,256,0.00146484375,21,aime24:p12:s0:seed12042,0.0009765625,0.001953125
production,256,0.0009765625,22,aime24:p12:s0:seed12042,0.0009765625,0.00048828125
production,256,0.00048828125,23,aime24:p12:s0:seed12042,0.001953125,0.00146484375
production,256,0.0009765625,24,aime24:p12:s0:seed12042,0.00244140625,0.00146484375
production,256,0.00146484375,25,aime24:p12:s0:seed12042,0.00244140625,0.00048828125
production,256,0.00048828125,26,aime24:p12:s0:seed12042,0.005859375,0.00048828125
production,256,0.001953125,27,aime24:p12:s0:seed12042,0.00244140625,0.00048828125
production,256,0.00048828125,28,aime24:p12:s0:seed12042,0.00244140625,0.00048828125
production,256,0.001953125,29,aime24:p12:s0:seed12042,0.00244140625,0.00048828125
production,256,0.00146484375,30,aime24:p12:s0:seed12042,0.00390625,0.00048828125
production,256,0.00048828125,31,aime24:p12:s0:seed12042,0.00244140625,0.00146484375
production,512,0.0,0,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.000732421875,1,aime24:p12:s0:seed12042,0.0009765625,0.000244140625
production,512,0.000732421875,2,aime24:p12:s0:seed12042,0.00244140625,0.00146484375
production,512,0.003173828125,3,aime24:p12:s0:seed12042,0.01220703125,0.0048828125
production,512,0.001708984375,4,aime24:p12:s0:seed12042,0.010498046875,0.005859375
production,512,0.003662109375,5,aime24:p12:s0:seed12042,0.0126953125,0.006591796875
production,512,0.003173828125,6,aime24:p12:s0:seed12042,0.020263671875,0.009765625
production,512,0.00634765625,7,aime24:p12:s0:seed12042,0.02392578125,0.0126953125
production,512,0.005859375,8,aime24:p12:s0:seed12042,0.025146484375,0.011962890625
production,512,0.0068359375,9,aime24:p12:s0:seed12042,0.029541015625,0.0146484375
production,512,0.010009765625,10,aime24:p12:s0:seed12042,0.031494140625,0.014892578125
production,512,0.01171875,11,aime24:p12:s0:seed12042,0.03369140625,0.02001953125
production,512,0.005859375,12,aime24:p12:s0:seed12042,0.0400390625,0.02490234375
production,512,0.0166015625,13,aime24:p12:s0:seed12042,0.03076171875,0.018798828125
production,512,0.01611328125,14,aime24:p12:s0:seed12042,0.030029296875,0.015380859375
production,512,0.01025390625,15,aime24:p12:s0:seed12042,0.0419921875,0.0185546875
production,512,0.007568359375,16,aime24:p12:s0:seed12042,0.0283203125,0.0185546875
production,512,0.00634765625,17,aime24:p12:s0:seed12042,0.039794921875,0.018310546875
production,512,0.00927734375,18,aime24:p12:s0:seed12042,0.030029296875,0.0126953125
production,512,0.0107421875,19,aime24:p12:s0:seed12042,0.031005859375,0.0126953125
production,512,0.01025390625,20,aime24:p12:s0:seed12042,0.035400390625,0.018310546875
production,512,0.012939453125,21,aime24:p12:s0:seed12042,0.0361328125,0.01611328125
production,512,0.01171875,22,aime24:p12:s0:seed12042,0.032470703125,0.014892578125
production,512,0.01171875,23,aime24:p12:s0:seed12042,0.0458984375,0.021240234375
production,512,0.01025390625,24,aime24:p12:s0:seed12042,0.0361328125,0.017578125
production,512,0.010986328125,25,aime24:p12:s0:seed12042,0.03466796875,0.0185546875
production,512,0.010009765625,26,aime24:p12:s0:seed12042,0.042236328125,0.021240234375
production,512,0.011962890625,27,aime24:p12:s0:seed12042,0.04150390625,0.01611328125
production,512,0.01416015625,28,aime24:p12:s0:seed12042,0.04443359375,0.018310546875
production,512,0.01318359375,29,aime24:p12:s0:seed12042,0.043212890625,0.01708984375
production,512,0.01220703125,30,aime24:p12:s0:seed12042,0.04931640625,0.013671875
production,512,0.010986328125,31,aime24:p12:s0:seed12042,0.02880859375,0.009765625
production,1024,0.0,0,aime24:p12:s0:seed12042,0.0,0.0
