backend,decode_position,k_assignment_disagreement_rate,layer,task_key,v_assignment_disagreement_rate,v_gate_disagreement_rate
production,128,0.0,0,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,1,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,2,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,3,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,4,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,5,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,6,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,7,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,8,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,9,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,10,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,11,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,12,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,13,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,14,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,15,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,16,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,17,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,18,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,19,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,20,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,21,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,22,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,23,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,24,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,25,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,26,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,27,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,28,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,29,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,30,aime24:p12:s0:seed12042,0.0,0.0
production,128,0.0,31,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,0,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,1,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,2,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,3,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,4,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,5,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,6,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,7,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,8,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,9,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,10,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,11,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,12,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,13,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,14,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,15,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,16,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,17,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,18,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,19,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,20,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,21,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,22,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,23,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,24,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,25,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,26,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,27,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,28,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,29,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,30,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,31,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,0,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,1,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,2,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,3,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,4,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,5,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,6,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,7,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,8,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,9,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,10,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,11,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,12,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,13,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,14,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,15,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,16,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,17,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,18,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,19,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,20,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,21,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,22,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,23,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,24,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,25,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,26,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,27,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,28,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,29,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,30,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,31,aime24:p12:s0:seed12042,0.0,0.0
production,1024,0.0,0,aime24:p12:s0:seed12042,0.0,0.0
production,1024,0.0,1,aime24:p12:s0:seed12042,0.0,0.0
production,1024,0.0,2,aime24:p12:s0:seed12042,0.0,0.0
production,1024,0.0,3,aime24:p12:s0:seed12042,0.0,0.0
production,1024,0.0,4,aime24:p12:s0:seed12042,0.0,0.0
production,1024,0.0,5,aime24:p12:s0:seed12042,0.0,0.0
production,1024,0.0,6,aime24:p12:s0:seed12042,0.0,0.0
production,1024,0.0,7,aime24:p12:s0:seed12042,0.0,0.0
production,1024,0.0,8,aime24:p12:s0:seed12042,0.0,0.0
production,1024,0.0,9,aime24:p12:s0:seed12042,0.0,0.0
production,1024,0.0,10,aime24:p12:s0:seed12042,0.0,0.0
production,1024,0.0,11,aime24:p12:s0:seed12042,0.0,0.0
production,1024,0.0,12,aime24:p12:s0:seed12042,0.0,0.0
production,1024,0.0,13,aime24:p12:s0:seed12042,0.0,0.0
production,1024,0.0,14,aime24:p12:s0:seed12042,0.0,0.0
production,1024,0.0,15,aime24:p12:s0:seed12042,0.0,0.0
