backend,decode_position,layer,reason,status,task_key
reference,128,0,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,7,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,15,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,23,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,31,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,256,0,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,256,7,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,256,15,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,256,23,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,256,31,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,512,0,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,512,7,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,512,15,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,512,23,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,512,31,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,1024,0,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,1024,7,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,1024,15,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,1024,23,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,1024,31,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,2048,0,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,2048,7,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,2048,15,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,2048,23,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,2048,31,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,4096,0,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,4096,7,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,4096,15,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,4096,23,attention tensors were not persisted by v3 harness,not_collected_in_reference_v3,aime24:p12:s0:seed12042
