backend,decode_position,layer,reason,status,task_key
reference,128,0,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,1,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,2,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,3,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,4,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,5,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,6,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,7,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,8,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,9,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,10,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,11,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,12,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,13,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,14,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,15,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,16,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,17,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,18,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,19,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,20,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,21,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,22,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,23,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,24,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,25,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,26,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,27,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,28,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,29,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,30,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,128,31,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,256,0,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,256,1,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,256,2,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,256,3,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,256,4,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,256,5,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,256,6,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,256,7,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,256,8,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,256,9,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,256,10,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,256,11,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,256,12,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,256,13,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
reference,256,14,v3 harness did not persist reconstructed KV tensors to avoid raw tensor dumps,not_collected_in_reference_v3,aime24:p12:s0:seed12042
