backend,decode_position,layer,task_key,v_gate_disagreement_rate
reference,128,0,aime24:p12:s0:seed12042,0.0
reference,128,1,aime24:p12:s0:seed12042,0.0
reference,128,2,aime24:p12:s0:seed12042,0.0
reference,128,3,aime24:p12:s0:seed12042,0.0
reference,128,4,aime24:p12:s0:seed12042,0.0
reference,128,5,aime24:p12:s0:seed12042,0.0
reference,128,6,aime24:p12:s0:seed12042,0.0
reference,128,7,aime24:p12:s0:seed12042,0.0
reference,128,8,aime24:p12:s0:seed12042,0.0
reference,128,9,aime24:p12:s0:seed12042,0.0
reference,128,10,aime24:p12:s0:seed12042,0.0
reference,128,11,aime24:p12:s0:seed12042,0.0
reference,128,12,aime24:p12:s0:seed12042,0.0
reference,128,13,aime24:p12:s0:seed12042,0.0
reference,128,14,aime24:p12:s0:seed12042,0.0
reference,128,15,aime24:p12:s0:seed12042,0.0
reference,128,16,aime24:p12:s0:seed12042,0.0
reference,128,17,aime24:p12:s0:seed12042,0.0
reference,128,18,aime24:p12:s0:seed12042,0.0
reference,128,19,aime24:p12:s0:seed12042,0.0
reference,128,20,aime24:p12:s0:seed12042,0.0
reference,128,21,aime24:p12:s0:seed12042,0.0
reference,128,22,aime24:p12:s0:seed12042,0.0
reference,128,23,aime24:p12:s0:seed12042,0.0
reference,128,24,aime24:p12:s0:seed12042,0.0
reference,128,25,aime24:p12:s0:seed12042,0.0
reference,128,26,aime24:p12:s0:seed12042,0.0
reference,128,27,aime24:p12:s0:seed12042,0.0
reference,128,28,aime24:p12:s0:seed12042,0.0
reference,128,29,aime24:p12:s0:seed12042,0.0
reference,128,30,aime24:p12:s0:seed12042,0.0
reference,128,31,aime24:p12:s0:seed12042,0.0
reference,256,0,aime24:p12:s0:seed12042,0.0
reference,256,1,aime24:p12:s0:seed12042,0.0
reference,256,2,aime24:p12:s0:seed12042,0.0
reference,256,3,aime24:p12:s0:seed12042,0.0
reference,256,4,aime24:p12:s0:seed12042,0.0
reference,256,5,aime24:p12:s0:seed12042,0.0
reference,256,6,aime24:p12:s0:seed12042,0.0
reference,256,7,aime24:p12:s0:seed12042,0.0
reference,256,8,aime24:p12:s0:seed12042,0.0
reference,256,9,aime24:p12:s0:seed12042,0.0
reference,256,10,aime24:p12:s0:seed12042,0.0
reference,256,11,aime24:p12:s0:seed12042,0.0
reference,256,12,aime24:p12:s0:seed12042,0.0
reference,256,13,aime24:p12:s0:seed12042,0.0
reference,256,14,aime24:p12:s0:seed12042,0.0
reference,256,15,aime24:p12:s0:seed12042,0.0
reference,256,16,aime24:p12:s0:seed12042,0.0
reference,256,17,aime24:p12:s0:seed12042,0.0
reference,256,18,aime24:p12:s0:seed12042,0.0
reference,256,19,aime24:p12:s0:seed12042,0.0
reference,256,20,aime24:p12:s0:seed12042,0.0
reference,256,21,aime24:p12:s0:seed12042,0.0
reference,256,22,aime24:p12:s0:seed12042,0.0
reference,256,23,aime24:p12:s0:seed12042,0.0
reference,256,24,aime24:p12:s0:seed12042,0.0
reference,256,25,aime24:p12:s0:seed12042,0.0
reference,256,26,aime24:p12:s0:seed12042,0.0
reference,256,27,aime24:p12:s0:seed12042,0.0
reference,256,28,aime24:p12:s0:seed12042,0.0
reference,256,29,aime24:p12:s0:seed12042,0.0
reference,256,30,aime24:p12:s0:seed12042,0.0
reference,256,31,aime24:p12:s0:seed12042,0.0
reference,512,0,aime24:p12:s0:seed12042,0.0
reference,512,1,aime24:p12:s0:seed12042,0.0
reference,512,2,aime24:p12:s0:seed12042,0.0
reference,512,3,aime24:p12:s0:seed12042,0.0
reference,512,4,aime24:p12:s0:seed12042,0.0
reference,512,5,aime24:p12:s0:seed12042,0.0
reference,512,6,aime24:p12:s0:seed12042,0.0
reference,512,7,aime24:p12:s0:seed12042,0.0
reference,512,8,aime24:p12:s0:seed12042,0.0
reference,512,9,aime24:p12:s0:seed12042,0.0
reference,512,10,aime24:p12:s0:seed12042,0.0
reference,512,11,aime24:p12:s0:seed12042,0.0
reference,512,12,aime24:p12:s0:seed12042,0.0
reference,512,13,aime24:p12:s0:seed12042,0.0
reference,512,14,aime24:p12:s0:seed12042,0.0
reference,512,15,aime24:p12:s0:seed12042,0.0
reference,512,16,aime24:p12:s0:seed12042,0.0
reference,512,17,aime24:p12:s0:seed12042,0.0
reference,512,18,aime24:p12:s0:seed12042,0.0
reference,512,19,aime24:p12:s0:seed12042,0.0
reference,512,20,aime24:p12:s0:seed12042,0.0
reference,512,21,aime24:p12:s0:seed12042,0.0
reference,512,22,aime24:p12:s0:seed12042,0.0
reference,512,23,aime24:p12:s0:seed12042,0.0
reference,512,24,aime24:p12:s0:seed12042,0.0
reference,512,25,aime24:p12:s0:seed12042,0.0
