checkpoint,cosine,decode_position,kl_legacy_segmented,kl_segmented_legacy,layer,max_abs_error,metric_name,problem_id,relative_l2,relative_mse,sample_id,shape,symmetric_kl,task_key,token_count
128,1.000000238418579,128,0.0,0.0,0,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 192]",0.0,aime24:p12:s0:seed12042,6144
128,1.0000007152557373,128,0.0,0.0,7,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 192]",0.0,aime24:p12:s0:seed12042,6144
128,1.0000004768371582,128,0.0,0.0,15,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 192]",0.0,aime24:p12:s0:seed12042,6144
128,1.0000003576278687,128,0.0,0.0,23,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 192]",0.0,aime24:p12:s0:seed12042,6144
128,1.0000009536743164,128,0.0,0.0,31,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 192]",0.0,aime24:p12:s0:seed12042,6144
256,1.000001072883606,256,0.0,0.0,0,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 320]",0.0,aime24:p12:s0:seed12042,10240
256,1.0000015497207642,256,0.0,0.0,7,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 320]",0.0,aime24:p12:s0:seed12042,10240
256,1.0000011920928955,256,0.0,0.0,15,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 320]",0.0,aime24:p12:s0:seed12042,10240
256,1.0000019073486328,256,0.0,0.0,23,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 320]",0.0,aime24:p12:s0:seed12042,10240
256,1.0000022649765015,256,0.0,0.0,31,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 320]",0.0,aime24:p12:s0:seed12042,10240
512,1.0000014305114746,512,0.0,0.0,0,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 576]",0.0,aime24:p12:s0:seed12042,18432
512,1.000002384185791,512,0.0,0.0,7,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 576]",0.0,aime24:p12:s0:seed12042,18432
512,1.0000025033950806,512,0.0,0.0,15,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 576]",0.0,aime24:p12:s0:seed12042,18432
512,1.0000035762786865,512,0.0,0.0,23,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 576]",0.0,aime24:p12:s0:seed12042,18432
512,1.000003457069397,512,0.0,0.0,31,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 576]",0.0,aime24:p12:s0:seed12042,18432
1024,1.000003457069397,1024,0.0,0.0,0,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 1088]",0.0,aime24:p12:s0:seed12042,34816
1024,1.0000040531158447,1024,0.0,0.0,7,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 1088]",0.0,aime24:p12:s0:seed12042,34816
1024,1.0000051259994507,1024,0.0,0.0,15,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 1088]",0.0,aime24:p12:s0:seed12042,34816
1024,1.0000066757202148,1024,0.0,0.0,23,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 1088]",0.0,aime24:p12:s0:seed12042,34816
1024,1.0000053644180298,1024,0.0,0.0,31,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 1088]",0.0,aime24:p12:s0:seed12042,34816
2048,1.0000059604644775,2048,0.0,0.0,0,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 2112]",0.0,aime24:p12:s0:seed12042,67584
2048,1.0000065565109253,2048,0.0,0.0,7,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 2112]",0.0,aime24:p12:s0:seed12042,67584
2048,1.0000078678131104,2048,0.0,0.0,15,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 2112]",0.0,aime24:p12:s0:seed12042,67584
2048,1.0000100135803223,2048,0.0,0.0,23,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 2112]",0.0,aime24:p12:s0:seed12042,67584
2048,1.0000107288360596,2048,0.0,0.0,31,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 2112]",0.0,aime24:p12:s0:seed12042,67584
4096,1.0000125169754028,4096,0.0,0.0,0,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 4160]",0.0,aime24:p12:s0:seed12042,133120
4096,1.0000066757202148,4096,0.0,0.0,7,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 4160]",0.0,aime24:p12:s0:seed12042,133120
4096,1.000010371208191,4096,0.0,0.0,15,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 4160]",0.0,aime24:p12:s0:seed12042,133120
4096,1.0000107288360596,4096,0.0,0.0,23,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 4160]",0.0,aime24:p12:s0:seed12042,133120
4096,1.0000107288360596,4096,0.0,0.0,31,0.0,attention_probability,12,0.0,0.0,0,"[1, 32, 1, 4160]",0.0,aime24:p12:s0:seed12042,133120
128,1.0000005960464478,128,0.0,0.0,0,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 232]",0.0,aime24:p14:s0:seed14042,7424
128,1.0000004768371582,128,0.0,0.0,7,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 232]",0.0,aime24:p14:s0:seed14042,7424
128,1.0000009536743164,128,0.0,0.0,15,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 232]",0.0,aime24:p14:s0:seed14042,7424
128,1.0000005960464478,128,0.0,0.0,23,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 232]",0.0,aime24:p14:s0:seed14042,7424
128,1.0000007152557373,128,0.0,0.0,31,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 232]",0.0,aime24:p14:s0:seed14042,7424
256,1.0000009536743164,256,0.0,0.0,0,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 360]",0.0,aime24:p14:s0:seed14042,11520
256,1.0000017881393433,256,0.0,0.0,7,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 360]",0.0,aime24:p14:s0:seed14042,11520
256,1.0000008344650269,256,0.0,0.0,15,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 360]",0.0,aime24:p14:s0:seed14042,11520
256,1.0000003576278687,256,0.0,0.0,23,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 360]",0.0,aime24:p14:s0:seed14042,11520
256,1.000001072883606,256,0.0,0.0,31,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 360]",0.0,aime24:p14:s0:seed14042,11520
512,1.0000015497207642,512,0.0,0.0,0,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 616]",0.0,aime24:p14:s0:seed14042,19712
512,1.0000029802322388,512,0.0,0.0,7,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 616]",0.0,aime24:p14:s0:seed14042,19712
512,1.0000027418136597,512,0.0,0.0,15,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 616]",0.0,aime24:p14:s0:seed14042,19712
512,1.0000027418136597,512,0.0,0.0,23,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 616]",0.0,aime24:p14:s0:seed14042,19712
512,1.0000029802322388,512,0.0,0.0,31,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 616]",0.0,aime24:p14:s0:seed14042,19712
1024,1.0000032186508179,1024,0.0,0.0,0,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 1128]",0.0,aime24:p14:s0:seed14042,36096
1024,1.0000056028366089,1024,0.0,0.0,7,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 1128]",0.0,aime24:p14:s0:seed14042,36096
1024,1.0000076293945312,1024,0.0,0.0,15,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 1128]",0.0,aime24:p14:s0:seed14042,36096
1024,1.000005841255188,1024,0.0,0.0,23,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 1128]",0.0,aime24:p14:s0:seed14042,36096
1024,1.000006079673767,1024,0.0,0.0,31,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 1128]",0.0,aime24:p14:s0:seed14042,36096
2048,1.0000078678131104,2048,0.0,0.0,0,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 2152]",0.0,aime24:p14:s0:seed14042,68864
2048,1.0000097751617432,2048,0.0,0.0,7,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 2152]",0.0,aime24:p14:s0:seed14042,68864
2048,1.000011920928955,2048,0.0,0.0,15,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 2152]",0.0,aime24:p14:s0:seed14042,68864
2048,1.0000126361846924,2048,0.0,0.0,23,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 2152]",0.0,aime24:p14:s0:seed14042,68864
2048,1.0000118017196655,2048,0.0,0.0,31,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 2152]",0.0,aime24:p14:s0:seed14042,68864
4096,1.0000113248825073,4096,0.0,0.0,0,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 4200]",0.0,aime24:p14:s0:seed14042,134400
4096,1.0000121593475342,4096,0.0,0.0,7,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 4200]",0.0,aime24:p14:s0:seed14042,134400
4096,1.0000145435333252,4096,0.0,0.0,15,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 4200]",0.0,aime24:p14:s0:seed14042,134400
4096,1.000019907951355,4096,0.0,0.0,23,0.0,attention_probability,14,0.0,0.0,0,"[1, 32, 1, 4200]",0.0,aime24:p14:s0:seed14042,134400
