checkpoint,cosine,decode_position,layer,max_abs_error,metric_name,problem_id,relative_l2,relative_mse,sample_id,shape,task_key,token_count
128,1.0000003576278687,128,0,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 192]",aime24:p12:s0:seed12042,6144
128,1.0,128,7,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 192]",aime24:p12:s0:seed12042,6144
128,1.0,128,15,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 192]",aime24:p12:s0:seed12042,6144
128,1.0,128,23,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 192]",aime24:p12:s0:seed12042,6144
128,1.0,128,31,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 192]",aime24:p12:s0:seed12042,6144
256,0.9999998807907104,256,0,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 320]",aime24:p12:s0:seed12042,10240
256,1.0,256,7,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 320]",aime24:p12:s0:seed12042,10240
256,0.9999998211860657,256,15,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 320]",aime24:p12:s0:seed12042,10240
256,0.9999998807907104,256,23,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 320]",aime24:p12:s0:seed12042,10240
256,0.9999997615814209,256,31,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 320]",aime24:p12:s0:seed12042,10240
512,1.0,512,0,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 576]",aime24:p12:s0:seed12042,18432
512,1.0,512,7,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 576]",aime24:p12:s0:seed12042,18432
512,0.9999999403953552,512,15,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 576]",aime24:p12:s0:seed12042,18432
512,1.0000004768371582,512,23,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 576]",aime24:p12:s0:seed12042,18432
512,0.9999999403953552,512,31,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 576]",aime24:p12:s0:seed12042,18432
1024,1.0000003576278687,1024,0,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 1088]",aime24:p12:s0:seed12042,34816
1024,1.0000007152557373,1024,7,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 1088]",aime24:p12:s0:seed12042,34816
1024,0.9999998211860657,1024,15,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 1088]",aime24:p12:s0:seed12042,34816
1024,1.0000001192092896,1024,23,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 1088]",aime24:p12:s0:seed12042,34816
1024,1.000000238418579,1024,31,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 1088]",aime24:p12:s0:seed12042,34816
2048,1.000000238418579,2048,0,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 2112]",aime24:p12:s0:seed12042,67584
2048,1.000000238418579,2048,7,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 2112]",aime24:p12:s0:seed12042,67584
2048,1.0000001192092896,2048,15,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 2112]",aime24:p12:s0:seed12042,67584
2048,0.9999997615814209,2048,23,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 2112]",aime24:p12:s0:seed12042,67584
2048,0.9999992251396179,2048,31,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 2112]",aime24:p12:s0:seed12042,67584
4096,1.0000001192092896,4096,0,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 4160]",aime24:p12:s0:seed12042,133120
4096,0.999998927116394,4096,7,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 4160]",aime24:p12:s0:seed12042,133120
4096,0.999999463558197,4096,15,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 4160]",aime24:p12:s0:seed12042,133120
4096,0.9999993443489075,4096,23,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 4160]",aime24:p12:s0:seed12042,133120
4096,0.9999998807907104,4096,31,0.0,attention_score,12,0.0,0.0,0,"[1, 32, 1, 4160]",aime24:p12:s0:seed12042,133120
128,1.0000001192092896,128,0,0.0,attention_score,14,0.0,0.0,0,"[1, 32, 1, 232]",aime24:p14:s0:seed14042,7424
128,0.9999999403953552,128,7,0.0,attention_score,14,0.0,0.0,0,"[1, 32, 1, 232]",aime24:p14:s0:seed14042,7424
128,0.9999998807907104,128,15,0.0,attention_score,14,0.0,0.0,0,"[1, 32, 1, 232]",aime24:p14:s0:seed14042,7424
128,1.0000001192092896,128,23,0.0,attention_score,14,0.0,0.0,0,"[1, 32, 1, 232]",aime24:p14:s0:seed14042,7424
128,0.9999997615814209,128,31,0.0,attention_score,14,0.0,0.0,0,"[1, 32, 1, 232]",aime24:p14:s0:seed14042,7424
256,1.0000005960464478,256,0,0.0,attention_score,14,0.0,0.0,0,"[1, 32, 1, 360]",aime24:p14:s0:seed14042,11520
256,0.9999996423721313,256,7,0.0,attention_score,14,0.0,0.0,0,"[1, 32, 1, 360]",aime24:p14:s0:seed14042,11520
256,1.0000003576278687,256,15,0.0,attention_score,14,0.0,0.0,0,"[1, 32, 1, 360]",aime24:p14:s0:seed14042,11520
256,1.0000001192092896,256,23,0.0,attention_score,14,0.0,0.0,0,"[1, 32, 1, 360]",aime24:p14:s0:seed14042,11520
256,1.0000004768371582,256,31,0.0,attention_score,14,0.0,0.0,0,"[1, 32, 1, 360]",aime24:p14:s0:seed14042,11520
512,1.0000003576278687,512,0,0.0,attention_score,14,0.0,0.0,0,"[1, 32, 1, 616]",aime24:p14:s0:seed14042,19712
512,1.0000001192092896,512,7,0.0,attention_score,14,0.0,0.0,0,"[1, 32, 1, 616]",aime24:p14:s0:seed14042,19712
512,1.0000001192092896,512,15,0.0,attention_score,14,0.0,0.0,0,"[1, 32, 1, 616]",aime24:p14:s0:seed14042,19712
512,1.0000004768371582,512,23,0.0,attention_score,14,0.0,0.0,0,"[1, 32, 1, 616]",aime24:p14:s0:seed14042,19712
512,0.9999995231628418,512,31,0.0,attention_score,14,0.0,0.0,0,"[1, 32, 1, 616]",aime24:p14:s0:seed14042,19712
1024,1.000000238418579,1024,0,0.0,attention_score,14,0.0,0.0,0,"[1, 32, 1, 1128]",aime24:p14:s0:seed14042,36096
1024,0.9999988079071045,1024,7,0.0,attention_score,14,0.0,0.0,0,"[1, 32, 1, 1128]",aime24:p14:s0:seed14042,36096
1024,0.9999995231628418,1024,15,0.0,attention_score,14,0.0,0.0,0,"[1, 32, 1, 1128]",aime24:p14:s0:seed14042,36096
1024,0.9999997615814209,1024,23,0.0,attention_score,14,0.0,0.0,0,"[1, 32, 1, 1128]",aime24:p14:s0:seed14042,36096
1024,0.9999998211860657,1024,31,0.0,attention_score,14,0.0,0.0,0,"[1, 32, 1, 1128]",aime24:p14:s0:seed14042,36096
