checkpoint,cosine,decode_position,layer,max_abs_error,metric_name,problem_id,relative_l2,relative_mse,sample_id,shape,task_key,token_count
128,0.999999463558197,128,0,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
128,0.9999995231628418,128,7,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
128,0.9999998211860657,128,15,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
128,0.9999995827674866,128,23,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
128,0.9999996423721313,128,31,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
256,0.9999995827674866,256,0,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
256,0.9999997019767761,256,7,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
256,0.9999997615814209,256,15,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
256,0.9999997615814209,256,23,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
256,0.9999996423721313,256,31,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
512,0.9999995827674866,512,0,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
512,0.9999996423721313,512,7,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
512,0.9999997019767761,512,15,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
512,0.9999998211860657,512,23,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
512,0.9999998807907104,512,31,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
1024,0.9999995231628418,1024,0,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
1024,0.9999996423721313,1024,7,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
1024,0.9999992847442627,1024,15,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
1024,0.9999995827674866,1024,23,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
1024,0.9999995231628418,1024,31,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
2048,0.9999996423721313,2048,0,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
2048,0.9999998807907104,2048,7,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
2048,0.9999997019767761,2048,15,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
2048,0.9999998211860657,2048,23,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
2048,0.9999995231628418,2048,31,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
4096,0.9999995231628418,4096,0,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
4096,0.9999995231628418,4096,7,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
4096,0.9999997615814209,4096,15,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
4096,0.9999997019767761,4096,23,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
4096,0.9999998807907104,4096,31,0.0,query,12,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p12:s0:seed12042,4096
128,0.9999993443489075,128,0,0.0,query,14,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p14:s0:seed14042,4096
128,0.9999995231628418,128,7,0.0,query,14,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p14:s0:seed14042,4096
128,0.9999998211860657,128,15,0.0,query,14,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p14:s0:seed14042,4096
128,0.9999997019767761,128,23,0.0,query,14,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p14:s0:seed14042,4096
128,0.9999996423721313,128,31,0.0,query,14,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p14:s0:seed14042,4096
256,0.9999995231628418,256,0,0.0,query,14,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p14:s0:seed14042,4096
256,0.9999996423721313,256,7,0.0,query,14,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p14:s0:seed14042,4096
256,0.9999998211860657,256,15,0.0,query,14,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p14:s0:seed14042,4096
256,0.9999998211860657,256,23,0.0,query,14,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p14:s0:seed14042,4096
256,0.9999996423721313,256,31,0.0,query,14,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p14:s0:seed14042,4096
512,0.9999992251396179,512,0,0.0,query,14,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p14:s0:seed14042,4096
512,0.9999995827674866,512,7,0.0,query,14,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p14:s0:seed14042,4096
512,0.9999997019767761,512,15,0.0,query,14,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p14:s0:seed14042,4096
512,0.9999995231628418,512,23,0.0,query,14,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p14:s0:seed14042,4096
512,0.9999997019767761,512,31,0.0,query,14,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p14:s0:seed14042,4096
1024,0.9999994039535522,1024,0,0.0,query,14,0.0,0.0,0,"[1, 32, 1, 128]",aime24:p14:s0:seed14042,4096
