checkpoint,cosine,decode_position,layer,max_abs_error,metric_name,problem_id,relative_l2,relative_mse,sample_id,shape,task_key,token_count
128,0.999994158744812,128,0,0.0,reconstructed_k,12,0.0,0.0,0,"[1, 8, 192, 128]",aime24:p12:s0:seed12042,196608
128,0.9999944567680359,128,0,0.0,reconstructed_v,12,0.0,0.0,0,"[1, 8, 192, 128]",aime24:p12:s0:seed12042,196608
128,0.9999970197677612,128,7,0.0,reconstructed_k,12,0.0,0.0,0,"[1, 8, 192, 128]",aime24:p12:s0:seed12042,196608
128,0.9999925494194031,128,7,0.0,reconstructed_v,12,0.0,0.0,0,"[1, 8, 192, 128]",aime24:p12:s0:seed12042,196608
128,0.9999945163726807,128,15,0.0,reconstructed_k,12,0.0,0.0,0,"[1, 8, 192, 128]",aime24:p12:s0:seed12042,196608
128,0.9999939203262329,128,15,0.0,reconstructed_v,12,0.0,0.0,0,"[1, 8, 192, 128]",aime24:p12:s0:seed12042,196608
128,0.9999938607215881,128,23,0.0,reconstructed_k,12,0.0,0.0,0,"[1, 8, 192, 128]",aime24:p12:s0:seed12042,196608
128,0.9999864101409912,128,23,0.0,reconstructed_v,12,0.0,0.0,0,"[1, 8, 192, 128]",aime24:p12:s0:seed12042,196608
128,0.9999933242797852,128,31,0.0,reconstructed_k,12,0.0,0.0,0,"[1, 8, 192, 128]",aime24:p12:s0:seed12042,196608
128,0.9999944567680359,128,31,0.0,reconstructed_v,12,0.0,0.0,0,"[1, 8, 192, 128]",aime24:p12:s0:seed12042,196608
256,0.9999851584434509,256,0,0.0,reconstructed_k,12,0.0,0.0,0,"[1, 8, 320, 128]",aime24:p12:s0:seed12042,327680
256,0.9999970197677612,256,0,0.0,reconstructed_v,12,0.0,0.0,0,"[1, 8, 320, 128]",aime24:p12:s0:seed12042,327680
256,0.9999972581863403,256,7,0.0,reconstructed_k,12,0.0,0.0,0,"[1, 8, 320, 128]",aime24:p12:s0:seed12042,327680
256,0.9999909996986389,256,7,0.0,reconstructed_v,12,0.0,0.0,0,"[1, 8, 320, 128]",aime24:p12:s0:seed12042,327680
256,0.9999939799308777,256,15,0.0,reconstructed_k,12,0.0,0.0,0,"[1, 8, 320, 128]",aime24:p12:s0:seed12042,327680
256,0.9999982118606567,256,15,0.0,reconstructed_v,12,0.0,0.0,0,"[1, 8, 320, 128]",aime24:p12:s0:seed12042,327680
256,0.9999871253967285,256,23,0.0,reconstructed_k,12,0.0,0.0,0,"[1, 8, 320, 128]",aime24:p12:s0:seed12042,327680
256,0.9999858736991882,256,23,0.0,reconstructed_v,12,0.0,0.0,0,"[1, 8, 320, 128]",aime24:p12:s0:seed12042,327680
256,0.9999827146530151,256,31,0.0,reconstructed_k,12,0.0,0.0,0,"[1, 8, 320, 128]",aime24:p12:s0:seed12042,327680
256,0.9999903440475464,256,31,0.0,reconstructed_v,12,0.0,0.0,0,"[1, 8, 320, 128]",aime24:p12:s0:seed12042,327680
512,0.9999831318855286,512,0,0.0,reconstructed_k,12,0.0,0.0,0,"[1, 8, 576, 128]",aime24:p12:s0:seed12042,589824
512,0.9999903440475464,512,0,0.0,reconstructed_v,12,0.0,0.0,0,"[1, 8, 576, 128]",aime24:p12:s0:seed12042,589824
512,0.9999863505363464,512,7,0.0,reconstructed_k,12,0.0,0.0,0,"[1, 8, 576, 128]",aime24:p12:s0:seed12042,589824
512,0.9999775290489197,512,7,0.0,reconstructed_v,12,0.0,0.0,0,"[1, 8, 576, 128]",aime24:p12:s0:seed12042,589824
