backend,decode_position,k_assignment_disagreement_rate,layer,task_key,v_assignment_disagreement_rate,v_gate_disagreement_rate
production,128,,0,aime24:p12:s0:seed12042,,
production,128,,1,aime24:p12:s0:seed12042,,
production,128,,2,aime24:p12:s0:seed12042,,
production,128,,3,aime24:p12:s0:seed12042,,
production,128,,4,aime24:p12:s0:seed12042,,
production,128,,5,aime24:p12:s0:seed12042,,
production,128,,6,aime24:p12:s0:seed12042,,
production,128,,7,aime24:p12:s0:seed12042,,
production,128,,8,aime24:p12:s0:seed12042,,
production,128,,9,aime24:p12:s0:seed12042,,
production,128,,10,aime24:p12:s0:seed12042,,
production,128,,11,aime24:p12:s0:seed12042,,
production,128,,12,aime24:p12:s0:seed12042,,
production,128,,13,aime24:p12:s0:seed12042,,
production,128,,14,aime24:p12:s0:seed12042,,
production,128,,15,aime24:p12:s0:seed12042,,
production,128,,16,aime24:p12:s0:seed12042,,
production,128,,17,aime24:p12:s0:seed12042,,
production,128,,18,aime24:p12:s0:seed12042,,
production,128,,19,aime24:p12:s0:seed12042,,
production,128,,20,aime24:p12:s0:seed12042,,
production,128,,21,aime24:p12:s0:seed12042,,
production,128,,22,aime24:p12:s0:seed12042,,
production,128,,23,aime24:p12:s0:seed12042,,
production,128,,24,aime24:p12:s0:seed12042,,
production,128,,25,aime24:p12:s0:seed12042,,
production,128,,26,aime24:p12:s0:seed12042,,
production,128,,27,aime24:p12:s0:seed12042,,
production,128,,28,aime24:p12:s0:seed12042,,
production,128,,29,aime24:p12:s0:seed12042,,
production,128,,30,aime24:p12:s0:seed12042,,
production,128,,31,aime24:p12:s0:seed12042,,
production,256,0.0,0,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,1,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,2,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,3,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,4,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,5,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,6,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,7,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,8,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,9,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,10,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,11,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,12,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,13,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,14,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,15,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,16,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,17,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,18,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,19,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,20,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,21,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,22,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,23,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,24,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,25,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,26,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,27,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,28,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,29,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,30,aime24:p12:s0:seed12042,0.0,0.0
production,256,0.0,31,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.0,0,aime24:p12:s0:seed12042,0.0,0.0
production,512,0.03059895895421505,1,aime24:p12:s0:seed12042,0.0455729179084301,0.01953125
production,512,0.0543619804084301,2,aime24:p12:s0:seed12042,0.1080729141831398,0.0377604179084301
production,512,0.03059895895421505,3,aime24:p12:s0:seed12042,0.1767578125,0.0638020858168602
production,512,0.0328776054084301,4,aime24:p12:s0:seed12042,0.1832682341337204,0.0963541641831398
production,512,0.0670572891831398,5,aime24:p12:s0:seed12042,0.1848958283662796,0.08203125
production,512,0.0413411445915699,6,aime24:p12:s0:seed12042,0.203125,0.1175130233168602
production,512,0.048828125,7,aime24:p12:s0:seed12042,0.1959635466337204,0.1028645858168602
production,512,0.068359375,8,aime24:p12:s0:seed12042,0.2376302033662796,0.1298828125
production,512,0.0944010391831398,9,aime24:p12:s0:seed12042,0.240234375,0.1240234375
production,512,0.1116536483168602,10,aime24:p12:s0:seed12042,0.2490234375,0.1461588591337204
production,512,0.1217447891831398,11,aime24:p12:s0:seed12042,0.25,0.140625
production,512,0.0442708320915699,12,aime24:p12:s0:seed12042,0.2887369692325592,0.1555989533662796
production,512,0.134765625,13,aime24:p12:s0:seed12042,0.2506510317325592,0.1383463591337204
production,512,0.1468098908662796,14,aime24:p12:s0:seed12042,0.2259114533662796,0.1129557266831398
production,512,0.0862630233168602,15,aime24:p12:s0:seed12042,0.259765625,0.138671875
production,512,0.0826822891831398,16,aime24:p12:s0:seed12042,0.2076822966337204,0.1162109375
production,512,0.09765625,17,aime24:p12:s0:seed12042,0.2379557341337204,0.1389973908662796
production,512,0.095703125,18,aime24:p12:s0:seed12042,0.1891276091337204,0.0940755233168602
production,512,0.0794270858168602,19,aime24:p12:s0:seed12042,0.212890625,0.1126302108168602
production,512,0.08203125,20,aime24:p12:s0:seed12042,0.1927083283662796,0.1057942733168602
production,512,0.0927734375,21,aime24:p12:s0:seed12042,0.21875,0.0950520858168602
production,512,0.0966796875,22,aime24:p12:s0:seed12042,0.2073567658662796,0.1136067733168602
production,512,0.0911458358168602,23,aime24:p12:s0:seed12042,0.2259114533662796,0.115234375
production,512,0.0686848983168602,24,aime24:p12:s0:seed12042,0.2220052033662796,0.1070963516831398
production,512,0.0930989608168602,25,aime24:p12:s0:seed12042,0.2428385466337204,0.1048177108168602
production,512,0.0833333358168602,26,aime24:p12:s0:seed12042,0.2434895783662796,0.1100260391831398
production,512,0.0856119766831398,27,aime24:p12:s0:seed12042,0.2301432341337204,0.1142578125
production,512,0.0885416641831398,28,aime24:p12:s0:seed12042,0.2568359375,0.1048177108168602
production,512,0.0823567733168602,29,aime24:p12:s0:seed12042,0.224609375,0.1067708358168602
production,512,0.1067708358168602,30,aime24:p12:s0:seed12042,0.2496744841337204,0.103515625
production,512,0.068359375,31,aime24:p12:s0:seed12042,0.212890625,0.0859375
production,1024,0.0,0,aime24:p12:s0:seed12042,0.0,0.0
production,1024,0.0354352667927742,1,aime24:p12:s0:seed12042,0.0443638376891613,0.02008928544819355
production,1024,0.0654296875,2,aime24:p12:s0:seed12042,0.1117466539144516,0.0311104916036129
production,1024,0.044921875,3,aime24:p12:s0:seed12042,0.2137276828289032,0.0744977667927742
production,1024,0.0463169626891613,4,aime24:p12:s0:seed12042,0.2314453125,0.0979352667927742
production,1024,0.0634765625,5,aime24:p12:s0:seed12042,0.2045200914144516,0.0848214253783226
production,1024,0.0532924123108387,6,aime24:p12:s0:seed12042,0.275390625,0.1268136203289032
production,1024,0.064453125,7,aime24:p12:s0:seed12042,0.2653459906578064,0.125
production,1024,0.0696149542927742,8,aime24:p12:s0:seed12042,0.2985491156578064,0.1414620578289032
production,1024,0.1064453125,9,aime24:p12:s0:seed12042,0.3314732015132904,0.1700613796710968
production,1024,0.1266741007566452,10,aime24:p12:s0:seed12042,0.3376116156578064,0.1787109375
production,1024,0.1375558078289032,11,aime24:p12:s0:seed12042,0.3540736734867096,0.1720145046710968
production,1024,0.0552455373108387,12,aime24:p12:s0:seed12042,0.4136439859867096,0.1907087117433548
production,1024,0.1508091539144516,13,aime24:p12:s0:seed12042,0.3483538031578064,0.1792689710855484
production,1024,0.1668526828289032,14,aime24:p12:s0:seed12042,0.3271484375,0.1438337117433548
production,1024,0.1018415167927742,15,aime24:p12:s0:seed12042,0.3723493218421936,0.1770368367433548
production,1024,0.0954241082072258,16,aime24:p12:s0:seed12042,0.3161272406578064,0.150390625
production,1024,0.1083984375,17,aime24:p12:s0:seed12042,0.3549107015132904,0.1911272257566452
production,1024,0.1082589253783226,18,aime24:p12:s0:seed12042,0.2858538031578064,0.1303013414144516
production,1024,0.1071428582072258,19,aime24:p12:s0:seed12042,0.3246372640132904,0.1495535671710968
production,1024,0.1111886128783226,20,aime24:p12:s0:seed12042,0.3098493218421936,0.1442522257566452
production,1024,0.1268136203289032,21,aime24:p12:s0:seed12042,0.3297991156578064,0.1346261203289032
