backend,decode_position,k_assignment_tokens_match,k_centroid_count_match,k_centroid_max_abs_error,k_centroid_relative_l2,k_centroid_shape_legacy,k_centroid_shape_segmented,k_centroid_update_count_match,layer,legacy_cache_kind,legacy_k_assignment_tokens,legacy_k_centroid_count,legacy_k_centroid_update_count,legacy_packed_k_tokens,legacy_packed_v_tokens,legacy_pending_k_tokens,legacy_pending_v_tokens,legacy_recent_k_tokens,legacy_recent_v_tokens,legacy_sink_tokens,legacy_total_tokens,legacy_v_assignment_tokens,legacy_v_centroid_count,legacy_v_centroid_update_count,legacy_v_gate_tokens,packed_k_tokens_match,packed_v_tokens_match,pending_k_tokens_match,pending_v_tokens_match,recent_k_tokens_match,recent_v_tokens_match,segmented_cache_kind,segmented_k_assignment_tokens,segmented_k_centroid_count,segmented_k_centroid_update_count,segmented_packed_k_tokens,segmented_packed_v_tokens,segmented_pending_k_tokens,segmented_pending_v_tokens,segmented_recent_k_tokens,segmented_recent_v_tokens,segmented_sink_tokens,segmented_total_tokens,segmented_v_assignment_tokens,segmented_v_centroid_count,segmented_v_centroid_update_count,segmented_v_gate_tokens,sink_tokens_match,task_key,total_tokens_match,v_assignment_tokens_match,v_centroid_count_match,v_centroid_max_abs_error,v_centroid_relative_l2,v_centroid_shape_legacy,v_centroid_shape_segmented,v_centroid_update_count_match,v_gate_tokens_match
production,128,False,False,0.0,0.0,"[8, 33, 128]","[8, 32, 128]",False,0,legacy,128,33,1,128,128,0,0,64,64,0,192,128,33,1,128,False,False,False,False,False,False,segmented,0,32,0,0,0,64,64,128,128,0,192,0,32,0,0,True,aime24:p12:s0:seed12042,True,False,False,0.0,0.0,"[8, 33, 128]","[8, 32, 128]",False,False
production,128,False,False,0.0,0.0,"[8, 33, 128]","[8, 32, 128]",False,1,legacy,128,33,1,128,128,0,0,64,64,0,192,128,33,1,128,False,False,False,False,False,False,segmented,0,32,0,0,0,64,64,128,128,0,192,0,32,0,0,True,aime24:p12:s0:seed12042,True,False,False,0.0,0.0,"[8, 33, 128]","[8, 32, 128]",False,False
production,128,False,False,0.0,0.0,"[8, 33, 128]","[8, 32, 128]",False,2,legacy,128,33,1,128,128,0,0,64,64,0,192,128,33,1,128,False,False,False,False,False,False,segmented,0,32,0,0,0,64,64,128,128,0,192,0,32,0,0,True,aime24:p12:s0:seed12042,True,False,False,0.0,0.0,"[8, 33, 128]","[8, 32, 128]",False,False
production,128,False,False,0.0,0.0,"[8, 33, 128]","[8, 32, 128]",False,3,legacy,128,33,1,128,128,0,0,64,64,0,192,128,33,1,128,False,False,False,False,False,False,segmented,0,32,0,0,0,64,64,128,128,0,192,0,32,0,0,True,aime24:p12:s0:seed12042,True,False,False,0.0,0.0,"[8, 33, 128]","[8, 32, 128]",False,False
production,128,False,False,0.0,0.0,"[8, 33, 128]","[8, 32, 128]",False,4,legacy,128,33,1,128,128,0,0,64,64,0,192,128,33,1,128,False,False,False,False,False,False,segmented,0,32,0,0,0,64,64,128,128,0,192,0,32,0,0,True,aime24:p12:s0:seed12042,True,False,False,0.0,0.0,"[8, 33, 128]","[8, 32, 128]",False,False
production,128,False,False,0.0,0.0,"[8, 33, 128]","[8, 32, 128]",False,5,legacy,128,33,1,128,128,0,0,64,64,0,192,128,33,1,128,False,False,False,False,False,False,segmented,0,32,0,0,0,64,64,128,128,0,192,0,32,0,0,True,aime24:p12:s0:seed12042,True,False,False,0.0,0.0,"[8, 33, 128]","[8, 32, 128]",False,False
production,128,False,False,0.0,0.0,"[8, 33, 128]","[8, 32, 128]",False,6,legacy,128,33,1,128,128,0,0,64,64,0,192,128,33,1,128,False,False,False,False,False,False,segmented,0,32,0,0,0,64,64,128,128,0,192,0,32,0,0,True,aime24:p12:s0:seed12042,True,False,False,0.0,0.0,"[8, 33, 128]","[8, 32, 128]",False,False
production,128,False,False,0.0,0.0,"[8, 33, 128]","[8, 32, 128]",False,7,legacy,128,33,1,128,128,0,0,64,64,0,192,128,33,1,128,False,False,False,False,False,False,segmented,0,32,0,0,0,64,64,128,128,0,192,0,32,0,0,True,aime24:p12:s0:seed12042,True,False,False,0.0,0.0,"[8, 33, 128]","[8, 32, 128]",False,False
production,128,False,False,0.0,0.0,"[8, 33, 128]","[8, 32, 128]",False,8,legacy,128,33,1,128,128,0,0,64,64,0,192,128,33,1,128,False,False,False,False,False,False,segmented,0,32,0,0,0,64,64,128,128,0,192,0,32,0,0,True,aime24:p12:s0:seed12042,True,False,False,0.0,0.0,"[8, 33, 128]","[8, 32, 128]",False,False
production,128,False,False,0.0,0.0,"[8, 33, 128]","[8, 32, 128]",False,9,legacy,128,33,1,128,128,0,0,64,64,0,192,128,33,1,128,False,False,False,False,False,False,segmented,0,32,0,0,0,64,64,128,128,0,192,0,32,0,0,True,aime24:p12:s0:seed12042,True,False,False,0.0,0.0,"[8, 33, 128]","[8, 32, 128]",False,False
