comparison,task_key,event,left_stop,right_stop,left_generated_tokens,right_generated_tokens,left_correct,right_correct
Pattern legacy -> rolling,aime24:p12:s0:seed12042,SHORTER_SUCCESSFUL_REASONING,eos,eos,10991,8781,False,True
Pattern legacy -> rolling,aime24:p14:s0:seed14042,NO_CHANGE,eos,eos,11347,23163,False,False
Pattern legacy -> rolling,aime24:p15:s1:seed15043,NO_CHANGE,eos,eos,8261,10492,False,False
Pattern legacy -> rolling,aime24:p16:s0:seed16042,RESCUED_FROM_LENGTH_STOP,length,eos,32768,5574,False,True
Pattern legacy -> rolling,aime24:p11:s0:seed11042,NO_CHANGE,eos,eos,6353,6059,True,True
Pattern legacy -> rolling,aime24:p12:s1:seed12043,NO_CHANGE,eos,eos,5907,6798,True,True
Pattern legacy -> rolling,aime24:p6:s0:seed6042,NO_CHANGE,eos,eos,5306,15674,False,False
Pattern legacy -> rolling,aime24:p6:s1:seed6043,SHORTER_SUCCESSFUL_REASONING,eos,eos,10749,9772,False,True
Pattern legacy -> rolling,aime24:p0:s0:seed42,NO_CHANGE,eos,eos,6878,3248,True,True
Pattern legacy -> rolling,aime24:p11:s1:seed11043,NEW_LENGTH_FAILURE,eos,length,12598,32768,True,False
Pattern legacy -> rolling,aime24:p15:s0:seed15042,SHORTER_SUCCESSFUL_REASONING,eos,eos,13245,7401,False,True
Pattern legacy -> rolling,aime24:p17:s0:seed17042,NO_CHANGE,eos,eos,18616,15262,False,False
Pattern rolling -> S64/R256,aime24:p12:s0:seed12042,NO_CHANGE,eos,eos,8781,8789,True,True
Pattern rolling -> S64/R256,aime24:p14:s0:seed14042,SHORTER_SUCCESSFUL_REASONING,eos,eos,23163,9199,False,True
Pattern rolling -> S64/R256,aime24:p15:s1:seed15043,NO_CHANGE,eos,eos,10492,20151,False,False
Pattern rolling -> S64/R256,aime24:p16:s0:seed16042,NO_CHANGE,eos,eos,5574,8875,True,False
Pattern rolling -> S64/R256,aime24:p11:s0:seed11042,NO_CHANGE,eos,eos,6059,5579,True,True
Pattern rolling -> S64/R256,aime24:p12:s1:seed12043,NO_CHANGE,eos,eos,6798,5593,True,True
Pattern rolling -> S64/R256,aime24:p6:s0:seed6042,SHORTER_SUCCESSFUL_REASONING,eos,eos,15674,6262,False,True
Pattern rolling -> S64/R256,aime24:p6:s1:seed6043,NO_CHANGE,eos,eos,9772,18079,True,True
Pattern rolling -> S64/R256,aime24:p0:s0:seed42,NO_CHANGE,eos,eos,3248,3163,True,True
Pattern rolling -> S64/R256,aime24:p11:s1:seed11043,RESCUED_FROM_LENGTH_STOP,length,eos,32768,5184,False,True
Pattern rolling -> S64/R256,aime24:p15:s0:seed15042,NO_CHANGE,eos,eos,7401,16142,True,False
Pattern rolling -> S64/R256,aime24:p17:s0:seed17042,NO_CHANGE,eos,eos,15262,7924,False,False
Pattern K2V2 -> K4V2,aime24:p12:s0:seed12042,NO_CHANGE,eos,eos,8781,4030,True,True
Pattern K2V2 -> K4V2,aime24:p14:s0:seed14042,NO_CHANGE,eos,eos,23163,10672,False,False
Pattern K2V2 -> K4V2,aime24:p15:s1:seed15043,NO_CHANGE,eos,eos,10492,5438,False,False
Pattern K2V2 -> K4V2,aime24:p16:s0:seed16042,NO_CHANGE,eos,eos,5574,16298,True,False
Pattern K2V2 -> K4V2,aime24:p11:s0:seed11042,NO_CHANGE,eos,eos,6059,6207,True,True
Pattern K2V2 -> K4V2,aime24:p12:s1:seed12043,NO_CHANGE,eos,eos,6798,4042,True,True
Pattern K2V2 -> K4V2,aime24:p6:s0:seed6042,SHORTER_SUCCESSFUL_REASONING,eos,eos,15674,6222,False,True
Pattern K2V2 -> K4V2,aime24:p6:s1:seed6043,NO_CHANGE,eos,eos,9772,13906,True,True
Pattern K2V2 -> K4V2,aime24:p0:s0:seed42,NO_CHANGE,eos,eos,3248,2704,True,True
Pattern K2V2 -> K4V2,aime24:p11:s1:seed11043,RESCUED_FROM_LENGTH_STOP,length,eos,32768,4475,False,True
