method_group,task_key,S0_R128_correct,S64_R128_correct,S0_R256_correct,S64_R256_correct,S0_R128_answer,S64_R128_answer,S0_R256_answer,S64_R256_answer,S0_R128_tokens,S64_R128_tokens,S0_R256_tokens,S64_R256_tokens,S0_R128_stop,S64_R128_stop,S0_R256_stop,S64_R256_stop,causal_category
PatternKV,aime24:p12:s0:seed12042,True,True,True,True,540,540,540,540,8781,6372,26968,8789,eos,eos,eos,eos,ALWAYS_CORRECT
PatternKV,aime24:p14:s0:seed14042,False,False,False,True,240,80,240,480,23163,15049,17683,9199,eos,eos,eos,eos,COMBINATION_ONLY_RESCUE
PatternKV,aime24:p15:s1:seed15043,False,False,True,False,0,0,73,234,10492,17003,4320,20151,eos,eos,eos,eos,COMBINATION_REGRESSION
PatternKV,aime24:p16:s0:seed16042,True,True,False,False,468,468,456,52,5574,4341,16099,8875,eos,eos,eos,eos,COMBINATION_REGRESSION
PatternKV,aime24:p11:s0:seed11042,True,True,False,True,294,294,42,294,6059,3978,32768,5579,eos,eos,length,eos,MIXED_NONMONOTONIC
PatternKV,aime24:p12:s1:seed12043,True,True,False,True,540,540,36,540,6798,7516,6095,5593,eos,eos,eos,eos,MIXED_NONMONOTONIC
PatternKV,aime24:p6:s0:seed6042,False,True,True,True,281,721,721,721,15674,4966,6698,6262,eos,eos,eos,eos,BOTH_SINGLE_RESCUE
PatternKV,aime24:p6:s1:seed6043,True,False,False,True,721,723,681,721,9772,10369,16865,18079,eos,eos,eos,eos,MIXED_NONMONOTONIC
PatternKV,aime24:p0:s0:seed42,True,True,True,True,204,204,204,204,3248,3514,3252,3163,eos,eos,eos,eos,ALWAYS_CORRECT
PatternKV,aime24:p11:s1:seed11043,False,True,False,True,,294,588,294,32768,11451,5318,5184,length,eos,eos,eos,SINK_ONLY_RESCUE
PatternKV,aime24:p15:s0:seed15042,True,True,False,False,73,73,1,100,7401,8608,14855,16142,eos,eos,eos,eos,COMBINATION_REGRESSION
PatternKV,aime24:p17:s0:seed17042,False,False,False,False,6,201,4,7,15262,17468,15154,7924,eos,eos,eos,eos,ALWAYS_WRONG
KIVI,aime24:p12:s0:seed12042,False,True,True,True,343,540,540,540,14719,17650,9954,7383,eos,eos,eos,eos,BOTH_SINGLE_RESCUE
KIVI,aime24:p14:s0:seed14042,False,True,False,False,80,480,96,80,13032,11739,17839,5824,eos,eos,eos,eos,COMBINATION_REGRESSION
KIVI,aime24:p15:s1:seed15043,False,False,False,False,234,229,234,226,32768,9915,32768,14128,length,eos,length,eos,ALWAYS_WRONG
KIVI,aime24:p16:s0:seed16042,False,True,False,True,156,468,52,468,10397,16911,20248,7213,eos,eos,eos,eos,SINK_ONLY_RESCUE
KIVI,aime24:p11:s0:seed11042,False,True,False,True,441,294,140,294,9903,6870,15096,6761,eos,eos,eos,eos,SINK_ONLY_RESCUE
KIVI,aime24:p12:s1:seed12043,False,True,True,True,321,540,540,540,30129,5824,14710,20552,eos,eos,eos,eos,BOTH_SINGLE_RESCUE
KIVI,aime24:p6:s0:seed6042,False,True,False,True,137,721,673,721,11669,6858,10282,11874,eos,eos,eos,eos,SINK_ONLY_RESCUE
KIVI,aime24:p6:s1:seed6043,False,True,False,True,723,721,157,721,11818,18667,16557,10905,eos,eos,eos,eos,SINK_ONLY_RESCUE
KIVI,aime24:p0:s0:seed42,True,False,True,True,204,619,204,204,4108,11134,4765,2669,eos,eos,eos,eos,MIXED_NONMONOTONIC
KIVI,aime24:p11:s1:seed11043,True,False,False,False,294,147,147,147,6086,7335,5073,5125,eos,eos,eos,eos,COMBINATION_REGRESSION
KIVI,aime24:p15:s0:seed15042,False,False,False,False,234,234,234,203,22999,15421,32768,15684,eos,eos,length,eos,ALWAYS_WRONG
KIVI,aime24:p17:s0:seed17042,False,False,False,False,211,403,7,7,17189,17545,19993,12059,eos,eos,eos,eos,ALWAYS_WRONG
