method_group,task_key,event,S0_R128_stop,S64_R128_stop,S0_R256_stop,S64_R256_stop,S0_R128_tokens,S64_R128_tokens,S0_R256_tokens,S64_R256_tokens
PatternKV,aime24:p12:s0:seed12042,NO_CHANGE,eos,eos,eos,eos,8781,6372,26968,8789
PatternKV,aime24:p14:s0:seed14042,NO_CHANGE,eos,eos,eos,eos,23163,15049,17683,9199
PatternKV,aime24:p15:s1:seed15043,NO_CHANGE,eos,eos,eos,eos,10492,17003,4320,20151
PatternKV,aime24:p16:s0:seed16042,NO_CHANGE,eos,eos,eos,eos,5574,4341,16099,8875
PatternKV,aime24:p11:s0:seed11042,NEW_LENGTH_FAILURE,eos,eos,length,eos,6059,3978,32768,5579
PatternKV,aime24:p12:s1:seed12043,NO_CHANGE,eos,eos,eos,eos,6798,7516,6095,5593
PatternKV,aime24:p6:s0:seed6042,NO_CHANGE,eos,eos,eos,eos,15674,4966,6698,6262
PatternKV,aime24:p6:s1:seed6043,NO_CHANGE,eos,eos,eos,eos,9772,10369,16865,18079
PatternKV,aime24:p0:s0:seed42,NO_CHANGE,eos,eos,eos,eos,3248,3514,3252,3163
PatternKV,aime24:p11:s1:seed11043,SINK_RESCUED_LENGTH_STOP,length,eos,eos,eos,32768,11451,5318,5184
PatternKV,aime24:p15:s0:seed15042,NO_CHANGE,eos,eos,eos,eos,7401,8608,14855,16142
PatternKV,aime24:p17:s0:seed17042,NO_CHANGE,eos,eos,eos,eos,15262,17468,15154,7924
KIVI,aime24:p12:s0:seed12042,NO_CHANGE,eos,eos,eos,eos,14719,17650,9954,7383
KIVI,aime24:p14:s0:seed14042,NO_CHANGE,eos,eos,eos,eos,13032,11739,17839,5824
KIVI,aime24:p15:s1:seed15043,SINK_RESCUED_LENGTH_STOP,length,eos,length,eos,32768,9915,32768,14128
KIVI,aime24:p16:s0:seed16042,NO_CHANGE,eos,eos,eos,eos,10397,16911,20248,7213
KIVI,aime24:p11:s0:seed11042,NO_CHANGE,eos,eos,eos,eos,9903,6870,15096,6761
KIVI,aime24:p12:s1:seed12043,NO_CHANGE,eos,eos,eos,eos,30129,5824,14710,20552
KIVI,aime24:p6:s0:seed6042,NO_CHANGE,eos,eos,eos,eos,11669,6858,10282,11874
KIVI,aime24:p6:s1:seed6043,NO_CHANGE,eos,eos,eos,eos,11818,18667,16557,10905
KIVI,aime24:p0:s0:seed42,NO_CHANGE,eos,eos,eos,eos,4108,11134,4765,2669
KIVI,aime24:p11:s1:seed11043,NO_CHANGE,eos,eos,eos,eos,6086,7335,5073,5125
KIVI,aime24:p15:s0:seed15042,NEW_LENGTH_FAILURE,eos,eos,length,eos,22999,15421,32768,15684
KIVI,aime24:p17:s0:seed17042,NO_CHANGE,eos,eos,eos,eos,17189,17545,19993,12059
