task_key,PatternKV S0/R128 outcome,PatternKV S0/R128 generated_tokens,PatternKV S0/R128 stop_reason,PatternKV S0/R128 parsed_answer,PatternKV S64/R128 outcome,PatternKV S64/R128 generated_tokens,PatternKV S64/R128 stop_reason,PatternKV S64/R128 parsed_answer,PatternKV S0/R256 outcome,PatternKV S0/R256 generated_tokens,PatternKV S0/R256 stop_reason,PatternKV S0/R256 parsed_answer,PatternKV S64/R256 outcome,PatternKV S64/R256 generated_tokens,PatternKV S64/R256 stop_reason,PatternKV S64/R256 parsed_answer,KIVI S0/R128 outcome,KIVI S0/R128 generated_tokens,KIVI S0/R128 stop_reason,KIVI S0/R128 parsed_answer,KIVI S64/R128 outcome,KIVI S64/R128 generated_tokens,KIVI S64/R128 stop_reason,KIVI S64/R128 parsed_answer,KIVI S0/R256 outcome,KIVI S0/R256 generated_tokens,KIVI S0/R256 stop_reason,KIVI S0/R256 parsed_answer,KIVI S64/R256 outcome,KIVI S64/R256 generated_tokens,KIVI S64/R256 stop_reason,KIVI S64/R256 parsed_answer
aime24:p12:s0:seed12042,correct,8781,eos,540,correct,6372,eos,540,correct,26968,eos,540,correct,8789,eos,540,wrong,14719,eos,343,correct,17650,eos,540,correct,9954,eos,540,correct,7383,eos,540
aime24:p14:s0:seed14042,wrong,23163,eos,240,wrong,15049,eos,80,wrong,17683,eos,240,correct,9199,eos,480,wrong,13032,eos,80,correct,11739,eos,480,wrong,17839,eos,96,wrong,5824,eos,80
aime24:p15:s1:seed15043,wrong,10492,eos,0,wrong,17003,eos,0,correct,4320,eos,73,wrong,20151,eos,234,wrong,32768,length,234,wrong,9915,eos,229,wrong,32768,length,234,wrong,14128,eos,226
aime24:p16:s0:seed16042,correct,5574,eos,468,correct,4341,eos,468,wrong,16099,eos,456,wrong,8875,eos,52,wrong,10397,eos,156,correct,16911,eos,468,wrong,20248,eos,52,correct,7213,eos,468
aime24:p11:s0:seed11042,correct,6059,eos,294,correct,3978,eos,294,wrong,32768,length,42,correct,5579,eos,294,wrong,9903,eos,441,correct,6870,eos,294,wrong,15096,eos,140,correct,6761,eos,294
aime24:p12:s1:seed12043,correct,6798,eos,540,correct,7516,eos,540,wrong,6095,eos,36,correct,5593,eos,540,wrong,30129,eos,321,correct,5824,eos,540,correct,14710,eos,540,correct,20552,eos,540
aime24:p6:s0:seed6042,wrong,15674,eos,281,correct,4966,eos,721,correct,6698,eos,721,correct,6262,eos,721,wrong,11669,eos,137,correct,6858,eos,721,wrong,10282,eos,673,correct,11874,eos,721
aime24:p6:s1:seed6043,correct,9772,eos,721,wrong,10369,eos,723,wrong,16865,eos,681,correct,18079,eos,721,wrong,11818,eos,723,correct,18667,eos,721,wrong,16557,eos,157,correct,10905,eos,721
aime24:p0:s0:seed42,correct,3248,eos,204,correct,3514,eos,204,correct,3252,eos,204,correct,3163,eos,204,correct,4108,eos,204,wrong,11134,eos,619,correct,4765,eos,204,correct,2669,eos,204
aime24:p11:s1:seed11043,wrong,32768,length,,correct,11451,eos,294,wrong,5318,eos,588,correct,5184,eos,294,correct,6086,eos,294,wrong,7335,eos,147,wrong,5073,eos,147,wrong,5125,eos,147
aime24:p15:s0:seed15042,correct,7401,eos,73,correct,8608,eos,73,wrong,14855,eos,1,wrong,16142,eos,100,wrong,22999,eos,234,wrong,15421,eos,234,wrong,32768,length,234,wrong,15684,eos,203
aime24:p17:s0:seed17042,wrong,15262,eos,6,wrong,17468,eos,201,wrong,15154,eos,4,wrong,7924,eos,7,wrong,17189,eos,211,wrong,17545,eos,403,wrong,19993,eos,7,wrong,12059,eos,7
