config,task_key,generated_tokens,initial_k_centroid_mean,final_k_centroid_mean,initial_v_centroid_mean,final_v_centroid_mean,k_centroid_updates_total,v_centroid_updates_total,centroid_updates_per_generated_token,packed_k_tokens_mean,packed_v_tokens_mean,k_assignment_tokens_mean,v_assignment_tokens_mean,v_pattern_selected_total,v_pattern_rejected_total,v_pattern_selected_rate
pattern_rolling_k2v2_s0_r128,aime24:p0:s0:seed42,3248,32.0,57.0,32.0,57.0,800,800,0.49261083743842365,3200.0,3200.0,3200.0,3200.0,570383,248817,0.696268310546875
pattern_rolling_k2v2_s0_r128,aime24:p6:s0:seed6042,15674,32.0,154.0,32.0,154.0,3904,3904,0.49814980222023736,15616.0,15616.0,15616.0,15616.0,2919082,1078614,0.7301910900678791
pattern_rolling_k2v2_s0_r128,aime24:p6:s1:seed6043,9772,32.0,108.0,32.0,108.0,2432,2432,0.49774866966844045,9728.0,9728.0,9728.0,9728.0,1753568,736800,0.7041401110197368
pattern_rolling_k2v2_s0_r128,aime24:p11:s0:seed11042,6059,32.0,78.0,32.0,78.0,1472,1472,0.48588876052153823,5888.0,5888.0,5888.0,5888.0,1054234,453094,0.6994058360224185
pattern_rolling_k2v2_s0_r128,aime24:p11:s1:seed11043,32768,32.0,287.0,32.0,287.0,8160,8160,0.498046875,32640.0,32640.0,32640.0,32640.0,6873375,1482465,0.8225833668428308
pattern_rolling_k2v2_s0_r128,aime24:p12:s0:seed12042,8781,32.0,100.0,32.0,100.0,2176,2176,0.4956155335383214,8704.0,8704.0,8704.0,8704.0,1557271,670953,0.6988844030043658
pattern_rolling_k2v2_s0_r128,aime24:p12:s1:seed12043,6798,32.0,84.0,32.0,84.0,1664,1664,0.48955575169167403,6656.0,6656.0,6656.0,6656.0,1176107,527829,0.6902295626126803
pattern_rolling_k2v2_s0_r128,aime24:p14:s0:seed14042,23163,32.0,212.0,32.0,212.0,5760,5760,0.49734490350990807,23040.0,23040.0,23040.0,23040.0,4596324,1301916,0.7792704264322917
pattern_rolling_k2v2_s0_r128,aime24:p15:s0:seed15042,7401,32.0,89.0,32.0,89.0,1824,1824,0.4929063640048642,7296.0,7296.0,7296.0,7296.0,1368089,499687,0.7324695252535636
pattern_rolling_k2v2_s0_r128,aime24:p15:s1:seed15043,10492,32.0,113.0,32.0,113.0,2592,2592,0.4940907357987038,10368.0,10368.0,10368.0,10368.0,1995416,658792,0.7517933786651234
pattern_rolling_k2v2_s0_r128,aime24:p16:s0:seed16042,5574,32.0,75.0,32.0,75.0,1376,1376,0.4937208467886616,5504.0,5504.0,5504.0,5504.0,941950,467074,0.6685123887172965
pattern_rolling_k2v2_s0_r128,aime24:p17:s0:seed17042,15262,32.0,151.0,32.0,151.0,3808,3808,0.4990171668195518,15232.0,15232.0,15232.0,15232.0,2945753,953639,0.7554390530626313
pattern_rolling_k2v2_s64_r128,aime24:p0:s0:seed42,3514,32.0,59.0,32.0,59.0,864,864,0.491747296528173,3456.0,3456.0,3456.0,3456.0,600884,283852,0.6791675708912037
pattern_rolling_k2v2_s64_r128,aime24:p6:s0:seed6042,4966,32.0,70.0,32.0,70.0,1216,1216,0.4897301651228353,4864.0,4864.0,4864.0,4864.0,790404,454780,0.6347688373766447
pattern_rolling_k2v2_s64_r128,aime24:p6:s1:seed6043,10369,32.0,112.0,32.0,112.0,2560,2560,0.4937795351528595,10240.0,10240.0,10240.0,10240.0,1809201,812239,0.6901554107666016
pattern_rolling_k2v2_s64_r128,aime24:p11:s0:seed11042,3978,32.0,62.0,32.0,62.0,960,960,0.48265460030165913,3840.0,3840.0,3840.0,3840.0,635788,347252,0.6467569986979167
pattern_rolling_k2v2_s64_r128,aime24:p11:s1:seed11043,11451,32.0,120.0,32.0,120.0,2816,2816,0.4918347742555235,11264.0,11264.0,11264.0,11264.0,2064519,819065,0.7159559076482599
pattern_rolling_k2v2_s64_r128,aime24:p12:s0:seed12042,6372,32.0,80.0,32.0,80.0,1536,1536,0.4821092278719397,6144.0,6144.0,6144.0,6144.0,1031379,541485,0.6557331085205078
pattern_rolling_k2v2_s64_r128,aime24:p12:s1:seed12043,7516,32.0,89.0,32.0,89.0,1824,1824,0.48536455561468866,7296.0,7296.0,7296.0,7296.0,1253280,614496,0.6710012335526315
pattern_rolling_k2v2_s64_r128,aime24:p14:s0:seed14042,15049,32.0,148.0,32.0,148.0,3712,3712,0.49332181540301684,14848.0,14848.0,14848.0,14848.0,2756116,1044972,0.7250860806169181
pattern_rolling_k2v2_s64_r128,aime24:p15:s0:seed15042,8608,32.0,98.0,32.0,98.0,2112,2112,0.49070631970260226,8448.0,8448.0,8448.0,8448.0,1549416,613272,0.7164306640625
pattern_rolling_k2v2_s64_r128,aime24:p15:s1:seed15043,17003,32.0,164.0,32.0,164.0,4224,4224,0.4968534964418044,16896.0,16896.0,16896.0,16896.0,3245715,1079661,0.7503890991210938
pattern_rolling_k2v2_s64_r128,aime24:p16:s0:seed16042,4341,32.0,64.0,32.0,64.0,1024,1024,0.4717806956922368,4096.0,4096.0,4096.0,4096.0,658318,390258,0.6278209686279297
pattern_rolling_k2v2_s64_r128,aime24:p17:s0:seed17042,17468,32.0,167.0,32.0,167.0,4320,4320,0.49461873139455004,17280.0,17280.0,17280.0,17280.0,3257795,1165885,0.7364445439091435
pattern_rolling_k2v2_s0_r256,aime24:p0:s0:seed42,3252,32.0,56.0,32.0,56.0,768,768,0.47232472324723246,3072.0,3072.0,3072.0,3072.0,536228,250204,0.6818491617838541
pattern_rolling_k2v2_s0_r256,aime24:p6:s0:seed6042,6698,32.0,83.0,32.0,83.0,1632,1632,0.4873096446700508,6528.0,6528.0,6528.0,6528.0,1136288,534880,0.6799364276960784
pattern_rolling_k2v2_s0_r256,aime24:p6:s1:seed6043,16865,32.0,162.0,32.0,162.0,4160,4160,0.4933293803735547,16640.0,16640.0,16640.0,16640.0,3160586,1099254,0.741949462890625
pattern_rolling_k2v2_s0_r256,aime24:p11:s0:seed11042,32768,32.0,286.0,32.0,286.0,8128,8128,0.49609375,32512.0,32512.0,32512.0,32512.0,6747819,1575253,0.8107365886057456
pattern_rolling_k2v2_s0_r256,aime24:p11:s1:seed11043,5318,32.0,72.0,32.0,72.0,1280,1280,0.4813839789394509,5120.0,5120.0,5120.0,5120.0,888399,422321,0.6777946472167968
pattern_rolling_k2v2_s0_r256,aime24:p12:s0:seed12042,26968,32.0,241.0,32.0,241.0,6688,6688,0.49599525363393654,26752.0,26752.0,26752.0,26752.0,5851531,996981,0.854423705470619
