method_group,task_key,event,events
PatternKV,aime24:p12:s0:seed12042,NO_CHANGE,
PatternKV,aime24:p14:s0:seed14042,EARLY_SINK_RESCUE,EARLY_SINK_RESCUE
PatternKV,aime24:p15:s1:seed15043,EARLY_SINK_RESCUE,EARLY_SINK_RESCUE
PatternKV,aime24:p16:s0:seed16042,SINK_REGRESSION,SINK_REGRESSION
PatternKV,aime24:p11:s0:seed11042,NO_CHANGE,
PatternKV,aime24:p12:s1:seed12043,NO_CHANGE,
PatternKV,aime24:p6:s0:seed6042,EARLY_SINK_RESCUE,EARLY_SINK_RESCUE;LARGER_SINK_ADDITIONAL_RESCUE
PatternKV,aime24:p6:s1:seed6043,SINK_REGRESSION,SINK_REGRESSION
PatternKV,aime24:p0:s0:seed42,NO_CHANGE,
PatternKV,aime24:p11:s1:seed11043,LENGTH_STOP_RESCUE,EARLY_SINK_RESCUE;LARGER_SINK_ADDITIONAL_RESCUE;LENGTH_STOP_RESCUE;PARSER_RECOVERY
PatternKV,aime24:p15:s0:seed15042,SINK_REGRESSION,SINK_REGRESSION
PatternKV,aime24:p17:s0:seed17042,EARLY_SINK_RESCUE,EARLY_SINK_RESCUE
KIVI,aime24:p12:s0:seed12042,EARLY_SINK_RESCUE,EARLY_SINK_RESCUE;LARGER_SINK_ADDITIONAL_RESCUE
KIVI,aime24:p14:s0:seed14042,EARLY_SINK_RESCUE,EARLY_SINK_RESCUE;LARGER_SINK_ADDITIONAL_RESCUE
KIVI,aime24:p15:s1:seed15043,LENGTH_STOP_RESCUE,LENGTH_STOP_RESCUE
KIVI,aime24:p16:s0:seed16042,LARGER_SINK_ADDITIONAL_RESCUE,LARGER_SINK_ADDITIONAL_RESCUE
KIVI,aime24:p11:s0:seed11042,EARLY_SINK_RESCUE,EARLY_SINK_RESCUE;LARGER_SINK_ADDITIONAL_RESCUE
KIVI,aime24:p12:s1:seed12043,EARLY_SINK_RESCUE,EARLY_SINK_RESCUE;LARGER_SINK_ADDITIONAL_RESCUE
KIVI,aime24:p6:s0:seed6042,EARLY_SINK_RESCUE,EARLY_SINK_RESCUE;LARGER_SINK_ADDITIONAL_RESCUE
KIVI,aime24:p6:s1:seed6043,LARGER_SINK_ADDITIONAL_RESCUE,LARGER_SINK_ADDITIONAL_RESCUE
KIVI,aime24:p0:s0:seed42,SINK_REGRESSION,SINK_REGRESSION
KIVI,aime24:p11:s1:seed11043,SINK_REGRESSION,SINK_REGRESSION
KIVI,aime24:p15:s0:seed15042,EARLY_SINK_RESCUE,EARLY_SINK_RESCUE
KIVI,aime24:p17:s0:seed17042,NO_CHANGE,
