config,method_group,sink_length,recent_length,result_source,valid_for_quality,correct,total,valid_records,strict_accuracy,runtime_errors,parser_failures,parser_success_rate,length_stops,length_stop_rate,mean_generated_tokens,median_generated_tokens,p90_generated_tokens,max_generated_tokens,theoretical_compact_bits,actual_storage_bits,first_runtime_error
pattern_rolling_k2v2_s0_r128,PatternKV,0,128,reused,True,7,12,12,0.5833333333333334,0,1,0.9166666666666666,1,0.08333333333333333,12082.666666666666,9276.5,23163,32768,2.6672968960263805,3.326651361604053,
pattern_rolling_k2v2_s16_r128,PatternKV,16,128,newly_run,True,9,12,12,0.75,0,0,1.0,0,0.0,11223.166666666666,7741.5,23728,28752,2.728759477321293,3.4094569292573493,
pattern_rolling_k2v2_s32_r128,PatternKV,32,128,newly_run,True,9,12,12,0.75,0,0,1.0,0,0.0,7900.166666666667,7406.0,11251,11423,2.797147492368596,3.480727940035268,
pattern_rolling_k2v2_s64_r128,PatternKV,64,128,reused,True,8,12,12,0.6666666666666666,0,0,1.0,0,0.0,9219.583333333334,8062.0,17003,17468,2.860319070762583,3.5262046365433486,
pattern_rolling_k2v2_s128_r128,PatternKV,128,128,newly_run_wave1a3b_rerun,True,7,12,12,0.5833333333333334,0,0,1.0,0,0.0,9867.416666666666,10198.5,14543,18749,2.909183328724131,3.549532559689629,
kivi_rolling_k2v2_s0_r128,KIVI,0,128,reused,True,2,12,12,0.16666666666666666,0,0,1.0,1,0.08333333333333333,15401.416666666666,12425.0,30129,32768,2.4068871844075046,2.4730435009485308,
kivi_rolling_k2v2_s16_r128,KIVI,16,128,newly_run,True,6,12,12,0.5,0,0,1.0,0,0.0,11149.333333333334,11719.5,23262,25032,2.5322198257155386,2.6634305376707412,
kivi_rolling_k2v2_s32_r128,KIVI,32,128,newly_run,True,5,12,12,0.4166666666666667,0,0,1.0,0,0.0,7575.166666666667,7410.0,10945,14083,2.5847408926111024,2.6990824835680725,
kivi_rolling_k2v2_s64_r128,KIVI,64,128,reused,True,7,12,12,0.5833333333333334,0,0,1.0,0,0.0,12155.75,11436.5,17650,18667,2.5039688571299106,2.604527908429888,
kivi_rolling_k2v2_s128_r128,KIVI,128,128,newly_run_wave1a3b_rerun,True,8,12,12,0.6666666666666666,0,0,1.0,0,0.0,9267.833333333334,6149.0,18795,22007,2.850712094631461,3.0348951834410722,
