task_key,method,config,trace_mode,outcome_class,checkpoint,layer,context_tokens,prompt_tokens,sink_length,recent_length,metric_region,metric_name,metric_value
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,0,192,64,0,128,E16,attention_enrichment,4.717521667480469
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,0,192,64,0,128,E32,attention_enrichment,2.4239306449890137
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,0,192,64,0,128,E64,attention_enrichment,1.380842924118042
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,0,192,64,0,128,E128,attention_enrichment,0.8572797775268555
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,0,192,64,0,128,R128,attention_enrichment,0.8095784783363342
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,0,192,64,0,128,middle,attention_enrichment,0.0
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,7,192,64,0,128,E16,attention_enrichment,8.466096878051758
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,7,192,64,0,128,E32,attention_enrichment,4.272153854370117
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,7,192,64,0,128,E64,attention_enrichment,2.171454429626465
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,7,192,64,0,128,E128,attention_enrichment,1.1279915571212769
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,7,192,64,0,128,R128,attention_enrichment,0.4142727255821228
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,7,192,64,0,128,middle,attention_enrichment,0.0
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,15,192,64,0,128,E16,attention_enrichment,8.039051055908203
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,15,192,64,0,128,E32,attention_enrichment,4.071877956390381
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,15,192,64,0,128,E64,attention_enrichment,2.0974791049957275
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,15,192,64,0,128,E128,attention_enrichment,1.1112216711044312
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,15,192,64,0,128,R128,attention_enrichment,0.45126038789749146
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,15,192,64,0,128,middle,attention_enrichment,0.0
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,23,192,64,0,128,E16,attention_enrichment,10.615705490112305
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,23,192,64,0,128,E32,attention_enrichment,5.32884407043457
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,23,192,64,0,128,E64,attention_enrichment,2.695930004119873
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,23,192,64,0,128,E128,attention_enrichment,1.3766984939575195
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,23,192,64,0,128,R128,attention_enrichment,0.1520349234342575
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,23,192,64,0,128,middle,attention_enrichment,0.0
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,31,192,64,0,128,E16,attention_enrichment,8.068921089172363
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,31,192,64,0,128,E32,attention_enrichment,4.056253433227539
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,31,192,64,0,128,E64,attention_enrichment,2.0793535709381104
