task_key,method,config,trace_mode,outcome_class,checkpoint,layer,context_tokens,prompt_tokens,sink_length,recent_length,metric_region,metric_name,metric_value
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,0,192,64,0,128,E16,attention_mass,0.39312681555747986
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,0,192,64,0,128,E32,attention_mass,0.40398845076560974
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,0,192,64,0,128,E64,attention_mass,0.4602809548377991
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,0,192,64,0,128,E128,attention_mass,0.5715198516845703
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,0,192,64,0,128,R128,attention_mass,0.5397190451622009
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,0,192,64,0,128,middle,attention_mass,0.0
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,0,192,64,0,128,protected_sink,cache_segment_mass,0.0
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,0,192,64,0,128,packed_history,cache_segment_mass,0.0
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,0,192,64,0,128,pending_history,cache_segment_mass,0.0
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,0,192,64,0,128,recent,cache_segment_mass,1.0
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,7,192,64,0,128,E16,attention_mass,0.7055080533027649
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,7,192,64,0,128,E32,attention_mass,0.7120256423950195
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,7,192,64,0,128,E64,attention_mass,0.7238181829452515
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,7,192,64,0,128,E128,attention_mass,0.7519944310188293
aime24:p12:s0:seed12042,FP16,fp16_reference,teacher_forcing_reference,FP16_REFERENCE,128,7,192,64,0,128,R128,attention_mass,0.27618181705474854
