task_key,method,config,outcome_class,trace_valid,generated_tokens,stop_reason,strict_correct,checkpoint_rows,first_divergence_token,common_prefix_length,early_mass_trend,runtime_error
aime24:p11:s0:seed11042,PatternKV,pattern_rolling_k2v2_s0_r128,NOT_SELECTED,True,5289,eos,True,20,41,40,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p11:s1:seed11043,PatternKV,pattern_rolling_k2v2_s0_r128,RESCUE,True,512,unknown,False,3,96,95,EARLY_MASS_LATE_REBOUND,
aime24:p12:s0:seed12042,PatternKV,pattern_rolling_k2v2_s0_r128,NOT_SELECTED,True,7170,eos,True,20,200,199,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p12:s1:seed12043,PatternKV,pattern_rolling_k2v2_s0_r128,NOT_SELECTED,True,13944,eos,False,25,209,208,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p14:s0:seed14042,PatternKV,pattern_rolling_k2v2_s0_r128,RESCUE,True,12677,eos,False,25,162,161,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p15:s0:seed15042,PatternKV,pattern_rolling_k2v2_s0_r128,REGRESSION,True,14840,eos,False,25,143,142,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p15:s1:seed15043,PatternKV,pattern_rolling_k2v2_s0_r128,RESCUE,True,15659,eos,False,25,127,126,NO_CLEAR_PATTERN,
aime24:p16:s0:seed16042,PatternKV,pattern_rolling_k2v2_s0_r128,REGRESSION,True,13689,eos,False,25,193,192,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p17:s0:seed17042,PatternKV,pattern_rolling_k2v2_s0_r128,RESCUE,True,17240,eos,False,30,158,157,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p6:s0:seed6042,PatternKV,pattern_rolling_k2v2_s0_r128,NOT_SELECTED,True,8752,eos,False,25,148,147,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p11:s0:seed11042,PatternKV,pattern_rolling_k2v2_s16_r128,NOT_SELECTED,True,6837,eos,True,20,41,40,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p11:s1:seed11043,PatternKV,pattern_rolling_k2v2_s16_r128,RESCUE,True,512,unknown,False,3,96,95,EARLY_MASS_LATE_REBOUND,
aime24:p12:s0:seed12042,PatternKV,pattern_rolling_k2v2_s16_r128,NOT_SELECTED,True,3645,eos,True,15,200,199,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p12:s1:seed12043,PatternKV,pattern_rolling_k2v2_s16_r128,NOT_SELECTED,True,16902,eos,True,30,209,208,NO_CLEAR_PATTERN,
aime24:p14:s0:seed14042,PatternKV,pattern_rolling_k2v2_s16_r128,RESCUE,True,23267,eos,False,30,162,161,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p15:s0:seed15042,PatternKV,pattern_rolling_k2v2_s16_r128,REGRESSION,True,16722,eos,False,30,143,142,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p15:s1:seed15043,PatternKV,pattern_rolling_k2v2_s16_r128,RESCUE,True,16994,eos,False,30,127,126,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p16:s0:seed16042,PatternKV,pattern_rolling_k2v2_s16_r128,REGRESSION,True,5713,eos,True,20,193,192,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p17:s0:seed17042,PatternKV,pattern_rolling_k2v2_s16_r128,RESCUE,True,12383,eos,False,25,158,157,NO_CLEAR_PATTERN,
aime24:p6:s0:seed6042,PatternKV,pattern_rolling_k2v2_s16_r128,NOT_SELECTED,True,20121,eos,True,30,148,147,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p11:s0:seed11042,KIVI,kivi_rolling_k2v2_s0_r128,RESCUE,True,11758,eos,False,25,187,186,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p11:s1:seed11043,KIVI,kivi_rolling_k2v2_s0_r128,NOT_SELECTED,True,4433,eos,False,20,96,95,NO_CLEAR_PATTERN,
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,RESCUE,True,11050,eos,False,25,201,200,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p12:s1:seed12043,KIVI,kivi_rolling_k2v2_s0_r128,RESCUE,True,5991,eos,True,20,194,193,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p14:s0:seed14042,KIVI,kivi_rolling_k2v2_s0_r128,NOT_SELECTED,True,14768,eos,False,25,162,161,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p15:s0:seed15042,KIVI,kivi_rolling_k2v2_s0_r128,NOT_SELECTED,True,19556,eos,False,30,60,59,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p15:s1:seed15043,KIVI,kivi_rolling_k2v2_s0_r128,NOT_SELECTED,True,32768,length,False,30,156,155,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p16:s0:seed16042,KIVI,kivi_rolling_k2v2_s0_r128,NOT_SELECTED,True,15042,eos,False,25,190,189,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p17:s0:seed17042,KIVI,kivi_rolling_k2v2_s0_r128,NOT_SELECTED,True,17235,eos,False,30,158,157,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p6:s0:seed6042,KIVI,kivi_rolling_k2v2_s0_r128,RESCUE,True,5334,eos,True,20,142,141,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p11:s0:seed11042,KIVI,kivi_rolling_k2v2_s16_r128,RESCUE,True,6403,eos,False,20,41,40,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p11:s1:seed11043,KIVI,kivi_rolling_k2v2_s16_r128,NOT_SELECTED,True,5174,eos,True,20,96,95,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s16_r128,RESCUE,True,8038,eos,True,20,201,200,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p12:s1:seed12043,KIVI,kivi_rolling_k2v2_s16_r128,RESCUE,True,4341,eos,True,20,194,193,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p14:s0:seed14042,KIVI,kivi_rolling_k2v2_s16_r128,NOT_SELECTED,True,10912,eos,False,25,162,161,NO_CLEAR_PATTERN,
aime24:p15:s0:seed15042,KIVI,kivi_rolling_k2v2_s16_r128,NOT_SELECTED,True,16406,eos,False,30,143,142,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p15:s1:seed15043,KIVI,kivi_rolling_k2v2_s16_r128,NOT_SELECTED,True,14991,eos,True,25,127,126,NO_CLEAR_PATTERN,
aime24:p16:s0:seed16042,KIVI,kivi_rolling_k2v2_s16_r128,NOT_SELECTED,True,5526,eos,True,20,190,189,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p17:s0:seed17042,KIVI,kivi_rolling_k2v2_s16_r128,NOT_SELECTED,True,17823,eos,True,30,158,157,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p6:s0:seed6042,KIVI,kivi_rolling_k2v2_s16_r128,RESCUE,True,11816,eos,True,25,142,141,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p11:s0:seed11042,KIVI,kivi_rolling_k2v2_s128_r128,RESCUE,True,3118,eos,True,15,41,40,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p11:s1:seed11043,KIVI,kivi_rolling_k2v2_s128_r128,NOT_SELECTED,True,4715,eos,True,20,205,204,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s128_r128,RESCUE,True,11250,eos,True,25,221,220,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p12:s1:seed12043,KIVI,kivi_rolling_k2v2_s128_r128,RESCUE,True,4013,eos,True,15,209,208,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p14:s0:seed14042,KIVI,kivi_rolling_k2v2_s128_r128,NOT_SELECTED,True,11590,eos,False,25,222,221,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p15:s0:seed15042,KIVI,kivi_rolling_k2v2_s128_r128,NOT_SELECTED,True,20779,eos,False,30,60,59,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p15:s1:seed15043,KIVI,kivi_rolling_k2v2_s128_r128,NOT_SELECTED,True,14716,eos,False,25,127,126,NO_CLEAR_PATTERN,
aime24:p16:s0:seed16042,KIVI,kivi_rolling_k2v2_s128_r128,NOT_SELECTED,True,8197,eos,True,25,217,216,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p17:s0:seed17042,KIVI,kivi_rolling_k2v2_s128_r128,NOT_SELECTED,True,18875,eos,False,30,182,181,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
aime24:p6:s0:seed6042,KIVI,kivi_rolling_k2v2_s128_r128,RESCUE,True,22210,eos,True,30,156,155,EARLY_MASS_SPIKE_NEAR_DIVERGENCE,
