task_key,method,config,trace_mode,outcome_class,checkpoint,layer,context_tokens,prompt_tokens,sink_length,recent_length,metric_region,metric_name,metric_value
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,0,192,64,0,128,all,teacher_token_hash_match,1.0
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,0,192,64,0,128,all,layer_input_hidden_cosine,1.000000238418579
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,0,192,64,0,128,all,layer_input_hidden_relative_l2,0.0
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,0,192,64,0,128,all,layer_input_hidden_relative_mse,0.0
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,0,192,64,0,128,all,layer_input_hidden_max_abs,0.0
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,0,192,64,0,128,all,layer_output_hidden_cosine,0.9999995827674866
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,0,192,64,0,128,all,layer_output_hidden_relative_l2,0.0004256640968378633
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,0,192,64,0,128,all,layer_output_hidden_relative_mse,1.8118996081284422e-07
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,0,192,64,0,128,all,layer_output_hidden_max_abs,6.103515625e-05
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,7,192,64,0,128,all,teacher_token_hash_match,1.0
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,7,192,64,0,128,all,layer_input_hidden_cosine,0.9999982118606567
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,7,192,64,0,128,all,layer_input_hidden_relative_l2,0.0016662603011354804
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,7,192,64,0,128,all,layer_input_hidden_relative_mse,2.776424707917613e-06
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,7,192,64,0,128,all,layer_input_hidden_max_abs,0.0029296875
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,7,192,64,0,128,all,layer_output_hidden_cosine,0.9999980926513672
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,7,192,64,0,128,all,layer_output_hidden_relative_l2,0.0017652682727202773
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,7,192,64,0,128,all,layer_output_hidden_relative_mse,3.116173047601478e-06
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,7,192,64,0,128,all,layer_output_hidden_max_abs,0.001953125
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,15,192,64,0,128,all,teacher_token_hash_match,1.0
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,15,192,64,0,128,all,layer_input_hidden_cosine,0.9999983310699463
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,15,192,64,0,128,all,layer_input_hidden_relative_l2,0.0017368793487548828
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,15,192,64,0,128,all,layer_input_hidden_relative_mse,3.0167504974087933e-06
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,15,192,64,0,128,all,layer_input_hidden_max_abs,0.0029296875
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,15,192,64,0,128,all,layer_output_hidden_cosine,0.9999984502792358
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,15,192,64,0,128,all,layer_output_hidden_relative_l2,0.001614506240002811
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,15,192,64,0,128,all,layer_output_hidden_relative_mse,2.6066309146699496e-06
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,15,192,64,0,128,all,layer_output_hidden_max_abs,0.0029296875
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,23,192,64,0,128,all,teacher_token_hash_match,1.0
aime24:p12:s0:seed12042,KIVI,kivi_rolling_k2v2_s0_r128,teacher_forcing_common_trajectory,UNKNOWN,128,23,192,64,0,128,all,layer_input_hidden_cosine,0.9999985098838806
