task_key,problem_id,sample_id,seed,config,trace_valid,teacher_token_hash,teacher_token_hash_match,checkpoints_available
aime24:p12:s0:seed12042,12,0,12042,fp16_reference,True,be7857f0e1a23b9968050efcc26fbf3d11ca5e24a0613a99fdf341471ed4a1a3,True,5
aime24:p14:s0:seed14042,14,0,14042,fp16_reference,True,bb6db7072da27c3158418f100e8ee132011de2febe047f9d273e2049c0a639e9,True,5
aime24:p15:s1:seed15043,15,1,15043,fp16_reference,True,9a3534ee09512660e636e49ac8a447edb344d04213090cce7ed07ebee6b81abe,True,5
aime24:p16:s0:seed16042,16,0,16042,fp16_reference,True,35a80ea174acbb7dd2aa205dceaed506de954ab2102e30b00a4247abcc7ea5c3,True,5
aime24:p11:s0:seed11042,11,0,11042,fp16_reference,True,626ae13dc5568aa5eb72e0899855754010d70dbfd62658f38f0239d285f40343,True,5
aime24:p12:s1:seed12043,12,1,12043,fp16_reference,True,e28f2c3e6a63138b07c3988c02d0fc9700938052e6763b706fcb69b5de68c8e0,True,5
aime24:p6:s0:seed6042,6,0,6042,fp16_reference,True,a60b3dc351f9b5ef2a1e49ecf732a1d95d6341a547509521a64b6da4a05d3deb,True,6
aime24:p6:s1:seed6043,6,1,6043,fp16_reference,True,05e6232677d6d206551379b391b64634ec0f7f8ab081050b8533d864325ed8e6,True,7
aime24:p0:s0:seed42,0,0,42,fp16_reference,True,6f28af334742d01d9454716e3ec358c93590908647abf95cbe147e87e14710dc,True,4
aime24:p11:s1:seed11043,11,1,11043,fp16_reference,True,471264c29b8b0d81034bab132d8d0164c54629058aca911a315aa9a6e4f98c1b,True,6
aime24:p15:s0:seed15042,15,0,15042,fp16_reference,True,348dc3ec27b683d45dec9e68d39a3fd2ed8c5dd450de8982932a2f06d05686b0,True,6
aime24:p17:s0:seed17042,17,0,17042,fp16_reference,True,63d359faabd2fec41fc2831d743842340e3338d7730e924b0452835adfe0ae7f,True,7
aime24:p12:s0:seed12042,12,0,12042,kivi_rolling_k2v2_s0_r128,True,be7857f0e1a23b9968050efcc26fbf3d11ca5e24a0613a99fdf341471ed4a1a3,True,5
aime24:p14:s0:seed14042,14,0,14042,kivi_rolling_k2v2_s0_r128,True,bb6db7072da27c3158418f100e8ee132011de2febe047f9d273e2049c0a639e9,True,5
aime24:p15:s1:seed15043,15,1,15043,kivi_rolling_k2v2_s0_r128,True,9a3534ee09512660e636e49ac8a447edb344d04213090cce7ed07ebee6b81abe,True,5
aime24:p16:s0:seed16042,16,0,16042,kivi_rolling_k2v2_s0_r128,True,35a80ea174acbb7dd2aa205dceaed506de954ab2102e30b00a4247abcc7ea5c3,True,5
aime24:p11:s0:seed11042,11,0,11042,kivi_rolling_k2v2_s0_r128,True,626ae13dc5568aa5eb72e0899855754010d70dbfd62658f38f0239d285f40343,True,5
aime24:p12:s1:seed12043,12,1,12043,kivi_rolling_k2v2_s0_r128,True,e28f2c3e6a63138b07c3988c02d0fc9700938052e6763b706fcb69b5de68c8e0,True,5
aime24:p6:s0:seed6042,6,0,6042,kivi_rolling_k2v2_s0_r128,True,a60b3dc351f9b5ef2a1e49ecf732a1d95d6341a547509521a64b6da4a05d3deb,True,6
aime24:p6:s1:seed6043,6,1,6043,kivi_rolling_k2v2_s0_r128,True,05e6232677d6d206551379b391b64634ec0f7f8ab081050b8533d864325ed8e6,True,7
aime24:p0:s0:seed42,0,0,42,kivi_rolling_k2v2_s0_r128,True,6f28af334742d01d9454716e3ec358c93590908647abf95cbe147e87e14710dc,True,4
aime24:p11:s1:seed11043,11,1,11043,kivi_rolling_k2v2_s0_r128,True,471264c29b8b0d81034bab132d8d0164c54629058aca911a315aa9a6e4f98c1b,True,6
