accuracy,base_seed,benchmark,correct,method,total
0.5333333333333333,42,aime24,16,FP16,30
0.43333333333333335,43,aime24,13,FP16,30
0.5333333333333333,44,aime24,16,FP16,30
0.16666666666666666,42,aime24,5,KIVI_PAPER_G128,30
0.13333333333333333,43,aime24,4,KIVI_PAPER_G128,30
0.06666666666666667,44,aime24,2,KIVI_PAPER_G128,30
0.36666666666666664,42,aime24,11,PATTERN_BASE,30
0.3333333333333333,43,aime24,10,PATTERN_BASE,30
0.36666666666666664,44,aime24,11,PATTERN_BASE,30
0.36666666666666664,42,aime24,11,RANDOM_V4_25,30
0.36666666666666664,43,aime24,11,RANDOM_V4_25,30
0.4666666666666667,44,aime24,14,RANDOM_V4_25,30
0.5333333333333333,42,aime24,16,CAUSAL_V4_25,30
0.5,43,aime24,15,CAUSAL_V4_25,30
0.4666666666666667,44,aime24,14,CAUSAL_V4_25,30
