error_type,layer,median_auc_s0,median_auc_s16,median_delta,method_group,metric_name,object_type,paired_n,region,statistic,tasks_improved,tasks_regressed,ties
source_state_norm_drift,0,0.0,0.0,0.0,pattern,abs_log_norm_ratio,hidden,12,all_tokens,max,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,abs_log_norm_ratio,hidden,12,all_tokens,mean,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,abs_log_norm_ratio,hidden,12,all_tokens,p50,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,abs_log_norm_ratio,hidden,12,all_tokens,p90,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,abs_log_norm_ratio,hidden,12,all_tokens,p95,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,abs_log_norm_ratio,hidden,12,all_tokens,p99,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,direction_error,hidden,12,all_tokens,max,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,direction_error,hidden,12,all_tokens,mean,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,direction_error,hidden,12,all_tokens,p50,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,direction_error,hidden,12,all_tokens,p90,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,direction_error,hidden,12,all_tokens,p95,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,direction_error,hidden,12,all_tokens,p99,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,norm_ratio,hidden,12,all_tokens,max,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,norm_ratio,hidden,12,all_tokens,mean,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,norm_ratio,hidden,12,all_tokens,p50,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,norm_ratio,hidden,12,all_tokens,p90,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,norm_ratio,hidden,12,all_tokens,p95,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,norm_ratio,hidden,12,all_tokens,p99,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,relative_L2,hidden,12,all_tokens,max,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,relative_L2,hidden,12,all_tokens,mean,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,relative_L2,hidden,12,all_tokens,p50,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,relative_L2,hidden,12,all_tokens,p90,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,relative_L2,hidden,12,all_tokens,p95,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,relative_L2,hidden,12,all_tokens,p99,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,relative_norm_error,hidden,12,all_tokens,max,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,relative_norm_error,hidden,12,all_tokens,mean,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,relative_norm_error,hidden,12,all_tokens,p50,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,relative_norm_error,hidden,12,all_tokens,p90,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,relative_norm_error,hidden,12,all_tokens,p95,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,relative_norm_error,hidden,12,all_tokens,p99,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,signed_norm_drift,hidden,12,all_tokens,max,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,signed_norm_drift,hidden,12,all_tokens,mean,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,signed_norm_drift,hidden,12,all_tokens,p50,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,signed_norm_drift,hidden,12,all_tokens,p90,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,signed_norm_drift,hidden,12,all_tokens,p95,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,signed_norm_drift,hidden,12,all_tokens,p99,0,0,12
source_state_norm_drift,0,0.0,0.0,0.0,pattern,abs_log_norm_ratio,k_source,12,all_tokens,max,0,0,12
