config,error_type,layer,metric_name,n_available,norm_acc_auc,object_type,region,statistic,task_key
pattern_rolling_k2v2_s16_hadamard_k2v2_s16_r128,source_state_norm_drift,0,abs_log_norm_ratio,5,0.0,hidden,all_tokens,max,aime24:p0:s0:seed42
pattern_rolling_k2v2_s16_hadamard_k2v2_s16_r128,source_state_norm_drift,0,abs_log_norm_ratio,5,0.0,hidden,all_tokens,mean,aime24:p0:s0:seed42
pattern_rolling_k2v2_s16_hadamard_k2v2_s16_r128,source_state_norm_drift,0,abs_log_norm_ratio,5,0.0,hidden,all_tokens,p50,aime24:p0:s0:seed42
pattern_rolling_k2v2_s16_hadamard_k2v2_s16_r128,source_state_norm_drift,0,abs_log_norm_ratio,5,0.0,hidden,all_tokens,p90,aime24:p0:s0:seed42
pattern_rolling_k2v2_s16_hadamard_k2v2_s16_r128,source_state_norm_drift,0,abs_log_norm_ratio,5,0.0,hidden,all_tokens,p95,aime24:p0:s0:seed42
pattern_rolling_k2v2_s16_hadamard_k2v2_s16_r128,source_state_norm_drift,0,abs_log_norm_ratio,5,0.0,hidden,all_tokens,p99,aime24:p0:s0:seed42
pattern_rolling_k2v2_s16_hadamard_k2v2_s16_r128,source_state_norm_drift,0,direction_error,5,0.0,hidden,all_tokens,max,aime24:p0:s0:seed42
pattern_rolling_k2v2_s16_hadamard_k2v2_s16_r128,source_state_norm_drift,0,direction_error,5,0.0,hidden,all_tokens,mean,aime24:p0:s0:seed42
pattern_rolling_k2v2_s16_hadamard_k2v2_s16_r128,source_state_norm_drift,0,direction_error,5,0.0,hidden,all_tokens,p50,aime24:p0:s0:seed42
pattern_rolling_k2v2_s16_hadamard_k2v2_s16_r128,source_state_norm_drift,0,direction_error,5,0.0,hidden,all_tokens,p90,aime24:p0:s0:seed42
pattern_rolling_k2v2_s16_hadamard_k2v2_s16_r128,source_state_norm_drift,0,direction_error,5,0.0,hidden,all_tokens,p95,aime24:p0:s0:seed42
pattern_rolling_k2v2_s16_hadamard_k2v2_s16_r128,source_state_norm_drift,0,direction_error,5,0.0,hidden,all_tokens,p99,aime24:p0:s0:seed42
pattern_rolling_k2v2_s16_hadamard_k2v2_s16_r128,source_state_norm_drift,0,norm_ratio,5,0.0,hidden,all_tokens,max,aime24:p0:s0:seed42
pattern_rolling_k2v2_s16_hadamard_k2v2_s16_r128,source_state_norm_drift,0,norm_ratio,5,0.0,hidden,all_tokens,mean,aime24:p0:s0:seed42
pattern_rolling_k2v2_s16_hadamard_k2v2_s16_r128,source_state_norm_drift,0,norm_ratio,5,0.0,hidden,all_tokens,p50,aime24:p0:s0:seed42
pattern_rolling_k2v2_s16_hadamard_k2v2_s16_r128,source_state_norm_drift,0,norm_ratio,5,0.0,hidden,all_tokens,p90,aime24:p0:s0:seed42
pattern_rolling_k2v2_s16_hadamard_k2v2_s16_r128,source_state_norm_drift,0,norm_ratio,5,0.0,hidden,all_tokens,p95,aime24:p0:s0:seed42
pattern_rolling_k2v2_s16_hadamard_k2v2_s16_r128,source_state_norm_drift,0,norm_ratio,5,0.0,hidden,all_tokens,p99,aime24:p0:s0:seed42
pattern_rolling_k2v2_s16_hadamard_k2v2_s16_r128,source_state_norm_drift,0,relative_L2,5,0.0,hidden,all_tokens,max,aime24:p0:s0:seed42
pattern_rolling_k2v2_s16_hadamard_k2v2_s16_r128,source_state_norm_drift,0,relative_L2,5,0.0,hidden,all_tokens,mean,aime24:p0:s0:seed42
pattern_rolling_k2v2_s16_hadamard_k2v2_s16_r128,source_state_norm_drift,0,relative_L2,5,0.0,hidden,all_tokens,p50,aime24:p0:s0:seed42
