base_auc_median,comparison_type,error_type,median_delta,metric_name,mode,object_type,paired_n,region,statistic,tasks_improved,tasks_regressed,ties,varn_auc_median
0.5908144535496831,accumulation_auc,,0.0073394570499658585,attention_output_relative_L2,,,6,,,2,4,0,0.5703466834092978
0.05328147113323212,accumulation_auc,,0.004530385136604309,hidden_cosine_loss,,,6,,,2,4,0,0.05156145989894867
0.5908144535496831,accumulation_auc,,0.0073394570499658585,hidden_relative_L2,,,6,,,2,4,0,0.5703466834092978
0.024303330793353783,accumulation_auc,,-0.006659483146250977,next_token_KL,,,6,,,5,1,0,0.005347105611800129
0.003775035579565156,accumulation_auc,,-0.003062235917241196,target_token_NLL_delta,,,6,,,4,2,0,-0.0017465708239114974
0.6018020649207756,degradation_auc,,0.0073394570499658585,attention_output_relative_L2,pseudo,,6,,,2,4,0,0.5814107508631423
0.05329589545726776,degradation_auc,,0.004530385136604309,hidden_cosine_loss,pseudo,,6,,,2,4,0,0.05157528817653656
0.6018020649207756,degradation_auc,,0.0073394570499658585,hidden_relative_L2,pseudo,,6,,,2,4,0,0.5814107508631423
0.024368258834599033,degradation_auc,,-0.006659483146250977,next_token_KL,pseudo,,6,,,5,1,0,0.005362855174944059
0.007135927908166195,degradation_auc,,-0.003062235917241196,target_token_NLL_delta,pseudo,,6,,,4,2,0,-0.0013077739841946823
0.01121939078439027,degradation_auc,,0.0,attention_output_relative_L2,static,,6,,,0,0,6,0.01121939078439027
1.4260411262512207e-05,degradation_auc,,0.0,hidden_cosine_loss,static,,6,,,0,0,6,1.4260411262512207e-05
0.01121939078439027,degradation_auc,,0.0,hidden_relative_L2,static,,6,,,0,0,6,0.01121939078439027
3.791229754615544e-05,degradation_auc,,0.0,next_token_KL,static,,6,,,0,0,6,3.791229754615544e-05
0.002999586861278658,degradation_auc,,0.0,target_token_NLL_delta,static,,6,,,0,0,6,0.002999586861278658
0.33065988642920274,norm_accumulation_auc,source_state_norm_drift,-0.033619023859500885,abs_log_norm_ratio,,hidden,6,all_tokens,max,5,1,0,0.22985684908053372
0.0129924203989663,norm_accumulation_auc,source_state_norm_drift,-7.728541899771138e-05,abs_log_norm_ratio,,hidden,6,all_tokens,mean,4,2,0,0.013370586771189668
0.006781253177905455,norm_accumulation_auc,source_state_norm_drift,6.772212873329408e-05,abs_log_norm_ratio,,hidden,6,all_tokens,p50,2,4,0,0.00681797566358
0.032369427836965774,norm_accumulation_auc,source_state_norm_drift,2.8777751140294724e-05,abs_log_norm_ratio,,hidden,6,all_tokens,p90,3,3,0,0.03376618148467969
0.04531958685547577,norm_accumulation_auc,source_state_norm_drift,-0.0002684047678485277,abs_log_norm_ratio,,hidden,6,all_tokens,p95,3,3,0,0.04499236268748062
0.07637225826823851,norm_accumulation_auc,source_state_norm_drift,-0.0035466847242787147,abs_log_norm_ratio,,hidden,6,all_tokens,p99,4,2,0,0.0813492718580529
0.5645271439570934,norm_accumulation_auc,source_state_norm_drift,-0.04210689663887024,abs_log_norm_ratio,,k_source,6,all_tokens,max,5,1,0,0.5254163470526692
0.01871712184089013,norm_accumulation_auc,source_state_norm_drift,-0.00098306594601643,abs_log_norm_ratio,,k_source,6,all_tokens,mean,5,1,0,0.018865290435560393
0.009710157685731247,norm_accumulation_auc,source_state_norm_drift,-0.00022234697826206684,abs_log_norm_ratio,,k_source,6,all_tokens,p50,4,2,0,0.009832837107751402
0.045594695826730494,norm_accumulation_auc,source_state_norm_drift,-0.002056587753759241,abs_log_norm_ratio,,k_source,6,all_tokens,p90,5,1,0,0.045808196043799404
0.06400891106859487,norm_accumulation_auc,source_state_norm_drift,-0.0029135125922039005,abs_log_norm_ratio,,k_source,6,all_tokens,p95,5,1,0,0.0638538138147851
0.13180712566259897,norm_accumulation_auc,source_state_norm_drift,-0.00856139294337488,abs_log_norm_ratio,,k_source,6,all_tokens,p99,5,1,0,0.12579243603642676
0.07429305464029312,norm_accumulation_auc,representation_norm_error,0.15888918936252594,abs_log_norm_ratio,,k_stored,1,packed_history,max,0,1,0,0.23318224400281906
0.02897711565989873,norm_accumulation_auc,representation_norm_error,-0.010133906492208793,abs_log_norm_ratio,,k_stored,1,packed_history,mean,1,0,0,0.018843209167689938
0.02986838109791279,norm_accumulation_auc,representation_norm_error,-0.011808044277131557,abs_log_norm_ratio,,k_stored,1,packed_history,p50,1,0,0,0.01806033682078123
0.041698867827653904,norm_accumulation_auc,representation_norm_error,-0.010788667574524902,abs_log_norm_ratio,,k_stored,1,packed_history,p90,1,0,0,0.030910200253129003
0.04361088760197154,norm_accumulation_auc,representation_norm_error,-0.009189069084823129,abs_log_norm_ratio,,k_stored,1,packed_history,p95,1,0,0,0.034421818517148414
0.0412390607967974,norm_accumulation_auc,representation_norm_error,0.002063895389437423,abs_log_norm_ratio,,k_stored,1,packed_history,p99,0,1,0,0.04330295618623482
0.0,norm_accumulation_auc,representation_norm_error,0.0,abs_log_norm_ratio,,k_stored,6,pending_history,max,0,0,6,0.0
0.0,norm_accumulation_auc,representation_norm_error,0.0,abs_log_norm_ratio,,k_stored,6,pending_history,mean,0,0,6,0.0
0.0,norm_accumulation_auc,representation_norm_error,0.0,abs_log_norm_ratio,,k_stored,6,pending_history,p50,0,0,6,0.0
0.0,norm_accumulation_auc,representation_norm_error,0.0,abs_log_norm_ratio,,k_stored,6,pending_history,p90,0,0,6,0.0
0.0,norm_accumulation_auc,representation_norm_error,0.0,abs_log_norm_ratio,,k_stored,6,pending_history,p95,0,0,6,0.0
0.0,norm_accumulation_auc,representation_norm_error,0.0,abs_log_norm_ratio,,k_stored,6,pending_history,p99,0,0,6,0.0
0.0,norm_accumulation_auc,representation_norm_error,0.0,abs_log_norm_ratio,,k_stored,6,recent,max,0,0,6,0.0
0.0,norm_accumulation_auc,representation_norm_error,0.0,abs_log_norm_ratio,,k_stored,6,recent,mean,0,0,6,0.0
0.0,norm_accumulation_auc,representation_norm_error,0.0,abs_log_norm_ratio,,k_stored,6,recent,p50,0,0,6,0.0
0.0,norm_accumulation_auc,representation_norm_error,0.0,abs_log_norm_ratio,,k_stored,6,recent,p90,0,0,6,0.0
0.0,norm_accumulation_auc,representation_norm_error,0.0,abs_log_norm_ratio,,k_stored,6,recent,p95,0,0,6,0.0
0.0,norm_accumulation_auc,representation_norm_error,0.0,abs_log_norm_ratio,,k_stored,6,recent,p99,0,0,6,0.0
0.0,norm_accumulation_auc,representation_norm_error,0.0,abs_log_norm_ratio,,k_stored,6,sink,max,0,0,6,0.0
0.0,norm_accumulation_auc,representation_norm_error,0.0,abs_log_norm_ratio,,k_stored,6,sink,mean,0,0,6,0.0
0.0,norm_accumulation_auc,representation_norm_error,0.0,abs_log_norm_ratio,,k_stored,6,sink,p50,0,0,6,0.0
0.0,norm_accumulation_auc,representation_norm_error,0.0,abs_log_norm_ratio,,k_stored,6,sink,p90,0,0,6,0.0
0.0,norm_accumulation_auc,representation_norm_error,0.0,abs_log_norm_ratio,,k_stored,6,sink,p95,0,0,6,0.0
0.0,norm_accumulation_auc,representation_norm_error,0.0,abs_log_norm_ratio,,k_stored,6,sink,p99,0,0,6,0.0
0.2701913043856621,norm_accumulation_auc,stored_norm_error,0.008268475532531738,abs_log_norm_ratio,,k_stored,1,packed_history,max,0,1,0,0.2784597799181938
0.03534877533341034,norm_accumulation_auc,stored_norm_error,-0.009897154096818316,abs_log_norm_ratio,,k_stored,1,packed_history,mean,1,0,0,0.025451621236592024
0.03523902129381895,norm_accumulation_auc,stored_norm_error,-0.010515164583921432,abs_log_norm_ratio,,k_stored,1,packed_history,p50,1,0,0,0.024723856709897518
0.0541482374072075,norm_accumulation_auc,stored_norm_error,-0.011098603531718307,abs_log_norm_ratio,,k_stored,1,packed_history,p90,1,0,0,0.04304963387548919
