checkpoint,comparison,counts,finite,metadata,mode,observer_noninvasive,task_key
128,,"{'sink_tokens': 16, 'packed_history_tokens': 0, 'pending_history_tokens': 104, 'recent_tokens': 128, 'total_tokens': 248}",True,"{'present': False, 'finite': True, 'count': 0}",static,,aime24:p15:s1:seed15043
512,,"{'sink_tokens': 16, 'packed_history_tokens': 384, 'pending_history_tokens': 104, 'recent_tokens': 128, 'total_tokens': 632}",True,"{'present': True, 'finite': True, 'count': 12288, 'min': 0.74072265625, 'median': 1.0, 'p95': 1.1764154434204102, 'p99': 1.956308364868164, 'max': 3.5546875}",static,,aime24:p15:s1:seed15043
1024,,"{'sink_tokens': 16, 'packed_history_tokens': 896, 'pending_history_tokens': 104, 'recent_tokens': 128, 'total_tokens': 1144}",True,"{'present': True, 'finite': True, 'count': 28672, 'min': 0.74072265625, 'median': 1.0, 'p95': 1.2373046875, 'p99': 2.090412139892578, 'max': 4.60546875}",static,,aime24:p15:s1:seed15043
128,,"{'sink_tokens': 16, 'packed_history_tokens': 0, 'pending_history_tokens': 86, 'recent_tokens': 128, 'total_tokens': 230}",True,"{'present': False, 'finite': True, 'count': 0}",static,,aime24:p17:s0:seed17042
512,,"{'sink_tokens': 16, 'packed_history_tokens': 384, 'pending_history_tokens': 86, 'recent_tokens': 128, 'total_tokens': 614}",True,"{'present': True, 'finite': True, 'count': 12288, 'min': 0.74072265625, 'median': 1.0, 'p95': 1.1549310684204102, 'p99': 1.942763328552246, 'max': 3.388671875}",static,,aime24:p17:s0:seed17042
1024,,"{'sink_tokens': 16, 'packed_history_tokens': 896, 'pending_history_tokens': 86, 'recent_tokens': 128, 'total_tokens': 1126}",True,"{'present': True, 'finite': True, 'count': 28672, 'min': 0.74072265625, 'median': 1.0, 'p95': 1.2294921875, 'p99': 2.017578125, 'max': 4.3984375}",static,,aime24:p17:s0:seed17042
128,"{'next_token_KL': 0.0, 'next_token_JS': 0.0, 'logit_max_abs_diff': 0.0, 'logit_mean_abs_diff': 0.0, 'top1_agreement': True, 'top1_disagreement': 0.0, 'target_token_NLL_delta': 0.0, 'hidden_relative_L2': 0.0, 'hidden_MAE': 0.0, 'hidden_cosine': 0.9999998807907104, 'hidden_cosine_loss': 1.1920928955078125e-07, 'attention_output_relative_L2': 0.0, 'attention_output_MAE': 0.0, 'post_WO_relative_L2': 0.0}","{'sink_tokens': 16, 'packed_history_tokens': 0, 'pending_history_tokens': 104, 'recent_tokens': 128, 'total_tokens': 248}",,,,True,aime24:p15:s1:seed15043
512,"{'next_token_KL': 0.0, 'next_token_JS': 1.536118610090398e-08, 'logit_max_abs_diff': 0.0, 'logit_mean_abs_diff': 0.0, 'top1_agreement': True, 'top1_disagreement': 0.0, 'target_token_NLL_delta': 0.0, 'hidden_relative_L2': 0.0, 'hidden_MAE': 0.0, 'hidden_cosine': 0.9999996423721313, 'hidden_cosine_loss': 3.5762786865234375e-07, 'attention_output_relative_L2': 0.0, 'attention_output_MAE': 0.0, 'post_WO_relative_L2': 0.0}","{'sink_tokens': 16, 'packed_history_tokens': 384, 'pending_history_tokens': 104, 'recent_tokens': 128, 'total_tokens': 632}",,,,True,aime24:p15:s1:seed15043
1024,"{'next_token_KL': 0.0, 'next_token_JS': 1.9425949737694737e-09, 'logit_max_abs_diff': 0.0, 'logit_mean_abs_diff': 0.0, 'top1_agreement': True, 'top1_disagreement': 0.0, 'target_token_NLL_delta': 0.0, 'hidden_relative_L2': 0.0, 'hidden_MAE': 0.0, 'hidden_cosine': 0.9999998807907104, 'hidden_cosine_loss': 1.1920928955078125e-07, 'attention_output_relative_L2': 0.0, 'attention_output_MAE': 0.0, 'post_WO_relative_L2': 0.0}","{'sink_tokens': 16, 'packed_history_tokens': 896, 'pending_history_tokens': 104, 'recent_tokens': 128, 'total_tokens': 1144}",,,,True,aime24:p15:s1:seed15043
128,"{'next_token_KL': 0.0, 'next_token_JS': 0.0, 'logit_max_abs_diff': 0.0, 'logit_mean_abs_diff': 0.0, 'top1_agreement': True, 'top1_disagreement': 0.0, 'target_token_NLL_delta': 0.0, 'hidden_relative_L2': 0.0, 'hidden_MAE': 0.0, 'hidden_cosine': 0.9999997615814209, 'hidden_cosine_loss': 2.384185791015625e-07, 'attention_output_relative_L2': 0.0, 'attention_output_MAE': 0.0, 'post_WO_relative_L2': 0.0}","{'sink_tokens': 16, 'packed_history_tokens': 0, 'pending_history_tokens': 86, 'recent_tokens': 128, 'total_tokens': 230}",,,,True,aime24:p17:s0:seed17042
512,"{'next_token_KL': 0.0, 'next_token_JS': -2.092759210370332e-08, 'logit_max_abs_diff': 0.0, 'logit_mean_abs_diff': 0.0, 'top1_agreement': True, 'top1_disagreement': 0.0, 'target_token_NLL_delta': 0.0, 'hidden_relative_L2': 0.0, 'hidden_MAE': 0.0, 'hidden_cosine': 1.0, 'hidden_cosine_loss': 0.0, 'attention_output_relative_L2': 0.0, 'attention_output_MAE': 0.0, 'post_WO_relative_L2': 0.0}","{'sink_tokens': 16, 'packed_history_tokens': 384, 'pending_history_tokens': 86, 'recent_tokens': 128, 'total_tokens': 614}",,,,True,aime24:p17:s0:seed17042
1024,"{'next_token_KL': 0.0, 'next_token_JS': 3.274162191369001e-11, 'logit_max_abs_diff': 0.0, 'logit_mean_abs_diff': 0.0, 'top1_agreement': True, 'top1_disagreement': 0.0, 'target_token_NLL_delta': 0.0, 'hidden_relative_L2': 0.0, 'hidden_MAE': 0.0, 'hidden_cosine': 0.9999996423721313, 'hidden_cosine_loss': 3.5762786865234375e-07, 'attention_output_relative_L2': 0.0, 'attention_output_MAE': 0.0, 'post_WO_relative_L2': 0.0}","{'sink_tokens': 16, 'packed_history_tokens': 896, 'pending_history_tokens': 86, 'recent_tokens': 128, 'total_tokens': 1126}",,,,True,aime24:p17:s0:seed17042
