checkpoint,config,gap_q1,gap_q3,median_accumulation_gap,median_pseudo_degradation,median_static_degradation,metric,n,negative_gap_tasks,positive_gap_tasks,ties
128,kivi_paper_g128,-0.00014289855607785285,9.883602615445852e-06,-2.1740561351180077e-05,0.0019433415145613253,0.002045915345661342,hidden_relative_L2,12,8,4,0
512,kivi_paper_g128,0.33854779941611923,0.5159338615485467,0.45346602669451386,0.4557012468576431,0.0021224324591457844,hidden_relative_L2,12,0,12,0
1024,kivi_paper_g128,0.37465316971065477,0.4917250683065504,0.3962894534924999,0.39830030500888824,0.0018786558066494763,hidden_relative_L2,12,0,12,0
2048,kivi_paper_g128,0.34126481879502535,0.4421206043334678,0.4052298499736935,0.4075055718421936,0.0022757218685001135,hidden_relative_L2,12,0,12,0
4096,kivi_paper_g128,0.39610771887237206,0.5788810735102743,0.44876901659881696,0.4506196677684784,0.0021021502325311303,hidden_relative_L2,12,0,12,0
128,kivi_paper_g128,-2.682209014892578e-07,1.7881393432617188e-07,-8.940696716308594e-08,2.0265579223632812e-06,2.2649765014648438e-06,hidden_cosine_loss,12,7,4,1
512,kivi_paper_g128,0.05762055516242981,0.12820400297641754,0.10720670223236084,0.10720941424369812,2.6226043701171875e-06,hidden_cosine_loss,12,0,12,0
1024,kivi_paper_g128,0.07242079079151154,0.12443441152572632,0.07839542627334595,0.07839760184288025,2.115964889526367e-06,hidden_cosine_loss,12,0,12,0
2048,kivi_paper_g128,0.06040072441101074,0.09213164448738098,0.0805753767490387,0.0805782675743103,2.86102294921875e-06,hidden_cosine_loss,12,0,12,0
4096,kivi_paper_g128,0.07447516918182373,0.16252416372299194,0.09836193919181824,0.0983639657497406,2.5331974029541016e-06,hidden_cosine_loss,12,0,12,0
128,kivi_paper_g128,-0.00014289855607785285,9.883602615445852e-06,-2.1740561351180077e-05,0.0019433415145613253,0.002045915345661342,attention_output_relative_L2,12,8,4,0
512,kivi_paper_g128,0.33854779941611923,0.5159338615485467,0.45346602669451386,0.4557012468576431,0.0021224324591457844,attention_output_relative_L2,12,0,12,0
1024,kivi_paper_g128,0.37465316971065477,0.4917250683065504,0.3962894534924999,0.39830030500888824,0.0018786558066494763,attention_output_relative_L2,12,0,12,0
2048,kivi_paper_g128,0.34126481879502535,0.4421206043334678,0.4052298499736935,0.4075055718421936,0.0022757218685001135,attention_output_relative_L2,12,0,12,0
4096,kivi_paper_g128,0.39610771887237206,0.5788810735102743,0.44876901659881696,0.4506196677684784,0.0021021502325311303,attention_output_relative_L2,12,0,12,0
128,kivi_paper_g128,-5.291545221552951e-06,4.173067058133029e-06,-1.2163647244989306e-07,9.098365353565896e-06,9.904035778163234e-06,next_token_KL,12,6,6,0
512,kivi_paper_g128,0.0021969719195813475,0.14544885097418003,0.07987974872321502,0.07988373376429081,2.7385659677747753e-06,next_token_KL,12,0,12,0
