acc_auc,classification,config,metric,negative_checkpoints,positive_checkpoints,task_key
1.667253636813257,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,hidden_relative_L2,0,5,aime24:p0:s0:seed42
1.4345711765345186,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,hidden_relative_L2,1,4,aime24:p11:s0:seed11042
1.5917868381366134,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,hidden_relative_L2,1,4,aime24:p11:s1:seed11043
1.6801581105100922,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,hidden_relative_L2,0,5,aime24:p12:s0:seed12042
1.4027049105498008,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,hidden_relative_L2,1,4,aime24:p12:s1:seed12043
1.4857073822640814,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,hidden_relative_L2,0,5,aime24:p14:s0:seed14042
1.1832474638940766,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,hidden_relative_L2,1,4,aime24:p15:s0:seed15042
2.1190059152431786,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,hidden_relative_L2,1,4,aime24:p15:s1:seed15043
1.3716734608751722,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,hidden_relative_L2,1,4,aime24:p16:s0:seed16042
1.8662209210451692,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,hidden_relative_L2,1,4,aime24:p17:s0:seed17042
1.4829112498555332,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,hidden_relative_L2,1,4,aime24:p6:s0:seed6042
1.3134541358449496,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,hidden_relative_L2,0,5,aime24:p6:s1:seed6043
1.667253636813257,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,attention_output_relative_L2,0,5,aime24:p0:s0:seed42
1.4345711765345186,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,attention_output_relative_L2,1,4,aime24:p11:s0:seed11042
1.5917868381366134,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,attention_output_relative_L2,1,4,aime24:p11:s1:seed11043
1.6801581105100922,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,attention_output_relative_L2,0,5,aime24:p12:s0:seed12042
1.4027049105498008,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,attention_output_relative_L2,1,4,aime24:p12:s1:seed12043
1.4857073822640814,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,attention_output_relative_L2,0,5,aime24:p14:s0:seed14042
1.1832474638940766,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,attention_output_relative_L2,1,4,aime24:p15:s0:seed15042
2.1190059152431786,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,attention_output_relative_L2,1,4,aime24:p15:s1:seed15043
1.3716734608751722,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,attention_output_relative_L2,1,4,aime24:p16:s0:seed16042
1.8662209210451692,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,attention_output_relative_L2,1,4,aime24:p17:s0:seed17042
1.4829112498555332,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,attention_output_relative_L2,1,4,aime24:p6:s0:seed6042
1.3134541358449496,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,attention_output_relative_L2,0,5,aime24:p6:s1:seed6043
0.4040679177097636,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,next_token_KL,0,5,aime24:p0:s0:seed42
0.5702662746543865,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,next_token_KL,1,4,aime24:p11:s0:seed11042
0.565654739117248,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,next_token_KL,1,4,aime24:p11:s1:seed11043
0.23333617166599652,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,next_token_KL,0,5,aime24:p12:s0:seed12042
0.15883644333504776,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,next_token_KL,0,5,aime24:p12:s1:seed12043
0.24381649353741586,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,next_token_KL,0,5,aime24:p14:s0:seed14042
0.24060344235068243,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,next_token_KL,1,4,aime24:p15:s0:seed15042
0.06885417119854331,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,next_token_KL,0,5,aime24:p15:s1:seed15043
0.04492898484884833,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,next_token_KL,0,5,aime24:p16:s0:seed16042
1.9774842131238772,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,next_token_KL,1,4,aime24:p17:s0:seed17042
0.0073596028224569565,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,next_token_KL,1,4,aime24:p6:s0:seed6042
0.15980370892810924,CONSISTENT_ACCUMULATION,pattern_rolling_k2v2_s0_r128,next_token_KL,1,4,aime24:p6:s1:seed6043
2.050048411882017,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,hidden_relative_L2,0,5,aime24:p0:s0:seed42
1.640553638106212,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,hidden_relative_L2,1,4,aime24:p11:s0:seed11042
1.9101470923051238,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,hidden_relative_L2,1,4,aime24:p11:s1:seed11043
1.6934918036567979,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,hidden_relative_L2,0,5,aime24:p12:s0:seed12042
1.5249704431626014,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,hidden_relative_L2,1,4,aime24:p12:s1:seed12043
1.731959993543569,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,hidden_relative_L2,0,5,aime24:p14:s0:seed14042
1.4165458698989823,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,hidden_relative_L2,1,4,aime24:p15:s0:seed15042
2.360180970747024,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,hidden_relative_L2,1,4,aime24:p15:s1:seed15043
1.4335323980194516,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,hidden_relative_L2,1,4,aime24:p16:s0:seed16042
1.8536094722803682,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,hidden_relative_L2,1,4,aime24:p17:s0:seed17042
1.7897529958281666,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,hidden_relative_L2,1,4,aime24:p6:s0:seed6042
1.5334138568141498,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,hidden_relative_L2,0,5,aime24:p6:s1:seed6043
2.050048411882017,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,attention_output_relative_L2,0,5,aime24:p0:s0:seed42
1.640553638106212,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,attention_output_relative_L2,1,4,aime24:p11:s0:seed11042
1.9101470923051238,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,attention_output_relative_L2,1,4,aime24:p11:s1:seed11043
1.6934918036567979,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,attention_output_relative_L2,0,5,aime24:p12:s0:seed12042
1.5249704431626014,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,attention_output_relative_L2,1,4,aime24:p12:s1:seed12043
1.731959993543569,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,attention_output_relative_L2,0,5,aime24:p14:s0:seed14042
1.4165458698989823,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,attention_output_relative_L2,1,4,aime24:p15:s0:seed15042
2.360180970747024,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,attention_output_relative_L2,1,4,aime24:p15:s1:seed15043
1.4335323980194516,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,attention_output_relative_L2,1,4,aime24:p16:s0:seed16042
1.8536094722803682,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,attention_output_relative_L2,1,4,aime24:p17:s0:seed17042
1.7897529958281666,CONSISTENT_ACCUMULATION,kivi_rolling_k2v2_s0_r128,attention_output_relative_L2,1,4,aime24:p6:s0:seed6042
