availability_reason,checkpoint,checkpoint_available,task_key
available,128,true,aime24:p12:s0:seed12042
available,512,true,aime24:p12:s0:seed12042
available,1024,true,aime24:p12:s0:seed12042
available,2048,true,aime24:p12:s0:seed12042
available,4096,true,aime24:p12:s0:seed12042
available,8192,true,aime24:p12:s0:seed12042
trajectory_too_short,16384,false,aime24:p12:s0:seed12042
trajectory_too_short,24576,false,aime24:p12:s0:seed12042
available,128,true,aime24:p14:s0:seed14042
available,512,true,aime24:p14:s0:seed14042
available,1024,true,aime24:p14:s0:seed14042
available,2048,true,aime24:p14:s0:seed14042
available,4096,true,aime24:p14:s0:seed14042
trajectory_too_short,8192,false,aime24:p14:s0:seed14042
trajectory_too_short,16384,false,aime24:p14:s0:seed14042
trajectory_too_short,24576,false,aime24:p14:s0:seed14042
available,128,true,aime24:p15:s1:seed15043
available,512,true,aime24:p15:s1:seed15043
available,1024,true,aime24:p15:s1:seed15043
available,2048,true,aime24:p15:s1:seed15043
available,4096,true,aime24:p15:s1:seed15043
available,8192,true,aime24:p15:s1:seed15043
available,16384,true,aime24:p15:s1:seed15043
trajectory_too_short,24576,false,aime24:p15:s1:seed15043
available,128,true,aime24:p16:s0:seed16042
available,512,true,aime24:p16:s0:seed16042
available,1024,true,aime24:p16:s0:seed16042
available,2048,true,aime24:p16:s0:seed16042
available,4096,true,aime24:p16:s0:seed16042
available,8192,true,aime24:p16:s0:seed16042
trajectory_too_short,16384,false,aime24:p16:s0:seed16042
trajectory_too_short,24576,false,aime24:p16:s0:seed16042
available,128,true,aime24:p11:s0:seed11042
available,512,true,aime24:p11:s0:seed11042
available,1024,true,aime24:p11:s0:seed11042
available,2048,true,aime24:p11:s0:seed11042
available,4096,true,aime24:p11:s0:seed11042
trajectory_too_short,8192,false,aime24:p11:s0:seed11042
trajectory_too_short,16384,false,aime24:p11:s0:seed11042
trajectory_too_short,24576,false,aime24:p11:s0:seed11042
available,128,true,aime24:p12:s1:seed12043
available,512,true,aime24:p12:s1:seed12043
available,1024,true,aime24:p12:s1:seed12043
available,2048,true,aime24:p12:s1:seed12043
available,4096,true,aime24:p12:s1:seed12043
trajectory_too_short,8192,false,aime24:p12:s1:seed12043
trajectory_too_short,16384,false,aime24:p12:s1:seed12043
trajectory_too_short,24576,false,aime24:p12:s1:seed12043
available,128,true,aime24:p6:s0:seed6042
available,512,true,aime24:p6:s0:seed6042
available,1024,true,aime24:p6:s0:seed6042
available,2048,true,aime24:p6:s0:seed6042
available,4096,true,aime24:p6:s0:seed6042
trajectory_too_short,8192,false,aime24:p6:s0:seed6042
trajectory_too_short,16384,false,aime24:p6:s0:seed6042
trajectory_too_short,24576,false,aime24:p6:s0:seed6042
available,128,true,aime24:p6:s1:seed6043
available,512,true,aime24:p6:s1:seed6043
available,1024,true,aime24:p6:s1:seed6043
available,2048,true,aime24:p6:s1:seed6043
available,4096,true,aime24:p6:s1:seed6043
available,8192,true,aime24:p6:s1:seed6043
trajectory_too_short,16384,false,aime24:p6:s1:seed6043
trajectory_too_short,24576,false,aime24:p6:s1:seed6043
available,128,true,aime24:p0:s0:seed42
available,512,true,aime24:p0:s0:seed42
available,1024,true,aime24:p0:s0:seed42
available,2048,true,aime24:p0:s0:seed42
available,4096,true,aime24:p0:s0:seed42
trajectory_too_short,8192,false,aime24:p0:s0:seed42
trajectory_too_short,16384,false,aime24:p0:s0:seed42
trajectory_too_short,24576,false,aime24:p0:s0:seed42
available,128,true,aime24:p11:s1:seed11043
available,512,true,aime24:p11:s1:seed11043
available,1024,true,aime24:p11:s1:seed11043
available,2048,true,aime24:p11:s1:seed11043
available,4096,true,aime24:p11:s1:seed11043
trajectory_too_short,8192,false,aime24:p11:s1:seed11043
trajectory_too_short,16384,false,aime24:p11:s1:seed11043
trajectory_too_short,24576,false,aime24:p11:s1:seed11043
available,128,true,aime24:p15:s0:seed15042
available,512,true,aime24:p15:s0:seed15042
available,1024,true,aime24:p15:s0:seed15042
available,2048,true,aime24:p15:s0:seed15042
available,4096,true,aime24:p15:s0:seed15042
available,8192,true,aime24:p15:s0:seed15042
trajectory_too_short,16384,false,aime24:p15:s0:seed15042
trajectory_too_short,24576,false,aime24:p15:s0:seed15042
available,128,true,aime24:p17:s0:seed17042
available,512,true,aime24:p17:s0:seed17042
available,1024,true,aime24:p17:s0:seed17042
available,2048,true,aime24:p17:s0:seed17042
available,4096,true,aime24:p17:s0:seed17042
available,8192,true,aime24:p17:s0:seed17042
trajectory_too_short,16384,false,aime24:p17:s0:seed17042
trajectory_too_short,24576,false,aime24:p17:s0:seed17042
