checkpoint,config,error,mode,reference_next_token_id,status,task_key,total_tokens
128,kivi_paper_g128,,pseudo,51052,ok,aime24:p12:s0:seed12042,192
128,kivi_paper_g128,,static,51052,ok,aime24:p12:s0:seed12042,192
512,kivi_paper_g128,,pseudo,279,ok,aime24:p12:s0:seed12042,576
512,kivi_paper_g128,,static,279,ok,aime24:p12:s0:seed12042,576
1024,kivi_paper_g128,,pseudo,374,ok,aime24:p12:s0:seed12042,1088
1024,kivi_paper_g128,,static,374,ok,aime24:p12:s0:seed12042,1088
2048,kivi_paper_g128,,pseudo,5425,ok,aime24:p12:s0:seed12042,2112
2048,kivi_paper_g128,,static,5425,ok,aime24:p12:s0:seed12042,2112
4096,kivi_paper_g128,,pseudo,279,ok,aime24:p12:s0:seed12042,4160
4096,kivi_paper_g128,,static,279,ok,aime24:p12:s0:seed12042,4160
8192,kivi_paper_g128,,pseudo,220,ok,aime24:p12:s0:seed12042,8256
8192,kivi_paper_g128,"CUDA out of memory. Tried to allocate 3.95 GiB. GPU 0 has a total capacity of 23.56 GiB of which 3.12 GiB is free. Including non-PyTorch memory, this process has 20.41 GiB memory in use. Of the allocated memory 19.18 GiB is allocated by PyTorch, and 943.37 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",static,,oom,aime24:p12:s0:seed12042,
128,kivi_paper_g128,,pseudo,362,ok,aime24:p14:s0:seed14042,232
128,kivi_paper_g128,,static,362,ok,aime24:p14:s0:seed14042,232
512,kivi_paper_g128,,pseudo,11314,ok,aime24:p14:s0:seed14042,616
512,kivi_paper_g128,,static,11314,ok,aime24:p14:s0:seed14042,616
1024,kivi_paper_g128,,pseudo,17,ok,aime24:p14:s0:seed14042,1128
1024,kivi_paper_g128,,static,17,ok,aime24:p14:s0:seed14042,1128
2048,kivi_paper_g128,,pseudo,420,ok,aime24:p14:s0:seed14042,2152
2048,kivi_paper_g128,,static,420,ok,aime24:p14:s0:seed14042,2152
4096,kivi_paper_g128,,pseudo,304,ok,aime24:p14:s0:seed14042,4200
4096,kivi_paper_g128,,static,304,ok,aime24:p14:s0:seed14042,4200
128,kivi_paper_g128,,pseudo,578,ok,aime24:p15:s1:seed15043,248
128,kivi_paper_g128,,static,578,ok,aime24:p15:s1:seed15043,248
512,kivi_paper_g128,,pseudo,356,ok,aime24:p15:s1:seed15043,632
512,kivi_paper_g128,,static,356,ok,aime24:p15:s1:seed15043,632
1024,kivi_paper_g128,,pseudo,12264,ok,aime24:p15:s1:seed15043,1144
1024,kivi_paper_g128,,static,12264,ok,aime24:p15:s1:seed15043,1144
2048,kivi_paper_g128,,pseudo,293,ok,aime24:p15:s1:seed15043,2168
2048,kivi_paper_g128,,static,293,ok,aime24:p15:s1:seed15043,2168
4096,kivi_paper_g128,,pseudo,220,ok,aime24:p15:s1:seed15043,4216
4096,kivi_paper_g128,,static,220,ok,aime24:p15:s1:seed15043,4216
8192,kivi_paper_g128,,pseudo,482,ok,aime24:p15:s1:seed15043,8312
