checkpoint,exact_equal,method_group,metric_name,mode,paper_config,paper_value,runtime_equivalent,s0_config,s0_value
128,True,pattern,packed_history_tokens,pseudo_production,patternkv_paper,0.0,True,pattern_rolling_k2v2_s0_r128,0.0
128,True,pattern,pending_history_tokens,pseudo_production,patternkv_paper,120.0,True,pattern_rolling_k2v2_s0_r128,120.0
128,True,pattern,recent_tokens,pseudo_production,patternkv_paper,128.0,True,pattern_rolling_k2v2_s0_r128,128.0
128,True,pattern,sink_tokens,pseudo_production,patternkv_paper,0.0,True,pattern_rolling_k2v2_s0_r128,0.0
128,False,pattern,packed_history_tokens,static_state,patternkv_paper,,True,pattern_rolling_k2v2_s0_r128,0.0
128,False,pattern,pending_history_tokens,static_state,patternkv_paper,,True,pattern_rolling_k2v2_s0_r128,120.0
128,False,pattern,recent_tokens,static_state,patternkv_paper,,True,pattern_rolling_k2v2_s0_r128,128.0
128,False,pattern,sink_tokens,static_state,patternkv_paper,,True,pattern_rolling_k2v2_s0_r128,0.0
256,True,pattern,packed_history_tokens,pseudo_production,patternkv_paper,128.0,True,pattern_rolling_k2v2_s0_r128,128.0
256,True,pattern,pending_history_tokens,pseudo_production,patternkv_paper,120.0,True,pattern_rolling_k2v2_s0_r128,120.0
256,True,pattern,recent_tokens,pseudo_production,patternkv_paper,128.0,True,pattern_rolling_k2v2_s0_r128,128.0
256,True,pattern,sink_tokens,pseudo_production,patternkv_paper,0.0,True,pattern_rolling_k2v2_s0_r128,0.0
512,True,pattern,packed_history_tokens,pseudo_production,patternkv_paper,384.0,True,pattern_rolling_k2v2_s0_r128,384.0
512,True,pattern,pending_history_tokens,pseudo_production,patternkv_paper,120.0,True,pattern_rolling_k2v2_s0_r128,120.0
512,True,pattern,recent_tokens,pseudo_production,patternkv_paper,128.0,True,pattern_rolling_k2v2_s0_r128,128.0
512,True,pattern,sink_tokens,pseudo_production,patternkv_paper,0.0,True,pattern_rolling_k2v2_s0_r128,0.0
512,False,pattern,packed_history_tokens,static_state,patternkv_paper,,True,pattern_rolling_k2v2_s0_r128,384.0
512,False,pattern,pending_history_tokens,static_state,patternkv_paper,,True,pattern_rolling_k2v2_s0_r128,120.0
512,False,pattern,recent_tokens,static_state,patternkv_paper,,True,pattern_rolling_k2v2_s0_r128,128.0
512,False,pattern,sink_tokens,static_state,patternkv_paper,,True,pattern_rolling_k2v2_s0_r128,0.0
128,True,kivi,packed_history_tokens,pseudo_production,kivi_paper_g128,0.0,True,kivi_rolling_k2v2_s0_r128,0.0
128,True,kivi,pending_history_tokens,pseudo_production,kivi_paper_g128,120.0,True,kivi_rolling_k2v2_s0_r128,120.0
128,True,kivi,recent_tokens,pseudo_production,kivi_paper_g128,128.0,True,kivi_rolling_k2v2_s0_r128,128.0
128,True,kivi,sink_tokens,pseudo_production,kivi_paper_g128,0.0,True,kivi_rolling_k2v2_s0_r128,0.0
128,False,kivi,packed_history_tokens,static_state,kivi_paper_g128,,True,kivi_rolling_k2v2_s0_r128,0.0
128,False,kivi,pending_history_tokens,static_state,kivi_paper_g128,,True,kivi_rolling_k2v2_s0_r128,120.0
128,False,kivi,recent_tokens,static_state,kivi_paper_g128,,True,kivi_rolling_k2v2_s0_r128,128.0
128,False,kivi,sink_tokens,static_state,kivi_paper_g128,,True,kivi_rolling_k2v2_s0_r128,0.0
256,True,kivi,packed_history_tokens,pseudo_production,kivi_paper_g128,128.0,True,kivi_rolling_k2v2_s0_r128,128.0
256,True,kivi,pending_history_tokens,pseudo_production,kivi_paper_g128,120.0,True,kivi_rolling_k2v2_s0_r128,120.0
256,True,kivi,recent_tokens,pseudo_production,kivi_paper_g128,128.0,True,kivi_rolling_k2v2_s0_r128,128.0
256,True,kivi,sink_tokens,pseudo_production,kivi_paper_g128,0.0,True,kivi_rolling_k2v2_s0_r128,0.0
512,True,kivi,packed_history_tokens,pseudo_production,kivi_paper_g128,384.0,True,kivi_rolling_k2v2_s0_r128,384.0
512,True,kivi,pending_history_tokens,pseudo_production,kivi_paper_g128,120.0,True,kivi_rolling_k2v2_s0_r128,120.0
512,True,kivi,recent_tokens,pseudo_production,kivi_paper_g128,128.0,True,kivi_rolling_k2v2_s0_r128,128.0
512,True,kivi,sink_tokens,pseudo_production,kivi_paper_g128,0.0,True,kivi_rolling_k2v2_s0_r128,0.0
512,False,kivi,packed_history_tokens,static_state,kivi_paper_g128,,True,kivi_rolling_k2v2_s0_r128,384.0
512,False,kivi,pending_history_tokens,static_state,kivi_paper_g128,,True,kivi_rolling_k2v2_s0_r128,120.0
512,False,kivi,recent_tokens,static_state,kivi_paper_g128,,True,kivi_rolling_k2v2_s0_r128,128.0
512,False,kivi,sink_tokens,static_state,kivi_paper_g128,,True,kivi_rolling_k2v2_s0_r128,0.0
