checkpoint,method_group,mode,paper_cache_mode,paper_config,paper_recent_length,paper_record_path,paper_sink_length,runtime_equivalent,s0_cache_mode,s0_config,s0_recent_length,s0_record_path,s0_sink_length,same_file,same_record_hash,task_key
1024,pattern,pseudo,segmented_rolling,patternkv_paper,128,results/aime24_pseudodecode_3090_8gpu/formal/shards/patternkv_paper.metrics.csv,0,True,segmented_rolling,pattern_rolling_k2v2_s0_r128,128,results/aime24_pseudodecode_3090_8gpu/formal/shards/pattern_rolling_k2v2_s0_r128.metrics.csv,0,False,True,aime24:p0:s0:seed42
1024,pattern,static,segmented_rolling,patternkv_paper,128,results/aime24_pseudodecode_3090_8gpu/formal/shards/patternkv_paper.metrics.csv,0,True,segmented_rolling,pattern_rolling_k2v2_s0_r128,128,results/aime24_pseudodecode_3090_8gpu/formal/shards/pattern_rolling_k2v2_s0_r128.metrics.csv,0,False,True,aime24:p0:s0:seed42
128,pattern,pseudo,segmented_rolling,patternkv_paper,128,results/aime24_pseudodecode_3090_8gpu/formal/shards/patternkv_paper.metrics.csv,0,True,segmented_rolling,pattern_rolling_k2v2_s0_r128,128,results/aime24_pseudodecode_3090_8gpu/formal/shards/pattern_rolling_k2v2_s0_r128.metrics.csv,0,False,True,aime24:p0:s0:seed42
128,pattern,static,segmented_rolling,patternkv_paper,128,results/aime24_pseudodecode_3090_8gpu/formal/shards/patternkv_paper.metrics.csv,0,True,segmented_rolling,pattern_rolling_k2v2_s0_r128,128,results/aime24_pseudodecode_3090_8gpu/formal/shards/pattern_rolling_k2v2_s0_r128.metrics.csv,0,False,True,aime24:p0:s0:seed42
2048,pattern,pseudo,segmented_rolling,patternkv_paper,128,results/aime24_pseudodecode_3090_8gpu/formal/shards/patternkv_paper.metrics.csv,0,True,segmented_rolling,pattern_rolling_k2v2_s0_r128,128,results/aime24_pseudodecode_3090_8gpu/formal/shards/pattern_rolling_k2v2_s0_r128.metrics.csv,0,False,True,aime24:p0:s0:seed42
2048,pattern,static,segmented_rolling,patternkv_paper,128,results/aime24_pseudodecode_3090_8gpu/formal/shards/patternkv_paper.metrics.csv,0,True,segmented_rolling,pattern_rolling_k2v2_s0_r128,128,results/aime24_pseudodecode_3090_8gpu/formal/shards/pattern_rolling_k2v2_s0_r128.metrics.csv,0,False,True,aime24:p0:s0:seed42
4096,pattern,pseudo,segmented_rolling,patternkv_paper,128,results/aime24_pseudodecode_3090_8gpu/formal/shards/patternkv_paper.metrics.csv,0,True,segmented_rolling,pattern_rolling_k2v2_s0_r128,128,results/aime24_pseudodecode_3090_8gpu/formal/shards/pattern_rolling_k2v2_s0_r128.metrics.csv,0,False,True,aime24:p0:s0:seed42
4096,pattern,static,segmented_rolling,patternkv_paper,128,results/aime24_pseudodecode_3090_8gpu/formal/shards/patternkv_paper.metrics.csv,0,True,segmented_rolling,pattern_rolling_k2v2_s0_r128,128,results/aime24_pseudodecode_3090_8gpu/formal/shards/pattern_rolling_k2v2_s0_r128.metrics.csv,0,False,True,aime24:p0:s0:seed42
512,pattern,pseudo,segmented_rolling,patternkv_paper,128,results/aime24_pseudodecode_3090_8gpu/formal/shards/patternkv_paper.metrics.csv,0,True,segmented_rolling,pattern_rolling_k2v2_s0_r128,128,results/aime24_pseudodecode_3090_8gpu/formal/shards/pattern_rolling_k2v2_s0_r128.metrics.csv,0,False,True,aime24:p0:s0:seed42
512,pattern,static,segmented_rolling,patternkv_paper,128,results/aime24_pseudodecode_3090_8gpu/formal/shards/patternkv_paper.metrics.csv,0,True,segmented_rolling,pattern_rolling_k2v2_s0_r128,128,results/aime24_pseudodecode_3090_8gpu/formal/shards/pattern_rolling_k2v2_s0_r128.metrics.csv,0,False,True,aime24:p0:s0:seed42
