checkpoint,median_accumulation_fraction,median_accumulation_gap,median_pseudo_degradation,median_static_degradation,metric,static_vs_accumulation_classification
128,0.023949122244823113,-1.488660927861929e-06,0.0020088538294658065,0.002045915345661342,hidden_relative_L2,STATIC_REPRESENTATION_DOMINATED_OR_NO_ACCUMULATION
512,0.9801141718135028,0.11255578038981184,0.11443809419870377,0.0021224324591457844,hidden_relative_L2,ACCUMULATION_DOMINATED
1024,0.9819228420547135,0.09204645646968856,0.09393830969929695,0.0018786558066494763,hidden_relative_L2,ACCUMULATION_DOMINATED
2048,0.9860972398618082,0.1582456782925874,0.16102290153503418,0.0022757218685001135,hidden_relative_L2,ACCUMULATION_DOMINATED
4096,0.9880627840808083,0.17495675216196105,0.17689909785985947,0.0021021502325311303,hidden_relative_L2,ACCUMULATION_DOMINATED
128,0.03571428571428571,2.9802322387695312e-08,2.1457672119140625e-06,2.2649765014648438e-06,hidden_cosine_loss,STATIC_REPRESENTATION_DOMINATED
512,0.999560526265983,0.006547361612319946,0.006549447774887085,2.6226043701171875e-06,hidden_cosine_loss,ACCUMULATION_DOMINATED
1024,0.999559217134853,0.004403412342071533,0.004405468702316284,2.115964889526367e-06,hidden_cosine_loss,ACCUMULATION_DOMINATED
2048,0.999767587623802,0.012533724308013916,0.012537866830825806,2.86102294921875e-06,hidden_cosine_loss,ACCUMULATION_DOMINATED
4096,0.9998283747096759,0.015327513217926025,0.015331059694290161,2.5331974029541016e-06,hidden_cosine_loss,ACCUMULATION_DOMINATED
128,0.023949122244823113,-1.488660927861929e-06,0.0020088538294658065,0.002045915345661342,attention_output_relative_L2,STATIC_REPRESENTATION_DOMINATED_OR_NO_ACCUMULATION
512,0.9801141718135028,0.11255578038981184,0.11443809419870377,0.0021224324591457844,attention_output_relative_L2,ACCUMULATION_DOMINATED
1024,0.9819228420547135,0.09204645646968856,0.09393830969929695,0.0018786558066494763,attention_output_relative_L2,ACCUMULATION_DOMINATED
2048,0.9860972398618082,0.1582456782925874,0.16102290153503418,0.0022757218685001135,attention_output_relative_L2,ACCUMULATION_DOMINATED
4096,0.9880627840808083,0.17495675216196105,0.17689909785985947,0.0021021502325311303,attention_output_relative_L2,ACCUMULATION_DOMINATED
128,0.5376114012705366,1.2827491291389492e-07,4.594796109813615e-06,9.904035778163234e-06,next_token_KL,ACCUMULATION_DOMINATED
512,0.9982214280906332,0.002355930728867861,0.002371019101701677,2.7385659677747753e-06,next_token_KL,ACCUMULATION_DOMINATED
1024,0.9999082466324205,0.0009585674728853633,0.0009656020265538245,6.166138177832181e-08,next_token_KL,ACCUMULATION_DOMINATED
2048,0.999888880462418,0.0009138555906247348,0.0009138555906247348,6.778389050055011e-08,next_token_KL,ACCUMULATION_DOMINATED
4096,0.9997851553021724,0.00030055913670068435,0.0003006027945957612,2.1029140206962893e-08,next_token_KL,ACCUMULATION_DOMINATED
128,1.0005791143901557,3.996491386715206e-05,0.0,6.533227860927582e-07,target_token_NLL_delta,ACCUMULATION_DOMINATED
512,0.9798699507443032,0.00018395696679363027,0.00018943861505249515,6.19678758084774e-06,target_token_NLL_delta,ACCUMULATION_DOMINATED
1024,1.0014789672163191,0.0005824698600918055,0.0005790905852336437,-1.1917973097297363e-07,target_token_NLL_delta,ACCUMULATION_DOMINATED
2048,0.9999635501349464,4.767098289448768e-06,5.124493327457458e-06,6.55418261885643e-07,target_token_NLL_delta,ACCUMULATION_DOMINATED
4096,1.0010103706277553,0.00020058048721693922,0.0002021891159529332,-1.192074705613777e-07,target_token_NLL_delta,ACCUMULATION_DOMINATED
128,,0.0,0.0,0.0,top1_disagreement,STATIC_REPRESENTATION_DOMINATED_OR_NO_ACCUMULATION
512,,0.0,0.0,0.0,top1_disagreement,STATIC_REPRESENTATION_DOMINATED_OR_NO_ACCUMULATION
1024,,0.0,0.0,0.0,top1_disagreement,STATIC_REPRESENTATION_DOMINATED_OR_NO_ACCUMULATION
2048,,0.0,0.0,0.0,top1_disagreement,STATIC_REPRESENTATION_DOMINATED_OR_NO_ACCUMULATION
4096,,0.0,0.0,0.0,top1_disagreement,STATIC_REPRESENTATION_DOMINATED_OR_NO_ACCUMULATION
