checkpoint,config,expected_relation,layer,metric_name,metric_value,mode,notes,pass,phase,task_key
128,fp16,static ~= pseudo,final,next_token_KL,1.8878992705140263e-05,static_vs_pseudo,,false,Z,aime24:p15:s1:seed15043
128,fp16,static ~= pseudo,final,next_token_JS,4.795070708496496e-06,static_vs_pseudo,,false,Z,aime24:p15:s1:seed15043
128,fp16,static ~= pseudo,final,logit_max_abs_diff,0.015625,static_vs_pseudo,,false,Z,aime24:p15:s1:seed15043
128,fp16,static ~= pseudo,final,logit_mean_abs_diff,0.002453557448461652,static_vs_pseudo,,false,Z,aime24:p15:s1:seed15043
128,fp16,static ~= pseudo,final,top1_agreement,True,static_vs_pseudo,,false,Z,aime24:p15:s1:seed15043
128,fp16,static ~= pseudo,final,top1_disagreement,0.0,static_vs_pseudo,,false,Z,aime24:p15:s1:seed15043
128,fp16,static ~= pseudo,final,target_token_NLL_delta,0.0026763975620269775,static_vs_pseudo,,false,Z,aime24:p15:s1:seed15043
128,fp16,static ~= pseudo,final,hidden_relative_L2,0.00175051752012223,static_vs_pseudo,,false,Z,aime24:p15:s1:seed15043
128,fp16,static ~= pseudo,final,hidden_MAE,0.0027611679397523403,static_vs_pseudo,,false,Z,aime24:p15:s1:seed15043
128,fp16,static ~= pseudo,final,hidden_cosine,0.999998152256012,static_vs_pseudo,,false,Z,aime24:p15:s1:seed15043
128,fp16,static ~= pseudo,final,hidden_cosine_loss,1.8477439880371094e-06,static_vs_pseudo,,false,Z,aime24:p15:s1:seed15043
128,fp16,static ~= pseudo,final,attention_output_relative_L2,0.00175051752012223,static_vs_pseudo,,false,Z,aime24:p15:s1:seed15043
128,fp16,static ~= pseudo,final,attention_output_MAE,0.0027611679397523403,static_vs_pseudo,,false,Z,aime24:p15:s1:seed15043
128,fp16,static ~= pseudo,final,post_WO_relative_L2,0.00175051752012223,static_vs_pseudo,,false,Z,aime24:p15:s1:seed15043
512,fp16,static ~= pseudo,final,next_token_KL,1.8352326947024267e-07,static_vs_pseudo,,false,Z,aime24:p15:s1:seed15043
512,fp16,static ~= pseudo,final,next_token_JS,7.62689111866166e-09,static_vs_pseudo,,false,Z,aime24:p15:s1:seed15043
512,fp16,static ~= pseudo,final,logit_max_abs_diff,0.01953125,static_vs_pseudo,,false,Z,aime24:p15:s1:seed15043
512,fp16,static ~= pseudo,final,logit_mean_abs_diff,0.0030189109966158867,static_vs_pseudo,,false,Z,aime24:p15:s1:seed15043
512,fp16,static ~= pseudo,final,top1_agreement,True,static_vs_pseudo,,false,Z,aime24:p15:s1:seed15043
512,fp16,static ~= pseudo,final,top1_disagreement,0.0,static_vs_pseudo,,false,Z,aime24:p15:s1:seed15043
512,fp16,static ~= pseudo,final,target_token_NLL_delta,2.383312676101923e-07,static_vs_pseudo,,false,Z,aime24:p15:s1:seed15043
512,fp16,static ~= pseudo,final,hidden_relative_L2,0.0024958793073892593,static_vs_pseudo,,false,Z,aime24:p15:s1:seed15043
512,fp16,static ~= pseudo,final,hidden_MAE,0.0032004450913518667,static_vs_pseudo,,false,Z,aime24:p15:s1:seed15043
512,fp16,static ~= pseudo,final,hidden_cosine,0.999996542930603,static_vs_pseudo,,false,Z,aime24:p15:s1:seed15043
512,fp16,static ~= pseudo,final,hidden_cosine_loss,3.4570693969726562e-06,static_vs_pseudo,,false,Z,aime24:p15:s1:seed15043
512,fp16,static ~= pseudo,final,attention_output_relative_L2,0.0024958793073892593,static_vs_pseudo,,false,Z,aime24:p15:s1:seed15043
512,fp16,static ~= pseudo,final,attention_output_MAE,0.0032004450913518667,static_vs_pseudo,,false,Z,aime24:p15:s1:seed15043
