absolute_sequence_position,accumulation_metric_schema_version,checkpoint,config,generated_checkpoint,layer,matched_fp16_mode,matched_path_control_version,method,metric_name,metric_value,mode,reference_next_token_id,source_commit,task_key,trajectory_sha256
192,matched_path_accumulation_v1,128,kivi_paper_g128,128,final,pseudo,v1,kivi_paper_g128,hidden_cosine_loss,2.205371856689453e-06,pseudo,51052,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,matched_path_accumulation_v1,128,kivi_paper_g128,128,final,pseudo,v1,kivi_paper_g128,hidden_relative_L2,0.0020886568818241358,pseudo,51052,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,matched_path_accumulation_v1,128,kivi_paper_g128,128,final,pseudo,v1,kivi_paper_g128,attention_output_relative_L2,0.0020886568818241358,pseudo,51052,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,matched_path_accumulation_v1,128,kivi_paper_g128,128,final,pseudo,v1,kivi_paper_g128,next_token_KL,1.662789905765294e-08,pseudo,51052,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,matched_path_accumulation_v1,128,kivi_paper_g128,128,final,pseudo,v1,kivi_paper_g128,next_token_JS,9.671596856719589e-11,pseudo,51052,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,matched_path_accumulation_v1,128,kivi_paper_g128,128,final,pseudo,v1,kivi_paper_g128,target_token_NLL_delta,0.0,pseudo,51052,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,matched_path_accumulation_v1,128,kivi_paper_g128,128,final,pseudo,v1,kivi_paper_g128,top1_disagreement,0.0,pseudo,51052,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,matched_path_accumulation_v1,128,kivi_paper_g128,128,final,pseudo,v1,kivi_paper_g128,logit_max_abs_diff,0.01953125,pseudo,51052,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,matched_path_accumulation_v1,128,kivi_paper_g128,128,final,static,v1,kivi_paper_g128,hidden_cosine_loss,2.3245811462402344e-06,static,51052,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
192,matched_path_accumulation_v1,128,kivi_paper_g128,128,final,static,v1,kivi_paper_g128,hidden_relative_L2,0.002076638862490654,static,51052,232e3b08d10919ca24932ad0a0135e46119ecfd5,aime24:p12:s0:seed12042,7754635042ebef112c4b83e17b7500a20db8f14bba0fb44fd8575864e04baa05
