auc,auc_kind,auc_source,layer,method,metric_family,metric_name,n_available,object_type,region,statistic,task_key
0.28604561276733875,static,metric_value,0,BASE_V2,v_direction,direction_error,5,v_stored,all_packed_tokens,mean,aime24:p0:s0:seed42
0.7207748666405678,static,metric_value,0,BASE_V2,v_direction,direction_error,5,v_stored,all_packed_tokens,p95,aime24:p0:s0:seed42
1.5273247063159943,static,metric_value,0,BASE_V2,v_direction,relative_L2,5,v_stored,all_packed_tokens,mean,aime24:p0:s0:seed42
3.001114636659622,static,metric_value,0,BASE_V2,v_direction,relative_L2,5,v_stored,all_packed_tokens,p95,aime24:p0:s0:seed42
0.28604561276733875,static,metric_value,0,BASE_V2,v_direction,direction_error,5,v_stored,v2_unselected_tokens,mean,aime24:p0:s0:seed42
0.7207748666405678,static,metric_value,0,BASE_V2,v_direction,direction_error,5,v_stored,v2_unselected_tokens,p95,aime24:p0:s0:seed42
1.5273247063159943,static,metric_value,0,BASE_V2,v_direction,relative_L2,5,v_stored,v2_unselected_tokens,mean,aime24:p0:s0:seed42
3.001114636659622,static,metric_value,0,BASE_V2,v_direction,relative_L2,5,v_stored,v2_unselected_tokens,p95,aime24:p0:s0:seed42
0.0,static,metric_value,0,BASE_V2,v_direction,direction_error,5,v_stored,v4_selected_tokens,mean,aime24:p0:s0:seed42
0.0,static,metric_value,0,BASE_V2,v_direction,direction_error,5,v_stored,v4_selected_tokens,p95,aime24:p0:s0:seed42
0.0,static,metric_value,0,BASE_V2,v_direction,relative_L2,5,v_stored,v4_selected_tokens,mean,aime24:p0:s0:seed42
0.0,static,metric_value,0,BASE_V2,v_direction,relative_L2,5,v_stored,v4_selected_tokens,p95,aime24:p0:s0:seed42
0.33641091361641884,static,metric_value,15,BASE_V2,v_direction,direction_error,5,v_stored,all_packed_tokens,mean,aime24:p0:s0:seed42
0.531776774674654,static,metric_value,15,BASE_V2,v_direction,direction_error,5,v_stored,all_packed_tokens,p95,aime24:p0:s0:seed42
1.9286954551935196,static,metric_value,15,BASE_V2,v_direction,relative_L2,5,v_stored,all_packed_tokens,mean,aime24:p0:s0:seed42
2.5283773839473724,static,metric_value,15,BASE_V2,v_direction,relative_L2,5,v_stored,all_packed_tokens,p95,aime24:p0:s0:seed42
0.33641091361641884,static,metric_value,15,BASE_V2,v_direction,direction_error,5,v_stored,v2_unselected_tokens,mean,aime24:p0:s0:seed42
0.531776774674654,static,metric_value,15,BASE_V2,v_direction,direction_error,5,v_stored,v2_unselected_tokens,p95,aime24:p0:s0:seed42
1.9286954551935196,static,metric_value,15,BASE_V2,v_direction,relative_L2,5,v_stored,v2_unselected_tokens,mean,aime24:p0:s0:seed42
2.5283773839473724,static,metric_value,15,BASE_V2,v_direction,relative_L2,5,v_stored,v2_unselected_tokens,p95,aime24:p0:s0:seed42
0.0,static,metric_value,15,BASE_V2,v_direction,direction_error,5,v_stored,v4_selected_tokens,mean,aime24:p0:s0:seed42
0.0,static,metric_value,15,BASE_V2,v_direction,direction_error,5,v_stored,v4_selected_tokens,p95,aime24:p0:s0:seed42
0.0,static,metric_value,15,BASE_V2,v_direction,relative_L2,5,v_stored,v4_selected_tokens,mean,aime24:p0:s0:seed42
0.0,static,metric_value,15,BASE_V2,v_direction,relative_L2,5,v_stored,v4_selected_tokens,p95,aime24:p0:s0:seed42
0.33324437215924263,static,metric_value,23,BASE_V2,v_direction,direction_error,5,v_stored,all_packed_tokens,mean,aime24:p0:s0:seed42
0.531351275742054,static,metric_value,23,BASE_V2,v_direction,direction_error,5,v_stored,all_packed_tokens,p95,aime24:p0:s0:seed42
1.914445161819458,static,metric_value,23,BASE_V2,v_direction,relative_L2,5,v_stored,all_packed_tokens,mean,aime24:p0:s0:seed42
2.518306702375412,static,metric_value,23,BASE_V2,v_direction,relative_L2,5,v_stored,all_packed_tokens,p95,aime24:p0:s0:seed42
0.33324437215924263,static,metric_value,23,BASE_V2,v_direction,direction_error,5,v_stored,v2_unselected_tokens,mean,aime24:p0:s0:seed42
