problem_id,importance_correct,importance_generated_tokens,importance_stop_reason,importance_parser_error,importance_generated_answer,error_correct,error_generated_tokens,error_stop_reason,error_parser_error,error_generated_answer,gold_answer
0,true,7031,eos,,204,true,2647,eos,,204,204
1,false,32768,length,,946,false,20191,eos,,69,113
2,false,14032,eos,,35,false,13283,eos,,9,371
3,false,14812,eos,,6,false,12525,eos,,8,385
4,false,6214,eos,,155,false,5709,eos,,155,110
5,true,5382,eos,,104,true,5424,eos,,104,104
6,true,14319,eos,,721,true,6347,eos,,721,721
7,true,12025,eos,,25,true,7435,eos,,25,25
8,true,3254,eos,,809,true,2863,eos,,809,809
9,true,2747,eos,,116,true,3079,eos,,116,116
10,true,5361,eos,,104,false,17926,eos,,873,104
11,true,5466,eos,,294,true,4029,eos,,294,294
12,true,4566,eos,,540,true,5025,eos,,540,540
13,false,11070,eos,,287,false,32768,length,,2,197
14,false,11135,eos,,2,true,8912,eos,,480,480
15,false,16515,eos,,234,false,13623,eos,,1,73
16,false,16247,eos,,312,true,8327,eos,,468,468
17,false,21244,eos,,13,false,26765,eos,,301,601
18,true,5010,eos,,23,true,8505,eos,,23,23
19,true,7929,eos,,321,true,15529,eos,,321,321
20,true,14613,eos,,211,false,26816,eos,,256,211
21,false,32768,length,no_valid_aime_integer_0_999,,false,14665,eos,,432,315
22,false,20177,eos,,216,false,16532,eos,,217,236
23,false,26832,eos,,81,false,26615,eos,,3,45
24,true,3467,eos,,33,true,3120,eos,,33,33
25,false,11588,eos,,120,false,16435,eos,,60,80
26,true,3843,eos,,55,true,3821,eos,,55,55
27,false,18149,eos,,200,true,10250,eos,,699,699
28,false,23965,eos,,3,false,16034,eos,,79,127
29,false,32768,length,no_valid_aime_integer_0_999,,false,32768,length,,25,902
