attention_output_auc,budget,future_v_source_auc,hidden_auc,method,selector,value_only_auc
0.294276682427153,0.0,0.07337281958848507,0.5516381371417083,BASE_V2,random,0.28950556728523225
0.3032775733154267,0.125,0.059142023568938384,0.5228992379852571,RANDOM_V4,random,0.2857940450194292
0.2702787087764591,0.25,0.058213715418105494,0.5316084499063436,RANDOM_V4_25,random,0.2772478045662865
0.2859430357348174,0.5,0.05609748950178073,0.49951921828323975,RANDOM_V4_50,random,0.28300254233181477
0.24394999159267172,1.0,0.05028529169453577,0.4415073958807625,ALL_V4,random,0.2925377690116875
0.294276682427153,0.0,0.07337281958848507,0.5516381371417083,BASE_V2,causal,0.28950556728523225
0.2885930936317891,0.125,0.058150106644689004,0.5045470592158381,CAUSAL_V4,causal,0.2825453949626535
0.2524959467118606,0.25,0.05449238694222913,0.4967746451147832,CAUSAL_V4_25,causal,0.2815940255532041
0.2433318899711594,0.5,0.050695227994083325,0.456561935658101,CAUSAL_V4_50,causal,0.2675974298035726
0.24394999159267172,1.0,0.05028529169453577,0.4415073958807625,ALL_V4,causal,0.2925377690116875
