auc,auc_kind,auc_source,layer,method,metric_family,metric_name,n_available,object_type,region,statistic,task_key
1.553747296333313,static,metric_value,0,BASE,v_direction,direction_error,5,v_stored,all_tokens,max,aime24:p0:s0:seed42
0.2235841490328312,static,metric_value,0,BASE,v_direction,direction_error,5,v_stored,all_tokens,mean,aime24:p0:s0:seed42
0.14572322368621826,static,metric_value,0,BASE,v_direction,direction_error,5,v_stored,all_tokens,p50,aime24:p0:s0:seed42
0.5582597181200981,static,metric_value,0,BASE,v_direction,direction_error,5,v_stored,all_tokens,p90,aime24:p0:s0:seed42
0.6689366698265076,static,metric_value,0,BASE,v_direction,direction_error,5,v_stored,all_tokens,p95,aime24:p0:s0:seed42
0.9487897008657455,static,metric_value,0,BASE,v_direction,direction_error,5,v_stored,all_tokens,p99,aime24:p0:s0:seed42
5.5708248019218445,static,metric_value,0,BASE,v_direction,relative_L2,5,v_stored,all_tokens,max,aime24:p0:s0:seed42
1.1922537833452225,static,metric_value,0,BASE,v_direction,relative_L2,5,v_stored,all_tokens,mean,aime24:p0:s0:seed42
1.1116567179560661,static,metric_value,0,BASE,v_direction,relative_L2,5,v_stored,all_tokens,p50,aime24:p0:s0:seed42
2.6029990911483765,static,metric_value,0,BASE,v_direction,relative_L2,5,v_stored,all_tokens,p90,aime24:p0:s0:seed42
2.8725006878376007,static,metric_value,0,BASE,v_direction,relative_L2,5,v_stored,all_tokens,p95,aime24:p0:s0:seed42
3.5539117455482483,static,metric_value,0,BASE,v_direction,relative_L2,5,v_stored,all_tokens,p99,aime24:p0:s0:seed42
0.12323839589953423,static,metric_value,0,BASE,v_direction,weighted_direction_error_fp,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.12973345443606377,static,metric_value,0,BASE,v_direction,weighted_direction_error_quant,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.5945718251168728,static,metric_value,0,BASE,v_direction,weighted_relative_L2_fp,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.6237639412283897,static,metric_value,0,BASE,v_direction,weighted_relative_L2_quant,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.9365391731262207,static,metric_value,15,BASE,v_direction,direction_error,5,v_stored,all_tokens,max,aime24:p0:s0:seed42
0.2652258351445198,static,metric_value,15,BASE,v_direction,direction_error,5,v_stored,all_tokens,mean,aime24:p0:s0:seed42
0.2528749257326126,static,metric_value,15,BASE,v_direction,direction_error,5,v_stored,all_tokens,p50,aime24:p0:s0:seed42
0.4640260897576809,static,metric_value,15,BASE,v_direction,direction_error,5,v_stored,all_tokens,p90,aime24:p0:s0:seed42
0.5114875361323357,static,metric_value,15,BASE,v_direction,direction_error,5,v_stored,all_tokens,p95,aime24:p0:s0:seed42
0.6107907891273499,static,metric_value,15,BASE,v_direction,direction_error,5,v_stored,all_tokens,p99,aime24:p0:s0:seed42
3.331671953201294,static,metric_value,15,BASE,v_direction,relative_L2,5,v_stored,all_tokens,max,aime24:p0:s0:seed42
1.5153659880161285,static,metric_value,15,BASE,v_direction,relative_L2,5,v_stored,all_tokens,mean,aime24:p0:s0:seed42
1.5166324554011226,static,metric_value,15,BASE,v_direction,relative_L2,5,v_stored,all_tokens,p50,aime24:p0:s0:seed42
2.335290715098381,static,metric_value,15,BASE,v_direction,relative_L2,5,v_stored,all_tokens,p90,aime24:p0:s0:seed42
2.4683422297239304,static,metric_value,15,BASE,v_direction,relative_L2,5,v_stored,all_tokens,p95,aime24:p0:s0:seed42
2.7223065197467804,static,metric_value,15,BASE,v_direction,relative_L2,5,v_stored,all_tokens,p99,aime24:p0:s0:seed42
0.05035032890737057,static,metric_value,15,BASE,v_direction,weighted_direction_error_fp,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.059866155963391066,static,metric_value,15,BASE,v_direction,weighted_direction_error_quant,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.2932359632104635,static,metric_value,15,BASE,v_direction,weighted_relative_L2_fp,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.3448673337697983,static,metric_value,15,BASE,v_direction,weighted_relative_L2_quant,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.8951816558837891,static,metric_value,23,BASE,v_direction,direction_error,5,v_stored,all_tokens,max,aime24:p0:s0:seed42
0.262470006942749,static,metric_value,23,BASE,v_direction,direction_error,5,v_stored,all_tokens,mean,aime24:p0:s0:seed42
0.25279600918293,static,metric_value,23,BASE,v_direction,direction_error,5,v_stored,all_tokens,p50,aime24:p0:s0:seed42
0.4634595029056072,static,metric_value,23,BASE,v_direction,direction_error,5,v_stored,all_tokens,p90,aime24:p0:s0:seed42
0.5130200274288654,static,metric_value,23,BASE,v_direction,direction_error,5,v_stored,all_tokens,p95,aime24:p0:s0:seed42
0.6073402240872383,static,metric_value,23,BASE,v_direction,direction_error,5,v_stored,all_tokens,p99,aime24:p0:s0:seed42
3.7000553607940674,static,metric_value,23,BASE,v_direction,relative_L2,5,v_stored,all_tokens,max,aime24:p0:s0:seed42
1.5033079087734222,static,metric_value,23,BASE,v_direction,relative_L2,5,v_stored,all_tokens,mean,aime24:p0:s0:seed42
1.518352875020355,static,metric_value,23,BASE,v_direction,relative_L2,5,v_stored,all_tokens,p50,aime24:p0:s0:seed42
2.340485602617264,static,metric_value,23,BASE,v_direction,relative_L2,5,v_stored,all_tokens,p90,aime24:p0:s0:seed42
2.4679498374462128,static,metric_value,23,BASE,v_direction,relative_L2,5,v_stored,all_tokens,p95,aime24:p0:s0:seed42
2.7148875296115875,static,metric_value,23,BASE,v_direction,relative_L2,5,v_stored,all_tokens,p99,aime24:p0:s0:seed42
0.01991755492053926,static,metric_value,23,BASE,v_direction,weighted_direction_error_fp,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.0231546217110008,static,metric_value,23,BASE,v_direction,weighted_direction_error_quant,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.11854466330260038,static,metric_value,23,BASE,v_direction,weighted_relative_L2_fp,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.13781929574906826,static,metric_value,23,BASE,v_direction,weighted_relative_L2_quant,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.9221347570419312,static,metric_value,31,BASE,v_direction,direction_error,5,v_stored,all_tokens,max,aime24:p0:s0:seed42
0.23119536601006985,static,metric_value,31,BASE,v_direction,direction_error,5,v_stored,all_tokens,mean,aime24:p0:s0:seed42
0.21224345266819,static,metric_value,31,BASE,v_direction,direction_error,5,v_stored,all_tokens,p50,aime24:p0:s0:seed42
0.4403575137257576,static,metric_value,31,BASE,v_direction,direction_error,5,v_stored,all_tokens,p90,aime24:p0:s0:seed42
0.4958587698638439,static,metric_value,31,BASE,v_direction,direction_error,5,v_stored,all_tokens,p95,aime24:p0:s0:seed42
0.5942547023296356,static,metric_value,31,BASE,v_direction,direction_error,5,v_stored,all_tokens,p99,aime24:p0:s0:seed42
3.446151852607727,static,metric_value,31,BASE,v_direction,relative_L2,5,v_stored,all_tokens,max,aime24:p0:s0:seed42
1.3915663361549377,static,metric_value,31,BASE,v_direction,relative_L2,5,v_stored,all_tokens,mean,aime24:p0:s0:seed42
1.3753808354958892,static,metric_value,31,BASE,v_direction,relative_L2,5,v_stored,all_tokens,p50,aime24:p0:s0:seed42
2.2776020616292953,static,metric_value,31,BASE,v_direction,relative_L2,5,v_stored,all_tokens,p90,aime24:p0:s0:seed42
2.4281053245067596,static,metric_value,31,BASE,v_direction,relative_L2,5,v_stored,all_tokens,p95,aime24:p0:s0:seed42
2.697627067565918,static,metric_value,31,BASE,v_direction,relative_L2,5,v_stored,all_tokens,p99,aime24:p0:s0:seed42
0.03997120226267725,static,metric_value,31,BASE,v_direction,weighted_direction_error_fp,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.045118592446669936,static,metric_value,31,BASE,v_direction,weighted_direction_error_quant,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.2363656386733055,static,metric_value,31,BASE,v_direction,weighted_relative_L2_fp,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.2666420070454478,static,metric_value,31,BASE,v_direction,weighted_relative_L2_quant,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.8292134404182434,static,metric_value,7,BASE,v_direction,direction_error,5,v_stored,all_tokens,max,aime24:p0:s0:seed42
0.26415437646210194,static,metric_value,7,BASE,v_direction,direction_error,5,v_stored,all_tokens,mean,aime24:p0:s0:seed42
0.25171759724617004,static,metric_value,7,BASE,v_direction,direction_error,5,v_stored,all_tokens,p50,aime24:p0:s0:seed42
0.4580516144633293,static,metric_value,7,BASE,v_direction,direction_error,5,v_stored,all_tokens,p90,aime24:p0:s0:seed42
0.5106085874140263,static,metric_value,7,BASE,v_direction,direction_error,5,v_stored,all_tokens,p95,aime24:p0:s0:seed42
0.6110025644302368,static,metric_value,7,BASE,v_direction,direction_error,5,v_stored,all_tokens,p99,aime24:p0:s0:seed42
3.2418455481529236,static,metric_value,7,BASE,v_direction,relative_L2,5,v_stored,all_tokens,max,aime24:p0:s0:seed42
1.5116958171129227,static,metric_value,7,BASE,v_direction,relative_L2,5,v_stored,all_tokens,mean,aime24:p0:s0:seed42
1.5106800483772531,static,metric_value,7,BASE,v_direction,relative_L2,5,v_stored,all_tokens,p50,aime24:p0:s0:seed42
2.323915332555771,static,metric_value,7,BASE,v_direction,relative_L2,5,v_stored,all_tokens,p90,aime24:p0:s0:seed42
2.466228723526001,static,metric_value,7,BASE,v_direction,relative_L2,5,v_stored,all_tokens,p95,aime24:p0:s0:seed42
2.7301601469516754,static,metric_value,7,BASE,v_direction,relative_L2,5,v_stored,all_tokens,p99,aime24:p0:s0:seed42
0.03756954614073038,static,metric_value,7,BASE,v_direction,weighted_direction_error_fp,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.043546728789806366,static,metric_value,7,BASE,v_direction,weighted_direction_error_quant,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.21171297691762447,static,metric_value,7,BASE,v_direction,weighted_relative_L2_fp,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.2442240323871374,static,metric_value,7,BASE,v_direction,weighted_relative_L2_quant,5,v_stored,current_history,mean,aime24:p0:s0:seed42
1.5212988257408142,static,metric_value,0,V_DIR,v_direction,direction_error,5,v_stored,all_tokens,max,aime24:p0:s0:seed42
0.22181869857013226,static,metric_value,0,V_DIR,v_direction,direction_error,5,v_stored,all_tokens,mean,aime24:p0:s0:seed42
0.14572113752365112,static,metric_value,0,V_DIR,v_direction,direction_error,5,v_stored,all_tokens,p50,aime24:p0:s0:seed42
0.5558407157659531,static,metric_value,0,V_DIR,v_direction,direction_error,5,v_stored,all_tokens,p90,aime24:p0:s0:seed42
0.6578952819108963,static,metric_value,0,V_DIR,v_direction,direction_error,5,v_stored,all_tokens,p95,aime24:p0:s0:seed42
0.935347706079483,static,metric_value,0,V_DIR,v_direction,direction_error,5,v_stored,all_tokens,p99,aime24:p0:s0:seed42
5.446986258029938,static,metric_value,0,V_DIR,v_direction,relative_L2,5,v_stored,all_tokens,max,aime24:p0:s0:seed42
1.189503364264965,static,metric_value,0,V_DIR,v_direction,relative_L2,5,v_stored,all_tokens,mean,aime24:p0:s0:seed42
1.110895000398159,static,metric_value,0,V_DIR,v_direction,relative_L2,5,v_stored,all_tokens,p50,aime24:p0:s0:seed42
2.604542165994644,static,metric_value,0,V_DIR,v_direction,relative_L2,5,v_stored,all_tokens,p90,aime24:p0:s0:seed42
2.852807581424713,static,metric_value,0,V_DIR,v_direction,relative_L2,5,v_stored,all_tokens,p95,aime24:p0:s0:seed42
3.4102567434310913,static,metric_value,0,V_DIR,v_direction,relative_L2,5,v_stored,all_tokens,p99,aime24:p0:s0:seed42
0.12060476653277874,static,metric_value,0,V_DIR,v_direction,weighted_direction_error_fp,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.1269940547645092,static,metric_value,0,V_DIR,v_direction,weighted_direction_error_quant,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.587491437792778,static,metric_value,0,V_DIR,v_direction,weighted_relative_L2_fp,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.6162355467677116,static,metric_value,0,V_DIR,v_direction,weighted_relative_L2_quant,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.9365391731262207,static,metric_value,15,V_DIR,v_direction,direction_error,5,v_stored,all_tokens,max,aime24:p0:s0:seed42
0.2624479662626982,static,metric_value,15,V_DIR,v_direction,direction_error,5,v_stored,all_tokens,mean,aime24:p0:s0:seed42
0.25073039531707764,static,metric_value,15,V_DIR,v_direction,direction_error,5,v_stored,all_tokens,p50,aime24:p0:s0:seed42
0.45674027502536774,static,metric_value,15,V_DIR,v_direction,direction_error,5,v_stored,all_tokens,p90,aime24:p0:s0:seed42
0.5039911977946758,static,metric_value,15,V_DIR,v_direction,direction_error,5,v_stored,all_tokens,p95,aime24:p0:s0:seed42
0.6064528971910477,static,metric_value,15,V_DIR,v_direction,direction_error,5,v_stored,all_tokens,p99,aime24:p0:s0:seed42
3.3326087594032288,static,metric_value,15,V_DIR,v_direction,relative_L2,5,v_stored,all_tokens,max,aime24:p0:s0:seed42
1.516211211681366,static,metric_value,15,V_DIR,v_direction,relative_L2,5,v_stored,all_tokens,mean,aime24:p0:s0:seed42
1.5161290047690272,static,metric_value,15,V_DIR,v_direction,relative_L2,5,v_stored,all_tokens,p50,aime24:p0:s0:seed42
2.339614659547806,static,metric_value,15,V_DIR,v_direction,relative_L2,5,v_stored,all_tokens,p90,aime24:p0:s0:seed42
2.4764137864112854,static,metric_value,15,V_DIR,v_direction,relative_L2,5,v_stored,all_tokens,p95,aime24:p0:s0:seed42
2.7263071835041046,static,metric_value,15,V_DIR,v_direction,relative_L2,5,v_stored,all_tokens,p99,aime24:p0:s0:seed42
0.04988035326823592,static,metric_value,15,V_DIR,v_direction,weighted_direction_error_fp,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.059319376945495605,static,metric_value,15,V_DIR,v_direction,weighted_direction_error_quant,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.2933975085616112,static,metric_value,15,V_DIR,v_direction,weighted_relative_L2_fp,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.34501034393906593,static,metric_value,15,V_DIR,v_direction,weighted_relative_L2_quant,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.8777076900005341,static,metric_value,23,V_DIR,v_direction,direction_error,5,v_stored,all_tokens,max,aime24:p0:s0:seed42
0.25905839540064335,static,metric_value,23,V_DIR,v_direction,direction_error,5,v_stored,all_tokens,mean,aime24:p0:s0:seed42
0.24986568093299866,static,metric_value,23,V_DIR,v_direction,direction_error,5,v_stored,all_tokens,p50,aime24:p0:s0:seed42
0.4551624022424221,static,metric_value,23,V_DIR,v_direction,direction_error,5,v_stored,all_tokens,p90,aime24:p0:s0:seed42
0.5045226253569126,static,metric_value,23,V_DIR,v_direction,direction_error,5,v_stored,all_tokens,p95,aime24:p0:s0:seed42
0.6026160344481468,static,metric_value,23,V_DIR,v_direction,direction_error,5,v_stored,all_tokens,p99,aime24:p0:s0:seed42
3.7814195454120636,static,metric_value,23,V_DIR,v_direction,relative_L2,5,v_stored,all_tokens,max,aime24:p0:s0:seed42
1.5039320886135101,static,metric_value,23,V_DIR,v_direction,relative_L2,5,v_stored,all_tokens,mean,aime24:p0:s0:seed42
1.5183407603763044,static,metric_value,23,V_DIR,v_direction,relative_L2,5,v_stored,all_tokens,p50,aime24:p0:s0:seed42
2.343415215611458,static,metric_value,23,V_DIR,v_direction,relative_L2,5,v_stored,all_tokens,p90,aime24:p0:s0:seed42
2.4743666499853134,static,metric_value,23,V_DIR,v_direction,relative_L2,5,v_stored,all_tokens,p95,aime24:p0:s0:seed42
2.717534512281418,static,metric_value,23,V_DIR,v_direction,relative_L2,5,v_stored,all_tokens,p99,aime24:p0:s0:seed42
0.01970372488722205,static,metric_value,23,V_DIR,v_direction,weighted_direction_error_fp,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.02290795696899295,static,metric_value,23,V_DIR,v_direction,weighted_direction_error_quant,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.11858143098652363,static,metric_value,23,V_DIR,v_direction,weighted_relative_L2_fp,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.13783136196434498,static,metric_value,23,V_DIR,v_direction,weighted_relative_L2_quant,5,v_stored,current_history,mean,aime24:p0:s0:seed42
0.8602013885974884,static,metric_value,31,V_DIR,v_direction,direction_error,5,v_stored,all_tokens,max,aime24:p0:s0:seed42
0.2282501719892025,static,metric_value,31,V_DIR,v_direction,direction_error,5,v_stored,all_tokens,mean,aime24:p0:s0:seed42
0.21054907143115997,static,metric_value,31,V_DIR,v_direction,direction_error,5,v_stored,all_tokens,p50,aime24:p0:s0:seed42
0.43324169516563416,static,metric_value,31,V_DIR,v_direction,direction_error,5,v_stored,all_tokens,p90,aime24:p0:s0:seed42
0.48606735095381737,static,metric_value,31,V_DIR,v_direction,direction_error,5,v_stored,all_tokens,p95,aime24:p0:s0:seed42
0.5887595191597939,static,metric_value,31,V_DIR,v_direction,direction_error,5,v_stored,all_tokens,p99,aime24:p0:s0:seed42
3.3453251123428345,static,metric_value,31,V_DIR,v_direction,relative_L2,5,v_stored,all_tokens,max,aime24:p0:s0:seed42
1.3920153081417084,static,metric_value,31,V_DIR,v_direction,relative_L2,5,v_stored,all_tokens,mean,aime24:p0:s0:seed42
