A_correct_to_B_wrong,A_length_stop_count,A_wrong_to_B_correct,B_length_stop_count,benchmark,both_correct,both_wrong,delta_correct_count,method_A,method_A_correct_count,method_B,method_B_correct_count,problem_id
False,0,False,0,aime25,True,False,-1,PATTERN_BASE,3,CAUSAL_V4_25,2,0
False,0,True,0,aime25,False,False,3,PATTERN_BASE,0,CAUSAL_V4_25,3,1
False,0,False,0,aime25,True,False,0,PATTERN_BASE,2,CAUSAL_V4_25,2,2
False,0,False,0,aime25,True,False,0,PATTERN_BASE,1,CAUSAL_V4_25,1,3
True,0,False,0,aime25,False,False,-1,PATTERN_BASE,1,CAUSAL_V4_25,0,4
False,0,False,0,aime25,True,False,2,PATTERN_BASE,1,CAUSAL_V4_25,3,5
False,0,False,1,aime25,False,True,0,PATTERN_BASE,0,CAUSAL_V4_25,0,6
False,0,False,0,aime25,True,False,2,PATTERN_BASE,1,CAUSAL_V4_25,3,7
True,1,False,2,aime25,False,False,-1,PATTERN_BASE,1,CAUSAL_V4_25,0,8
False,0,False,2,aime25,False,True,0,PATTERN_BASE,0,CAUSAL_V4_25,0,9
False,0,False,1,aime25,False,True,0,PATTERN_BASE,0,CAUSAL_V4_25,0,10
True,2,False,0,aime25,False,False,-1,PATTERN_BASE,1,CAUSAL_V4_25,0,11
False,0,False,0,aime25,False,True,0,PATTERN_BASE,0,CAUSAL_V4_25,0,12
False,1,False,1,aime25,False,True,0,PATTERN_BASE,0,CAUSAL_V4_25,0,13
False,0,False,0,aime25,False,True,0,PATTERN_BASE,0,CAUSAL_V4_25,0,14
False,0,False,0,aime25,True,False,0,PATTERN_BASE,3,CAUSAL_V4_25,3,15
False,1,False,0,aime25,True,False,1,PATTERN_BASE,2,CAUSAL_V4_25,3,16
False,0,False,0,aime25,False,True,0,PATTERN_BASE,0,CAUSAL_V4_25,0,17
False,0,False,0,aime25,True,False,1,PATTERN_BASE,1,CAUSAL_V4_25,2,18
False,2,False,0,aime25,False,True,0,PATTERN_BASE,0,CAUSAL_V4_25,0,19
False,0,False,0,aime25,True,False,1,PATTERN_BASE,2,CAUSAL_V4_25,3,20
True,0,False,0,aime25,False,False,-1,PATTERN_BASE,1,CAUSAL_V4_25,0,21
False,0,False,0,aime25,False,True,0,PATTERN_BASE,0,CAUSAL_V4_25,0,22
False,1,False,0,aime25,False,True,0,PATTERN_BASE,0,CAUSAL_V4_25,0,23
False,0,False,0,aime25,False,True,0,PATTERN_BASE,0,CAUSAL_V4_25,0,24
False,0,False,0,aime25,False,True,0,PATTERN_BASE,0,CAUSAL_V4_25,0,25
False,0,True,1,aime25,False,False,1,PATTERN_BASE,0,CAUSAL_V4_25,1,26
False,0,False,0,aime25,False,True,0,PATTERN_BASE,0,CAUSAL_V4_25,0,27
False,0,False,0,aime25,True,False,0,PATTERN_BASE,1,CAUSAL_V4_25,1,28
False,1,False,0,aime25,False,True,0,PATTERN_BASE,0,CAUSAL_V4_25,0,29
