any_correct,benchmark,correct_count,eos_stop_count,length_stop_count,majority_correct,method,problem_id,total
True,aime25,2,3,0,True,FP16,0,3
True,aime25,1,3,0,False,FP16,1,3
True,aime25,3,3,0,True,FP16,2,3
True,aime25,3,3,0,True,FP16,3,3
True,aime25,2,3,0,True,FP16,4,3
True,aime25,3,3,0,True,FP16,5,3
False,aime25,0,2,1,False,FP16,6,3
True,aime25,1,3,0,False,FP16,7,3
True,aime25,1,2,1,False,FP16,8,3
False,aime25,0,1,2,False,FP16,9,3
False,aime25,0,2,1,False,FP16,10,3
True,aime25,2,3,0,True,FP16,11,3
False,aime25,0,3,0,False,FP16,12,3
False,aime25,0,3,0,False,FP16,13,3
False,aime25,0,3,0,False,FP16,14,3
True,aime25,3,3,0,True,FP16,15,3
True,aime25,3,3,0,True,FP16,16,3
False,aime25,0,3,0,False,FP16,17,3
True,aime25,2,3,0,True,FP16,18,3
False,aime25,0,3,0,False,FP16,19,3
True,aime25,3,3,0,True,FP16,20,3
False,aime25,0,3,0,False,FP16,21,3
False,aime25,0,3,0,False,FP16,22,3
False,aime25,0,3,0,False,FP16,23,3
False,aime25,0,3,0,False,FP16,24,3
False,aime25,0,3,0,False,FP16,25,3
False,aime25,0,3,0,False,FP16,26,3
False,aime25,0,3,0,False,FP16,27,3
True,aime25,1,3,0,False,FP16,28,3
False,aime25,0,3,0,False,FP16,29,3
True,aime25,2,3,0,True,KIVI_PAPER_G128,0,3
False,aime25,0,3,0,False,KIVI_PAPER_G128,1,3
True,aime25,2,3,0,True,KIVI_PAPER_G128,2,3
True,aime25,3,3,0,True,KIVI_PAPER_G128,3,3
False,aime25,0,2,1,False,KIVI_PAPER_G128,4,3
True,aime25,3,3,0,True,KIVI_PAPER_G128,5,3
False,aime25,0,3,0,False,KIVI_PAPER_G128,6,3
True,aime25,1,3,0,False,KIVI_PAPER_G128,7,3
False,aime25,0,3,0,False,KIVI_PAPER_G128,8,3
False,aime25,0,2,1,False,KIVI_PAPER_G128,9,3
False,aime25,0,3,0,False,KIVI_PAPER_G128,10,3
False,aime25,0,3,0,False,KIVI_PAPER_G128,11,3
False,aime25,0,3,0,False,KIVI_PAPER_G128,12,3
False,aime25,0,2,1,False,KIVI_PAPER_G128,13,3
False,aime25,0,3,0,False,KIVI_PAPER_G128,14,3
True,aime25,2,3,0,True,KIVI_PAPER_G128,15,3
True,aime25,3,3,0,True,KIVI_PAPER_G128,16,3
False,aime25,0,3,0,False,KIVI_PAPER_G128,17,3
False,aime25,0,3,0,False,KIVI_PAPER_G128,18,3
False,aime25,0,2,1,False,KIVI_PAPER_G128,19,3
True,aime25,2,3,0,True,KIVI_PAPER_G128,20,3
False,aime25,0,3,0,False,KIVI_PAPER_G128,21,3
False,aime25,0,0,3,False,KIVI_PAPER_G128,22,3
False,aime25,0,3,0,False,KIVI_PAPER_G128,23,3
False,aime25,0,3,0,False,KIVI_PAPER_G128,24,3
False,aime25,0,3,0,False,KIVI_PAPER_G128,25,3
False,aime25,0,2,1,False,KIVI_PAPER_G128,26,3
False,aime25,0,2,1,False,KIVI_PAPER_G128,27,3
False,aime25,0,3,0,False,KIVI_PAPER_G128,28,3
False,aime25,0,3,0,False,KIVI_PAPER_G128,29,3
True,aime25,3,3,0,True,PATTERN_BASE,0,3
