accuracy,base_seed,benchmark,correct,method,total
0.3333333333333333,42,aime25,10,FP16,30
0.36666666666666664,43,aime25,11,FP16,30
0.3,44,aime25,9,FP16,30
0.23333333333333334,42,aime25,7,KIVI_PAPER_G128,30
0.16666666666666666,43,aime25,5,KIVI_PAPER_G128,30
0.2,44,aime25,6,KIVI_PAPER_G128,30
0.3333333333333333,42,aime25,10,PATTERN_BASE,30
0.2,43,aime25,6,PATTERN_BASE,30
0.16666666666666666,44,aime25,5,PATTERN_BASE,30
0.3333333333333333,42,aime25,10,CAUSAL_V4_25,30
0.3333333333333333,43,aime25,10,CAUSAL_V4_25,30
0.23333333333333334,44,aime25,7,CAUSAL_V4_25,30
