method,problem_id,stratum,packed_history_tokens,generated_tokens,tokens_per_second,is_correct
importance_only_v4_25,12,LENGTH_PROXY_ACTIVATION_ENRICHED,640,690,9.3525,False
importance_only_v4_25,13,LENGTH_PROXY_ACTIVATION_ENRICHED,384,458,9.9631,False
importance_only_v4_25,65,UNIFORM_RANDOM,128,209,12.9837,False
importance_only_v4_25,100,UNIFORM_RANDOM,256,269,10.4822,True
importance_only_v4_25,111,LENGTH_PROXY_ACTIVATION_ENRICHED,1920,2048,8.8204,False
importance_only_v4_25,136,UNIFORM_RANDOM,0,130,14.432,True
importance_only_v4_25,140,UNIFORM_RANDOM,0,176,14.3009,True
importance_only_v4_25,162,LENGTH_PROXY_ACTIVATION_ENRICHED,1152,1300,9.0155,False
importance_only_v4_25,186,LENGTH_PROXY_ACTIVATION_ENRICHED,2048,2048,8.7264,False
importance_only_v4_25,330,UNIFORM_RANDOM,128,225,11.6036,True
importance_only_v4_25,359,LENGTH_PROXY_ACTIVATION_ENRICHED,1920,2048,8.8754,False
importance_only_v4_25,371,UNIFORM_RANDOM,128,220,11.3998,True
importance_only_v4_25,412,UNIFORM_RANDOM,128,190,12.5311,False
importance_only_v4_25,427,LENGTH_PROXY_ACTIVATION_ENRICHED,640,683,9.3453,False
importance_only_v4_25,481,UNIFORM_RANDOM,128,251,11.6089,True
importance_only_v4_25,525,LENGTH_PROXY_ACTIVATION_ENRICHED,1920,2048,8.7147,False
importance_only_v4_25,543,UNIFORM_RANDOM,0,167,14.3283,True
importance_only_v4_25,560,UNIFORM_RANDOM,128,194,11.8837,True
importance_only_v4_25,566,LENGTH_PROXY_ACTIVATION_ENRICHED,128,318,11.1481,True
importance_only_v4_25,607,LENGTH_PROXY_ACTIVATION_ENRICHED,384,491,9.9068,False
importance_only_v4_25,637,UNIFORM_RANDOM,0,143,14.3642,True
importance_only_v4_25,660,LENGTH_PROXY_ACTIVATION_ENRICHED,384,504,9.9872,True
importance_only_v4_25,672,LENGTH_PROXY_ACTIVATION_ENRICHED,256,315,8.7417,True
importance_only_v4_25,692,UNIFORM_RANDOM,128,209,11.3059,True
importance_only_v4_25,714,UNIFORM_RANDOM,128,212,12.4684,True
importance_only_v4_25,731,LENGTH_PROXY_ACTIVATION_ENRICHED,384,513,8.3522,False
importance_only_v4_25,740,UNIFORM_RANDOM,256,356,10.5704,True
importance_only_v4_25,772,LENGTH_PROXY_ACTIVATION_ENRICHED,384,526,9.6032,True
importance_only_v4_25,785,UNIFORM_RANDOM,128,209,13.0181,True
importance_only_v4_25,789,UNIFORM_RANDOM,128,259,11.0642,True
importance_only_v4_25,809,UNIFORM_RANDOM,128,270,10.9053,True
importance_only_v4_25,848,UNIFORM_RANDOM,128,258,11.8101,True
importance_only_v4_25,855,LENGTH_PROXY_ACTIVATION_ENRICHED,640,716,7.9775,False
importance_only_v4_25,858,LENGTH_PROXY_ACTIVATION_ENRICHED,384,519,10.0869,False
importance_only_v4_25,864,UNIFORM_RANDOM,128,184,13.1308,True
importance_only_v4_25,872,UNIFORM_RANDOM,128,275,11.7661,True
importance_only_v4_25,894,LENGTH_PROXY_ACTIVATION_ENRICHED,1920,2048,8.292,False
importance_only_v4_25,923,LENGTH_PROXY_ACTIVATION_ENRICHED,1920,2048,8.7239,False
importance_only_v4_25,928,UNIFORM_RANDOM,128,234,11.4893,True
importance_only_v4_25,987,UNIFORM_RANDOM,256,320,10.6784,True
importance_only_v4_25,991,LENGTH_PROXY_ACTIVATION_ENRICHED,1920,2048,8.7544,False
importance_only_v4_25,1003,LENGTH_PROXY_ACTIVATION_ENRICHED,512,580,9.5481,False
importance_only_v4_25,1076,UNIFORM_RANDOM,128,216,12.806,True
importance_only_v4_25,1077,LENGTH_PROXY_ACTIVATION_ENRICHED,512,458,8.7855,False
importance_only_v4_25,1166,LENGTH_PROXY_ACTIVATION_ENRICHED,512,616,9.1605,False
importance_only_v4_25,1174,LENGTH_PROXY_ACTIVATION_ENRICHED,512,561,9.3799,False
importance_only_v4_25,1190,LENGTH_PROXY_ACTIVATION_ENRICHED,384,414,9.64,False
importance_only_v4_25,1203,LENGTH_PROXY_ACTIVATION_ENRICHED,1920,2048,8.7757,True
importance_only_v4_25,1230,UNIFORM_RANDOM,128,200,11.3046,True
importance_only_v4_25,1305,UNIFORM_RANDOM,0,155,14.195,True
error_only_v4_25,12,LENGTH_PROXY_ACTIVATION_ENRICHED,1024,1076,8.788,True
error_only_v4_25,13,LENGTH_PROXY_ACTIVATION_ENRICHED,384,444,9.7972,True
error_only_v4_25,65,UNIFORM_RANDOM,128,209,11.7655,False
error_only_v4_25,100,UNIFORM_RANDOM,256,269,9.6298,True
error_only_v4_25,111,LENGTH_PROXY_ACTIVATION_ENRICHED,256,359,9.9645,True
error_only_v4_25,136,UNIFORM_RANDOM,0,130,13.0276,True
error_only_v4_25,140,UNIFORM_RANDOM,0,176,12.9284,True
error_only_v4_25,162,LENGTH_PROXY_ACTIVATION_ENRICHED,1152,1262,8.7863,False
error_only_v4_25,186,LENGTH_PROXY_ACTIVATION_ENRICHED,896,957,8.6309,True
error_only_v4_25,330,UNIFORM_RANDOM,128,225,11.0931,True
error_only_v4_25,359,LENGTH_PROXY_ACTIVATION_ENRICHED,1920,2048,8.4887,False
error_only_v4_25,371,UNIFORM_RANDOM,128,220,10.9295,True
