problem_id,selected_because_method_truncated,importance_only_v4_25_old_stop_reason,importance_only_v4_25_old_generated_tokens,importance_only_v4_25_old_is_correct,importance_only_v4_25_old_parsed_answer,importance_only_v4_25_old_generated_token_hash,importance_only_v4_25_old_config_hash,importance_only_v4_25_old_path,error_only_v4_25_old_stop_reason,error_only_v4_25_old_generated_tokens,error_only_v4_25_old_is_correct,error_only_v4_25_old_parsed_answer,error_only_v4_25_old_generated_token_hash,error_only_v4_25_old_config_hash,error_only_v4_25_old_path,causal_v4_25_old_stop_reason,causal_v4_25_old_generated_tokens,causal_v4_25_old_is_correct,causal_v4_25_old_parsed_answer,causal_v4_25_old_generated_token_hash,causal_v4_25_old_config_hash,causal_v4_25_old_path
111,importance_only_v4_25;causal_v4_25,length,2048,False,64,49256f8089a6d64f,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/importance_only_v4_25/p0111_f6547824af38e5e3.json,eos,359,True,16,e54f95102a8d0028,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/error_only_v4_25/p0111_f6547824af38e5e3.json,length,2048,True,16,560eec4100ea827a,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/causal_v4_25/p0111_f6547824af38e5e3.json
186,importance_only_v4_25;causal_v4_25,length,2048,False,110,34dffc16451aef83,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/importance_only_v4_25/p0186_f6547824af38e5e3.json,eos,957,True,5,a815996e3f5c8dad,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/error_only_v4_25/p0186_f6547824af38e5e3.json,length,2048,False,110,b113a36594a507e2,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/causal_v4_25/p0186_f6547824af38e5e3.json
359,importance_only_v4_25;error_only_v4_25;causal_v4_25,length,2048,False,2,ecc4a4a258cc7c3c,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/importance_only_v4_25/p0359_f6547824af38e5e3.json,length,2048,False,8,e6c0abd57fa48f8b,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/error_only_v4_25/p0359_f6547824af38e5e3.json,length,2048,False,1.5,522a28a38a3daf44,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/causal_v4_25/p0359_f6547824af38e5e3.json
525,importance_only_v4_25;error_only_v4_25,length,2048,False,6.75,8322a72fdd9b3def,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/importance_only_v4_25/p0525_f6547824af38e5e3.json,length,2048,False,27,84059c95c48aa778,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/error_only_v4_25/p0525_f6547824af38e5e3.json,eos,775,True,12,ec98c8b8e2ede243,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/causal_v4_25/p0525_f6547824af38e5e3.json
566,causal_v4_25,eos,318,True,10,dba9e0d7424804e7,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/importance_only_v4_25/p0566_f6547824af38e5e3.json,eos,327,True,10,a95b9669b112f3bb,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/error_only_v4_25/p0566_f6547824af38e5e3.json,length,2048,False,7,eba187482c8ec73c,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/causal_v4_25/p0566_f6547824af38e5e3.json
672,causal_v4_25,eos,315,True,2,474e045ce33b6778,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/importance_only_v4_25/p0672_f6547824af38e5e3.json,eos,315,True,2,474e045ce33b6778,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/error_only_v4_25/p0672_f6547824af38e5e3.json,length,2048,False,8,ed26c1e098e80f5c,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/causal_v4_25/p0672_f6547824af38e5e3.json
731,causal_v4_25,eos,513,False,2,65d5946d70fb71cd,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/importance_only_v4_25/p0731_f6547824af38e5e3.json,eos,281,False,3,1896eab41556f7cb,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/error_only_v4_25/p0731_f6547824af38e5e3.json,length,2048,True,1,30254996f08ee693,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/causal_v4_25/p0731_f6547824af38e5e3.json
855,causal_v4_25,eos,716,False,28,8b5a9c14fe0735e2,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/importance_only_v4_25/p0855_f6547824af38e5e3.json,eos,417,False,87,727a6d926d17cd24,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/error_only_v4_25/p0855_f6547824af38e5e3.json,length,2048,False,5,0764226f60b0dc5c,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/causal_v4_25/p0855_f6547824af38e5e3.json
894,importance_only_v4_25;error_only_v4_25;causal_v4_25,length,2048,False,24,1b9458a1ef681781,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/importance_only_v4_25/p0894_f6547824af38e5e3.json,length,2048,False,1.5,90f6eca35f372b98,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/error_only_v4_25/p0894_f6547824af38e5e3.json,length,2048,False,21.5,5b96f257a0b57be1,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/causal_v4_25/p0894_f6547824af38e5e3.json
923,importance_only_v4_25;causal_v4_25,length,2048,False,12,9cf55f678ccef007,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/importance_only_v4_25/p0923_f6547824af38e5e3.json,eos,1365,False,4,9112f401672f9198,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/error_only_v4_25/p0923_f6547824af38e5e3.json,length,2048,False,12,2219eb038feb8aad,f6547824af38e5e3,/data/zypan/Bounded-pattrenKV-gsm8k-selector-components-pilot-v1/results/gsm8k_selector_components_pilot_v1/pilot/causal_v4_25/p0923_f6547824af38e5e3.json
