task,paired_n,fp16_mean,kivi_mean,patternkv_mean,pattern_minus_kivi,pattern_minus_fp16,avg_input_tokens,avg_patternkv_output_tokens
2wikimqa,50,40.131400000000006,39.833400000000005,38.66060000000001,-1.1728,-1.4707999999999999,6260.12,13.06
dureader,50,33.831399999999995,31.907800000000005,29.45440000000001,-2.4534000000000007,-4.376999999999998,8077.4,120.24
gov_report,50,35.4906,34.221000000000004,34.60260000000001,0.38160000000000033,-0.8879999999999997,7315.28,494.6
hotpotqa,50,22.607400000000002,17.846399999999996,21.962999999999997,4.1166,-0.6444,7872.8,27.52
lcc,50,63.98,60.18,60.9,0.72,-3.08,2983.36,64.0
lsht,50,38.0,35.0,36.0,1.0,-2.0,8140.56,64.0
multi_news,50,26.472800000000007,26.15180000000001,25.6754,-0.47639999999999977,-0.7973999999999997,2645.9,489.12
multifieldqa_en,50,51.35719999999999,46.7386,47.1364,0.3978000000000001,-4.2208,6347.72,30.6
multifieldqa_zh,50,56.17720000000002,56.283,55.257600000000004,-1.0254000000000005,-0.9196000000000001,4915.6,22.16
musique,50,10.1242,8.992799999999999,9.698799999999999,0.7059999999999996,-0.4253999999999998,8192.0,30.44
narrativeqa,50,17.296200000000002,16.6364,16.0184,-0.6180000000000002,-1.2777999999999998,8187.84,74.16
passage_count,50,5.111999999999999,6.75,5.3332,-1.4168,0.22119999999999998,8079.92,29.6
passage_retrieval_en,50,76.0,67.8666,71.0,3.1334000000000004,-5.0,8192.0,21.9
passage_retrieval_zh,50,89.0,82.8334,87.7332,4.899799999999999,-1.2668000000000001,5564.76,12.06
qasper,50,41.093199999999996,38.8798,40.0132,1.1334,-1.0800000000000003,5147.54,37.06
qmsum,50,23.369599999999995,24.522000000000002,24.505000000000006,-0.01700000000000003,1.1354000000000002,7829.72,350.28
repobench-p,50,50.54,42.42,44.04,1.62,-6.5,7108.08,64.0
samsum,50,45.073999999999984,46.94119999999999,43.44079999999999,-3.5003999999999995,-1.6331999999999995,6662.9,128.0
trec,50,72.0,70.0,72.0,2.0,0.0,5900.82,64.0
triviaqa,50,89.774,90.2666,89.7818,-0.48479999999999995,0.007800000000000012,7058.52,32.0
vcsum,50,21.588,21.231000000000005,20.653999999999996,-0.5770000000000004,-0.9339999999999996,7290.02,469.08
