csv_name,task,v100_rows,gpu4090_rows,delta_4090_minus_v100
pattern_gain_map.csv,dureader,2816,2816,0
pattern_gain_map.csv,gsm8k,1792,1792,0
pattern_gain_map.csv,hotpotqa,2816,2816,0
pattern_gain_map.csv,passage_retrieval_en,2816,2816,0
pattern_gain_map.csv,passage_retrieval_zh,2304,2816,512
pattern_gain_map.csv,samsum,2816,2816,0
matching_oracle_gap.csv,dureader,360,360,0
matching_oracle_gap.csv,gsm8k,360,360,0
matching_oracle_gap.csv,hotpotqa,360,360,0
matching_oracle_gap.csv,passage_retrieval_en,360,360,0
matching_oracle_gap.csv,passage_retrieval_zh,360,360,0
matching_oracle_gap.csv,samsum,360,360,0
v_gate_confusion.csv,dureader,768,768,0
v_gate_confusion.csv,gsm8k,768,768,0
v_gate_confusion.csv,hotpotqa,768,768,0
v_gate_confusion.csv,passage_retrieval_en,768,768,0
v_gate_confusion.csv,passage_retrieval_zh,768,768,0
v_gate_confusion.csv,samsum,768,768,0
dynamic_pattern_utility.csv,dureader,256,256,0
dynamic_pattern_utility.csv,gsm8k,256,256,0
dynamic_pattern_utility.csv,hotpotqa,256,256,0
dynamic_pattern_utility.csv,passage_retrieval_en,256,256,0
dynamic_pattern_utility.csv,passage_retrieval_zh,0,256,256
dynamic_pattern_utility.csv,samsum,256,256,0
