kv_type,metric,task,layer,kv_head,rank,score,count,contrib
k,range_contraction,dureader,2,5,1,0.8388407936477096,751,629.9694360294299
k,range_contraction,dureader,0,7,2,0.8363334723988793,751,628.0864377715584
k,range_contraction,dureader,0,1,3,0.8249760540666802,751,619.5570166040768
k,range_contraction,dureader,5,2,4,0.8244193861533845,751,619.1389590011918
k,range_contraction,dureader,1,7,5,0.7965398922661837,751,598.201459091904
k,range_contraction,dureader,27,1,6,0.7961136682779992,751,597.8813648767774
k,range_contraction,dureader,20,0,7,0.7864865743500055,751,590.6514173368541
k,range_contraction,dureader,25,3,8,0.7858081092261269,751,590.1418900288213
k,range_contraction,dureader,0,6,9,0.7726231833950743,751,580.2400107297008
k,range_contraction,dureader,0,2,10,0.7637051290039459,751,573.5425518819634
k,range_contraction,dureader,24,4,11,0.7597126842677822,751,570.5442258851044
k,range_contraction,dureader,0,3,12,0.7549938414602066,751,567.0003749366152
k,range_contraction,dureader,25,1,13,0.7479398473040497,751,561.7028253253413
k,range_contraction,dureader,3,1,14,0.7451963824255652,751,559.6424832015995
k,range_contraction,dureader,26,3,15,0.7421513894113285,751,557.3556934479077
k,range_contraction,dureader,0,4,16,0.7401043554485501,751,555.8183709418612
k,range_contraction,dureader,8,7,17,0.7326019083181528,751,550.1840331469327
k,range_contraction,dureader,16,6,18,0.7292295234269643,751,547.6513720936503
k,range_contraction,dureader,1,5,19,0.7280422119468387,751,546.7597011720759
k,range_contraction,dureader,10,2,20,0.7274327292998491,751,546.3019797041867
k,range_contraction,dureader,13,2,21,0.7229552634924848,751,542.9394028828561
k,range_contraction,dureader,10,3,22,0.7224571962234633,751,542.5653543638209
k,range_contraction,dureader,27,5,23,0.7132825457512185,751,535.6751918591651
k,range_contraction,dureader,22,0,24,0.7109751513606276,751,533.9423386718313
k,range_contraction,dureader,13,3,25,0.7105755708256413,751,533.6422536900566
k,range_contraction,dureader,0,5,26,0.7093780423234185,751,532.7429097848873
k,range_contraction,dureader,23,3,27,0.7063284930989944,751,530.4526983173448
k,range_contraction,dureader,4,0,28,0.7029452799883469,751,527.9119052712485
k,range_contraction,dureader,10,4,29,0.7023231089845675,751,527.4446548474102
k,range_contraction,dureader,11,1,30,0.699383203108984,751,525.2367855348471
k,range_contraction,dureader,9,3,31,0.6990237306908851,751,524.9668217488547
