kv_type,metric,layer,kv_head,task_coverage,task_count,positive_task_count,negative_task_count,zero_task_count,mean_rank,std_rank,sign_consistency_rate
k,range_contraction,0,0,6,6,6,0,0,104.16666666666667,63.08834194119298,1.0
k,range_contraction,0,1,6,6,6,0,0,9.666666666666666,6.472162612982533,1.0
k,range_contraction,0,2,6,6,6,0,0,16.333333333333332,11.190273554396345,1.0
k,range_contraction,0,3,6,6,6,0,0,11.166666666666666,1.7716909687891083,1.0
k,range_contraction,0,4,6,6,6,0,0,35.5,57.7775908116633,1.0
k,range_contraction,0,5,6,6,6,0,0,49.666666666666664,52.967495273569014,1.0
k,range_contraction,0,6,6,6,6,0,0,16.333333333333332,8.749603165604459,1.0
k,range_contraction,0,7,6,6,6,0,0,1.3333333333333333,0.4714045207910317,1.0
k,range_contraction,1,0,6,6,6,0,0,18.666666666666668,15.99652740093577,1.0
k,range_contraction,1,1,6,6,6,0,0,40.0,10.392304845413264,1.0
k,range_contraction,1,2,6,6,6,0,0,158.83333333333334,24.91596988992312,1.0
k,range_contraction,1,3,6,6,6,0,0,20.0,11.430952132988164,1.0
k,range_contraction,1,4,6,6,6,0,0,24.666666666666668,11.234866364235145,1.0
k,range_contraction,1,5,6,6,6,0,0,12.0,6.454972243679028,1.0
k,range_contraction,1,6,6,6,6,0,0,27.333333333333332,12.710450643291745,1.0
k,range_contraction,1,7,6,6,6,0,0,4.833333333333333,2.4776781245530843,1.0
k,range_contraction,2,0,6,6,6,0,0,132.5,13.889444433333777,1.0
k,range_contraction,2,1,6,6,6,0,0,215.83333333333334,51.57007099299188,1.0
k,range_contraction,2,2,6,6,6,0,0,62.333333333333336,14.727148022916348,1.0
k,range_contraction,2,3,6,6,6,0,0,150.0,38.61778519456202,1.0
k,range_contraction,2,4,6,6,6,0,0,82.16666666666667,8.47381587925744,1.0
k,range_contraction,2,5,6,6,6,0,0,16.833333333333332,30.95920254499819,1.0
k,range_contraction,2,6,6,6,6,0,0,141.0,35.44949458972111,1.0
k,range_contraction,2,7,6,6,6,0,0,174.16666666666666,70.44718273682459,1.0
k,range_contraction,3,0,6,6,6,0,0,168.0,38.13572253587617,1.0
k,range_contraction,3,1,6,6,6,0,0,15.5,2.8136571693556887,1.0
k,range_contraction,3,2,6,6,6,0,0,138.66666666666666,50.37084694763651,1.0
k,range_contraction,3,3,6,6,6,0,0,158.0,15.88500340992514,1.0
k,range_contraction,3,4,6,6,6,0,0,225.5,63.73055258926705,1.0
k,range_contraction,3,5,6,6,6,0,0,180.5,32.84686692314302,1.0
k,range_contraction,3,6,6,6,6,0,0,66.5,9.97914491994847,1.0
k,range_contraction,3,7,6,6,6,0,0,219.16666666666666,31.44527874825656,1.0
k,range_contraction,4,0,6,6,6,0,0,29.333333333333332,6.1553951042064625,1.0
k,range_contraction,4,1,6,6,6,0,0,79.5,11.146748404803978,1.0
k,range_contraction,4,2,6,6,6,0,0,107.83333333333333,18.415723957772848,1.0
k,range_contraction,4,3,6,6,6,0,0,149.83333333333334,64.52239060116177,1.0
k,range_contraction,4,4,6,6,6,0,0,152.0,24.331050121192877,1.0
k,range_contraction,4,5,6,6,6,0,0,141.5,19.517086531208154,1.0
k,range_contraction,4,6,6,6,6,0,0,118.66666666666667,44.21789481897824,1.0
k,range_contraction,4,7,6,6,6,0,0,55.833333333333336,27.125736037120827,1.0
k,range_contraction,5,0,6,6,6,0,0,166.5,37.53553871555152,1.0
k,range_contraction,5,1,6,6,6,0,0,145.16666666666666,13.825298871593658,1.0
k,range_contraction,5,2,6,6,6,0,0,20.333333333333332,36.54069268941439,1.0
k,range_contraction,5,3,6,6,6,0,0,116.5,30.532769281544052,1.0
k,range_contraction,5,4,6,6,6,0,0,81.66666666666667,35.47612655794817,1.0
k,range_contraction,5,5,6,6,6,0,0,121.66666666666667,7.84573486395988,1.0
k,range_contraction,5,6,6,6,6,0,0,225.16666666666666,4.8790937227681495,1.0
k,range_contraction,5,7,6,6,6,0,0,87.16666666666667,27.71531866836261,1.0
k,range_contraction,6,0,6,6,6,0,0,91.33333333333333,31.24988888869136,1.0
k,range_contraction,6,1,6,6,6,0,0,120.66666666666667,34.764285632751836,1.0
k,range_contraction,6,2,6,6,6,0,0,55.666666666666664,21.304668241699726,1.0
k,range_contraction,6,3,6,6,6,0,0,43.5,4.8218253804964775,1.0
k,range_contraction,6,4,6,6,6,0,0,120.33333333333333,8.67307455417179,1.0
k,range_contraction,6,5,6,6,6,0,0,117.66666666666667,17.29804099377216,1.0
k,range_contraction,6,6,6,6,6,0,0,122.33333333333333,24.964419124470375,1.0
k,range_contraction,6,7,6,6,6,0,0,58.166666666666664,7.243771270700243,1.0
k,range_contraction,7,0,6,6,6,0,0,150.5,51.880471598987356,1.0
k,range_contraction,7,1,6,6,6,0,0,186.83333333333334,30.013422923011557,1.0
k,range_contraction,7,2,6,6,6,0,0,166.66666666666666,25.263060428661888,1.0
k,range_contraction,7,3,6,6,6,0,0,170.83333333333334,28.22183945497214,1.0
k,range_contraction,7,4,6,6,6,0,0,204.0,12.871156384205214,1.0
k,range_contraction,7,5,6,6,6,0,0,141.16666666666666,35.578161216616515,1.0
k,range_contraction,7,6,6,6,6,0,0,110.33333333333333,14.862331206405303,1.0
k,range_contraction,7,7,6,6,6,0,0,177.0,68.01960501698511,1.0
k,range_contraction,8,0,6,6,6,0,0,63.5,10.452272480183437,1.0
k,range_contraction,8,1,6,6,6,0,0,62.0,10.954451150103322,1.0
k,range_contraction,8,2,6,6,6,0,0,110.83333333333333,24.962750026567363,1.0
k,range_contraction,8,3,6,6,6,0,0,161.5,50.00583299309525,1.0
k,range_contraction,8,4,6,6,6,0,0,206.33333333333334,6.1553951042064625,1.0
k,range_contraction,8,5,6,6,6,0,0,126.33333333333333,12.565384549980509,1.0
k,range_contraction,8,6,6,6,6,0,0,67.83333333333333,17.77091881573813,1.0
k,range_contraction,8,7,6,6,6,0,0,20.833333333333332,15.65691185671328,1.0
k,range_contraction,9,0,6,6,6,0,0,92.5,12.919623317522328,1.0
k,range_contraction,9,1,6,6,6,0,0,172.5,42.797001452594,1.0
k,range_contraction,9,2,6,6,6,0,0,137.5,48.59955418176865,1.0
k,range_contraction,9,3,6,6,6,0,0,67.5,61.991262825229384,1.0
