kv_type,metric,task_left,task_right,common_count,spearman_rho
k,range_contraction,dureader,gsm8k,256,0.16085059510185398
k,range_contraction,dureader,hotpotqa,256,0.9637939173723964
k,range_contraction,dureader,passage_retrieval_en,256,0.9656936655985351
k,range_contraction,dureader,passage_retrieval_zh,256,0.9824974250400549
k,range_contraction,dureader,samsum,256,0.9347590981918059
k,range_contraction,gsm8k,hotpotqa,256,0.19025806820782787
k,range_contraction,gsm8k,passage_retrieval_en,256,0.17084787708857863
k,range_contraction,gsm8k,passage_retrieval_zh,256,0.16835946440833144
k,range_contraction,gsm8k,samsum,256,0.23101110093842986
k,range_contraction,hotpotqa,passage_retrieval_en,256,0.994083314259556
k,range_contraction,hotpotqa,passage_retrieval_zh,256,0.9658467326619363
k,range_contraction,hotpotqa,samsum,256,0.929693579766537
k,range_contraction,passage_retrieval_en,passage_retrieval_zh,256,0.9662694552529183
k,range_contraction,passage_retrieval_en,samsum,256,0.9281507495994507
k,range_contraction,passage_retrieval_zh,samsum,256,0.906265735866331
k,relative_benefit,dureader,gsm8k,256,0.25790941863126576
k,relative_benefit,dureader,hotpotqa,256,0.8769898718242161
k,relative_benefit,dureader,passage_retrieval_en,256,0.8615157930876631
k,relative_benefit,dureader,passage_retrieval_zh,256,0.8791049153124285
k,relative_benefit,dureader,samsum,256,0.7235544460975052
k,relative_benefit,gsm8k,hotpotqa,256,0.3647838464179446
k,relative_benefit,gsm8k,passage_retrieval_en,256,0.307504577706569
k,relative_benefit,gsm8k,passage_retrieval_zh,256,0.46913695925841153
k,relative_benefit,gsm8k,samsum,256,0.32076347562371255
k,relative_benefit,hotpotqa,passage_retrieval_en,256,0.9226474879835203
k,relative_benefit,hotpotqa,passage_retrieval_zh,256,0.8347326333257038
k,relative_benefit,hotpotqa,samsum,256,0.8122482261387045
k,relative_benefit,passage_retrieval_en,passage_retrieval_zh,256,0.8297608148317693
k,relative_benefit,passage_retrieval_en,samsum,256,0.8085417143511101
k,relative_benefit,passage_retrieval_zh,samsum,256,0.7116838807507438
v,relative_candidate_benefit,dureader,gsm8k,256,0.8349858377203021
v,relative_candidate_benefit,dureader,hotpotqa,256,0.9369091897459373
v,relative_candidate_benefit,dureader,passage_retrieval_en,256,0.8997496566720073
v,relative_candidate_benefit,dureader,passage_retrieval_zh,256,0.8792472533760586
v,relative_candidate_benefit,dureader,samsum,256,0.8518625543602655
v,relative_candidate_benefit,gsm8k,hotpotqa,256,0.8960374227512017
v,relative_candidate_benefit,gsm8k,passage_retrieval_en,256,0.72387703135729
v,relative_candidate_benefit,gsm8k,passage_retrieval_zh,256,0.9485637445639734
v,relative_candidate_benefit,gsm8k,samsum,256,0.9409447241931792
v,relative_candidate_benefit,hotpotqa,passage_retrieval_en,256,0.8872811284046692
v,relative_candidate_benefit,hotpotqa,passage_retrieval_zh,256,0.9239113641565576
v,relative_candidate_benefit,hotpotqa,samsum,256,0.9210295548180362
v,relative_candidate_benefit,passage_retrieval_en,passage_retrieval_zh,256,0.7601925497825589
v,relative_candidate_benefit,passage_retrieval_en,samsum,256,0.7571633955138476
v,relative_candidate_benefit,passage_retrieval_zh,samsum,256,0.9574337663080796
