kv_type,metric,task,count,contrib,weighted_mean
k,range_contraction,dureader,192256,111237.53490631198,0.5785907066947819
k,range_contraction,gsm8k,2560,1670.9479944632158,0.6527140603371937
k,range_contraction,hotpotqa,162048,93345.3788221044,0.5760353649665803
k,range_contraction,passage_retrieval_en,193536,112614.70571662312,0.5818798865152898
k,range_contraction,passage_retrieval_zh,124416,72666.3487512824,0.5840595160693351
k,range_contraction,samsum,154880,88892.15473204089,0.5739421147471648
k,relative_benefit,dureader,192256,7043.641311897654,0.03663678278908151
k,relative_benefit,gsm8k,2560,1141.7050423347666,0.4459785321620182
k,relative_benefit,hotpotqa,162048,7927.530661751382,0.048920879379883625
k,relative_benefit,passage_retrieval_en,193536,7202.819273932651,0.03721694813333257
k,relative_benefit,passage_retrieval_zh,124416,6829.259191222836,0.05489052204879466
k,relative_benefit,samsum,154880,7110.813047546921,0.04591175779666142
v,relative_candidate_benefit,dureader,24576,-74532.37290266782,-3.0327300171983977
v,relative_candidate_benefit,gsm8k,20480,-101422.90298332392,-4.952290184732613
v,relative_candidate_benefit,hotpotqa,24576,-81116.60377526512,-3.300643057261764
v,relative_candidate_benefit,passage_retrieval_en,24576,-53845.70363194663,-2.19098728971137
v,relative_candidate_benefit,passage_retrieval_zh,24576,-150057.57248821476,-6.105858255542593
v,relative_candidate_benefit,samsum,24576,-126902.16453071967,-5.1636622937304555
