kv_type,metric,view,bucket,share_of_positive_contribution,unit_count,total_units
k,range_contraction,micro,top_1pct,0.016874260873237474,3,256
k,range_contraction,micro,top_5pct,0.06957401305237502,13,256
k,range_contraction,micro,top_10pct,0.13407591315058695,26,256
k,range_contraction,micro,top_25pct,0.3074464267491114,64,256
k,range_contraction,micro,top_50pct,0.5698007022558714,128,256
k,range_contraction,micro,bottom_10pct_total,,26,256
k,range_contraction,micro,bottom_25pct_total,,64,256
k,range_contraction,task_macro,top_1pct,0.016821799533094362,3,256
k,range_contraction,task_macro,top_5pct,0.06835271774899061,13,256
k,range_contraction,task_macro,top_10pct,0.13097805225908776,26,256
k,range_contraction,task_macro,top_25pct,0.3000372474580803,64,256
k,range_contraction,task_macro,top_50pct,0.5602688319412804,128,256
k,range_contraction,task_macro,bottom_10pct_total,,26,256
k,range_contraction,task_macro,bottom_25pct_total,,64,256
k,relative_benefit,micro,top_1pct,0.06269239881866182,3,256
k,relative_benefit,micro,top_5pct,0.19536032549615334,13,256
k,relative_benefit,micro,top_10pct,0.3002436153520692,26,256
k,relative_benefit,micro,top_25pct,0.4972379811070031,64,256
k,relative_benefit,micro,top_50pct,0.737497107858171,128,256
k,relative_benefit,micro,bottom_10pct_total,,26,256
k,relative_benefit,micro,bottom_25pct_total,,64,256
k,relative_benefit,task_macro,top_1pct,0.028456862693470506,3,256
k,relative_benefit,task_macro,top_5pct,0.09404034377174213,13,256
k,relative_benefit,task_macro,top_10pct,0.165749974169831,26,256
k,relative_benefit,task_macro,top_25pct,0.34269460604682345,64,256
k,relative_benefit,task_macro,top_50pct,0.6022231664896204,128,256
k,relative_benefit,task_macro,bottom_10pct_total,,26,256
k,relative_benefit,task_macro,bottom_25pct_total,,64,256
v,relative_candidate_benefit,micro,top_1pct,0.15091217433782475,3,256
v,relative_candidate_benefit,micro,top_5pct,0.4931965899161272,13,256
v,relative_candidate_benefit,micro,top_10pct,0.7769446658583691,26,256
v,relative_candidate_benefit,micro,top_25pct,1.0,64,256
v,relative_candidate_benefit,micro,top_50pct,1.0,128,256
v,relative_candidate_benefit,micro,bottom_10pct_total,,26,256
v,relative_candidate_benefit,micro,bottom_25pct_total,,64,256
v,relative_candidate_benefit,task_macro,top_1pct,0.14915898819383713,3,256
v,relative_candidate_benefit,task_macro,top_5pct,0.4904750912792048,13,256
v,relative_candidate_benefit,task_macro,top_10pct,0.7735448034814018,26,256
v,relative_candidate_benefit,task_macro,top_25pct,1.0,64,256
v,relative_candidate_benefit,task_macro,top_50pct,1.0,128,256
v,relative_candidate_benefit,task_macro,bottom_10pct_total,,26,256
v,relative_candidate_benefit,task_macro,bottom_25pct_total,,64,256
