task,phase,kv_type,layer,kv_head,bucket,metric,count,mean,std
passage_retrieval_zh,decode,v,0,0,bucketfirst,candidate_gate_accepted_fraction,1,0.0078125,0.0
passage_retrieval_zh,decode,v,0,1,bucketfirst,candidate_gate_accepted_fraction,1,0.03125,0.0
passage_retrieval_zh,decode,v,0,2,bucketfirst,candidate_gate_accepted_fraction,1,0.0,0.0
passage_retrieval_zh,decode,v,0,3,bucketfirst,candidate_gate_accepted_fraction,1,0.09375,0.0
passage_retrieval_zh,decode,v,0,4,bucketfirst,candidate_gate_accepted_fraction,1,0.0546875,0.0
passage_retrieval_zh,decode,v,0,5,bucketfirst,candidate_gate_accepted_fraction,1,0.046875,0.0
passage_retrieval_zh,decode,v,0,6,bucketfirst,candidate_gate_accepted_fraction,1,0.1640625,0.0
passage_retrieval_zh,decode,v,0,7,bucketfirst,candidate_gate_accepted_fraction,1,0.0078125,0.0
passage_retrieval_zh,decode,v,1,0,bucketfirst,candidate_gate_accepted_fraction,1,0.0078125,0.0
passage_retrieval_zh,decode,v,1,1,bucketfirst,candidate_gate_accepted_fraction,1,0.046875,0.0
passage_retrieval_zh,decode,v,1,2,bucketfirst,candidate_gate_accepted_fraction,1,0.03125,0.0
passage_retrieval_zh,decode,v,1,3,bucketfirst,candidate_gate_accepted_fraction,1,0.09375,0.0
passage_retrieval_zh,decode,v,1,4,bucketfirst,candidate_gate_accepted_fraction,1,0.0234375,0.0
passage_retrieval_zh,decode,v,1,5,bucketfirst,candidate_gate_accepted_fraction,1,0.015625,0.0
passage_retrieval_zh,decode,v,1,6,bucketfirst,candidate_gate_accepted_fraction,1,0.0546875,0.0
passage_retrieval_zh,decode,v,1,7,bucketfirst,candidate_gate_accepted_fraction,1,0.0234375,0.0
passage_retrieval_zh,decode,v,10,0,bucketfirst,candidate_gate_accepted_fraction,1,0.1171875,0.0
passage_retrieval_zh,decode,v,10,1,bucketfirst,candidate_gate_accepted_fraction,1,0.0859375,0.0
passage_retrieval_zh,decode,v,10,2,bucketfirst,candidate_gate_accepted_fraction,1,0.0546875,0.0
passage_retrieval_zh,decode,v,10,3,bucketfirst,candidate_gate_accepted_fraction,1,0.03125,0.0
passage_retrieval_zh,decode,v,10,4,bucketfirst,candidate_gate_accepted_fraction,1,0.078125,0.0
passage_retrieval_zh,decode,v,10,5,bucketfirst,candidate_gate_accepted_fraction,1,0.078125,0.0
passage_retrieval_zh,decode,v,10,6,bucketfirst,candidate_gate_accepted_fraction,1,0.0703125,0.0
passage_retrieval_zh,decode,v,10,7,bucketfirst,candidate_gate_accepted_fraction,1,0.0546875,0.0
passage_retrieval_zh,decode,v,11,0,bucketfirst,candidate_gate_accepted_fraction,1,0.0859375,0.0
passage_retrieval_zh,decode,v,11,1,bucketfirst,candidate_gate_accepted_fraction,1,0.0234375,0.0
passage_retrieval_zh,decode,v,11,2,bucketfirst,candidate_gate_accepted_fraction,1,0.046875,0.0
passage_retrieval_zh,decode,v,11,3,bucketfirst,candidate_gate_accepted_fraction,1,0.125,0.0
passage_retrieval_zh,decode,v,11,4,bucketfirst,candidate_gate_accepted_fraction,1,0.0625,0.0
passage_retrieval_zh,decode,v,11,5,bucketfirst,candidate_gate_accepted_fraction,1,0.0703125,0.0
passage_retrieval_zh,decode,v,11,6,bucketfirst,candidate_gate_accepted_fraction,1,0.0078125,0.0
passage_retrieval_zh,decode,v,11,7,bucketfirst,candidate_gate_accepted_fraction,1,0.09375,0.0
passage_retrieval_zh,decode,v,12,0,bucketfirst,candidate_gate_accepted_fraction,1,0.078125,0.0
passage_retrieval_zh,decode,v,12,1,bucketfirst,candidate_gate_accepted_fraction,1,0.0703125,0.0
passage_retrieval_zh,decode,v,12,2,bucketfirst,candidate_gate_accepted_fraction,1,0.0625,0.0
passage_retrieval_zh,decode,v,12,3,bucketfirst,candidate_gate_accepted_fraction,1,0.078125,0.0
passage_retrieval_zh,decode,v,12,4,bucketfirst,candidate_gate_accepted_fraction,1,0.078125,0.0
passage_retrieval_zh,decode,v,12,5,bucketfirst,candidate_gate_accepted_fraction,1,0.109375,0.0
passage_retrieval_zh,decode,v,12,6,bucketfirst,candidate_gate_accepted_fraction,1,0.0234375,0.0
passage_retrieval_zh,decode,v,12,7,bucketfirst,candidate_gate_accepted_fraction,1,0.03125,0.0
passage_retrieval_zh,decode,v,13,0,bucketfirst,candidate_gate_accepted_fraction,1,0.1171875,0.0
passage_retrieval_zh,decode,v,13,1,bucketfirst,candidate_gate_accepted_fraction,1,0.046875,0.0
passage_retrieval_zh,decode,v,13,2,bucketfirst,candidate_gate_accepted_fraction,1,0.046875,0.0
passage_retrieval_zh,decode,v,13,3,bucketfirst,candidate_gate_accepted_fraction,1,0.140625,0.0
passage_retrieval_zh,decode,v,13,4,bucketfirst,candidate_gate_accepted_fraction,1,0.0703125,0.0
passage_retrieval_zh,decode,v,13,5,bucketfirst,candidate_gate_accepted_fraction,1,0.0703125,0.0
passage_retrieval_zh,decode,v,13,6,bucketfirst,candidate_gate_accepted_fraction,1,0.078125,0.0
passage_retrieval_zh,decode,v,13,7,bucketfirst,candidate_gate_accepted_fraction,1,0.0859375,0.0
passage_retrieval_zh,decode,v,14,0,bucketfirst,candidate_gate_accepted_fraction,1,0.1484375,0.0
passage_retrieval_zh,decode,v,14,1,bucketfirst,candidate_gate_accepted_fraction,1,0.1015625,0.0
passage_retrieval_zh,decode,v,14,2,bucketfirst,candidate_gate_accepted_fraction,1,0.1171875,0.0
passage_retrieval_zh,decode,v,14,3,bucketfirst,candidate_gate_accepted_fraction,1,0.0546875,0.0
passage_retrieval_zh,decode,v,14,4,bucketfirst,candidate_gate_accepted_fraction,1,0.0546875,0.0
passage_retrieval_zh,decode,v,14,5,bucketfirst,candidate_gate_accepted_fraction,1,0.1015625,0.0
passage_retrieval_zh,decode,v,14,6,bucketfirst,candidate_gate_accepted_fraction,1,0.0546875,0.0
