field,aggregate_presence_count,record_presence_count,histogram_presence_count,confusion_presence_count,status
task,0,0,0,0,missing
sample_id,0,0,0,0,missing
sample_index,0,0,0,0,missing
problem_id,0,0,0,0,missing
phase,0,387712,0,0,present
layer,0,387712,0,0,present
kv_head,0,387712,0,0,present
kv_type,0,387712,0,0,present
bucket,0,275200,0,0,present
token_index,0,69152,0,0,present
window_index,0,112512,0,0,present
candidate_count,0,0,0,0,missing
pattern_count,0,0,35840,0,present
l2_assignment,0,17104,0,0,present
minmax_assignment,0,17104,0,0,present
l2_assignment_count,0,0,0,0,missing
minmax_assignment_count,0,0,0,0,missing
assignment_mismatch_count,0,17104,0,0,present
assignment_total_count,0,17104,0,0,present
l2_residual_range,0,0,0,0,missing
minmax_residual_range,0,0,0,0,missing
range_regret,0,17024,0,0,present
range_regret_sum,0,0,0,0,missing
range_regret_sum_sq,0,0,0,0,missing
range_regret_count,0,0,0,0,missing
raw_range,48640,0,0,0,present
candidate_pattern_ids,0,0,0,0,missing
candidate_pattern_distances,0,0,0,0,missing
candidate_residual_ranges,0,0,0,0,missing
pattern_bank_identity,0,0,0,0,missing
