task,layer,kv_head,label,readiness,support_label,cross_hardware_consistent,v100_fnr,gpu4090_fnr,v100_fpr,gpu4090_fpr,v100_positive_support,gpu4090_positive_support
dureader,0,0,high_fp_risk,aggregate_only,low_support,False,0.15217391304347827,0.16666666666666666,0.25,0.16666666666666666,92,90
dureader,0,1,stable_high_fnr_low_support,aggregate_only,low_support,True,0.589041095890411,0.5507246376811594,0.043478260869565216,0.037037037037037035,73,69
dureader,0,2,unstable_across_hardware,aggregate_only,low_support,False,0.20481927710843373,0.15476190476190477,0.0,0.0,83,84
dureader,0,3,stable_high_fnr_low_support,aggregate_only,low_support,True,0.7894736842105263,0.8412698412698413,0.0,0.0,57,63
dureader,0,4,stable_high_fnr_low_support,aggregate_only,low_support,True,0.43243243243243246,0.4782608695652174,0.0,0.0,74,69
dureader,0,5,stable_low_fpr,aggregate_only,low_support,True,0.010526315789473684,0.0,0.0,0.0,95,94
dureader,0,6,stable_low_fpr,aggregate_only,low_support,True,0.07865168539325842,0.07608695652173914,0.0,0.0,89,92
dureader,0,7,stable_low_fpr,aggregate_only,low_support,True,0.0,0.0,0.0,0.0,93,94
dureader,1,0,stable_low_fpr,aggregate_only,low_support,True,0.10588235294117647,0.07142857142857142,0.0,0.0,85,84
dureader,1,1,stable_high_fnr_low_support,aggregate_only,low_support,True,0.28,0.3048780487804878,0.0,0.0,75,82
dureader,1,2,high_fp_risk,aggregate_only,low_support,False,0.058823529411764705,0.03488372093023256,0.18181818181818182,0.1,85,86
dureader,1,3,stable_high_fnr_low_support,aggregate_only,low_support,True,0.20588235294117646,0.24285714285714285,0.0,0.0,68,70
dureader,1,4,high_fp_risk,aggregate_only,low_support,False,0.022222222222222223,0.02247191011235955,0.16666666666666666,0.14285714285714285,90,89
dureader,1,5,stable_low_fpr,aggregate_only,low_support,True,0.04938271604938271,0.05,0.0,0.0,81,80
dureader,1,6,stable_high_fnr_low_support,aggregate_only,low_support,True,0.2125,0.2631578947368421,0.0,0.0,80,76
dureader,1,7,stable_high_fnr_low_support,aggregate_only,low_support,True,0.3076923076923077,0.27631578947368424,0.0,0.0,78,76
dureader,10,0,high_fp_risk,aggregate_only,low_support,False,0.08433734939759036,0.05,0.0,0.0625,83,80
dureader,10,1,stable_high_fnr_low_support,aggregate_only,low_support,True,0.24324324324324326,0.22535211267605634,0.0,0.0,74,71
dureader,10,2,stable_low_fpr,aggregate_only,low_support,True,0.1232876712328767,0.1282051282051282,0.0,0.0,73,78
dureader,10,3,stable_low_fpr,aggregate_only,low_support,True,0.15789473684210525,0.14864864864864866,0.0,0.0,76,74
dureader,10,4,unstable_across_hardware,aggregate_only,low_support,False,0.14864864864864866,0.21518987341772153,0.0,0.0,74,79
dureader,10,5,stable_high_fnr_low_support,aggregate_only,low_support,True,0.2,0.2894736842105263,0.0,0.0,80,76
dureader,10,6,high_fp_risk,aggregate_only,low_support,False,0.136986301369863,0.11538461538461539,0.0,0.05555555555555555,73,78
dureader,10,7,stable_low_fpr,aggregate_only,low_support,True,0.0379746835443038,0.05952380952380952,0.0,0.0,79,84
dureader,11,0,stable_low_fpr,aggregate_only,low_support,True,0.13580246913580246,0.13924050632911392,0.0,0.0,81,79
dureader,11,1,unstable_across_hardware,aggregate_only,low_support,False,0.14473684210526316,0.07792207792207792,0.0,0.0,76,77
dureader,11,2,stable_low_fpr,aggregate_only,low_support,True,0.05,0.05063291139240506,0.0,0.0,80,79
dureader,11,3,high_fp_risk,aggregate_only,low_support,False,0.11392405063291139,0.13414634146341464,0.29411764705882354,0.42857142857142855,79,82
dureader,11,4,stable_low_fpr,aggregate_only,low_support,True,0.06818181818181818,0.08139534883720931,0.0,0.0,88,86
dureader,11,5,stable_low_fpr,aggregate_only,low_support,True,0.19444444444444445,0.19402985074626866,0.0,0.034482758620689655,72,67
dureader,11,6,high_fp_risk,aggregate_only,low_support,False,0.024096385542168676,0.05,0.6923076923076923,0.625,83,80
dureader,11,7,stable_high_fnr_low_support,aggregate_only,low_support,True,0.20270270270270271,0.22857142857142856,0.0,0.0,74,70
dureader,12,0,stable_high_fnr_low_support,aggregate_only,low_support,True,0.34146341463414637,0.32926829268292684,0.0,0.0,82,82
dureader,12,1,high_fp_risk,aggregate_only,low_support,False,0.532258064516129,0.42424242424242425,0.3235294117647059,0.4,62,66
dureader,12,2,stable_high_fnr_low_support,aggregate_only,low_support,True,0.32142857142857145,0.2261904761904762,0.0,0.0,84,84
dureader,12,3,high_fp_risk,aggregate_only,low_support,False,0.024096385542168676,0.011904761904761904,0.07692307692307693,0.0,83,84
dureader,12,4,stable_low_fpr,aggregate_only,low_support,True,0.02531645569620253,0.025,0.0,0.0,79,80
dureader,12,5,stable_high_fnr_low_support,aggregate_only,low_support,True,0.27692307692307694,0.2328767123287671,0.0,0.0,65,73
dureader,12,6,stable_high_fnr_low_support,aggregate_only,low_support,True,0.3333333333333333,0.2839506172839506,0.0,0.0,81,81
dureader,12,7,stable_low_fpr,aggregate_only,low_support,True,0.11392405063291139,0.1125,0.0,0.0,79,80
dureader,13,0,unstable_across_hardware,aggregate_only,low_support,False,0.1,0.15384615384615385,0.0,0.0,90,91
dureader,13,1,stable_high_fnr_low_support,aggregate_only,low_support,True,0.28378378378378377,0.2894736842105263,0.0,0.0,74,76
dureader,13,2,unstable_across_hardware,aggregate_only,low_support,False,0.17857142857142858,0.23170731707317074,0.0,0.0,84,82
dureader,13,3,stable_high_fnr_low_support,aggregate_only,low_support,True,0.3076923076923077,0.30666666666666664,0.0,0.0,78,75
dureader,13,4,stable_low_fpr,aggregate_only,low_support,True,0.10256410256410256,0.07792207792207792,0.0,0.0,78,77
dureader,13,5,stable_high_fnr_low_support,aggregate_only,low_support,True,0.45454545454545453,0.4411764705882353,0.0,0.0,66,68
dureader,13,6,stable_low_fpr,aggregate_only,low_support,True,0.14102564102564102,0.1282051282051282,0.0,0.0,78,78
dureader,13,7,unstable_across_hardware,aggregate_only,low_support,False,0.07317073170731707,0.13580246913580246,0.0,0.0,82,81
dureader,14,0,stable_high_fnr_low_support,aggregate_only,low_support,True,0.3157894736842105,0.3150684931506849,0.0,0.043478260869565216,76,73
dureader,14,1,stable_high_fnr_low_support,aggregate_only,low_support,True,0.3088235294117647,0.37681159420289856,0.03571428571428571,0.0,68,69
dureader,14,2,stable_low_fpr,aggregate_only,low_support,True,0.012048192771084338,0.036585365853658534,0.0,0.0,83,82
