task,layer,kv_head,v100_fnr,gpu4090_fnr,v100_fpr,gpu4090_fpr,v100_accepted_fraction,gpu4090_accepted_fraction,v100_fn_count,gpu4090_fn_count,v100_fp_count,gpu4090_fp_count,v100_positive_support,gpu4090_positive_support,v100_negative_support,gpu4090_negative_support,fnr_abs_diff,fpr_abs_diff,accepted_fraction_abs_diff,fn_count_abs_diff,cross_hardware_consistent,support_label,fnr_stability_label,label,readiness,high_fnr_rank,low_risk_rank,rank_score
dureader,0,3,0.7894736842105263,0.8412698412698413,0.0,0.0,0.125,0.10416666666666667,45,53,0,0,57,63,39,33,0.05179615705931495,0.0,0.02083333333333333,8,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,1,1,"(1, -1, 0.7894736842105263, 98)"
passage_retrieval_zh,0,3,0.7169811320754716,0.576271186440678,0.0,0.0,0.15625,0.2604166666666667,38,34,0,0,53,59,43,37,0.14070994563479367,0.0,0.10416666666666669,4,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,2,2,"(1, -1, 0.576271186440678, 72)"
passage_retrieval_zh,0,1,0.6885245901639344,0.5666666666666667,0.02857142857142857,0.027777777777777776,0.20833333333333334,0.28125,42,34,1,1,61,60,35,36,0.12185792349726776,0.0007936507936507943,0.07291666666666666,8,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,3,1114,"(1, -1, 0.5666666666666667, 76)"
dureader,0,1,0.589041095890411,0.5507246376811594,0.043478260869565216,0.037037037037037035,0.3229166666666667,0.3333333333333333,43,38,1,1,73,69,23,27,0.03831645820925156,0.006441223832528181,0.01041666666666663,5,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,4,1123,"(1, -1, 0.5507246376811594, 81)"
passage_retrieval_zh,25,3,0.5357142857142857,0.559322033898305,0.0,0.0,0.2708333333333333,0.2708333333333333,30,33,0,0,56,59,40,37,0.02360774818401934,0.0,0.0,3,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,5,4,"(1, -1, 0.5357142857142857, 63)"
passage_retrieval_zh,22,7,0.5344827586206896,0.582089552238806,0.02631578947368421,0.0,0.2916666666666667,0.2916666666666667,31,39,1,0,58,67,38,29,0.04760679361811637,0.02631578947368421,0.0,8,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,6,1034,"(1, -1, 0.5344827586206896, 70)"
passage_retrieval_en,22,0,0.5344827586206896,0.6071428571428571,0.0,0.0,0.28125,0.22916666666666666,31,34,0,0,58,56,38,40,0.07266009852216748,0.0,0.05208333333333334,3,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,7,3,"(1, -1, 0.5344827586206896, 65)"
dureader,24,4,0.532258064516129,0.5735294117647058,0.0,0.0,0.3020833333333333,0.3020833333333333,33,39,0,0,62,68,34,28,0.04127134724857684,0.0,0.0,6,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,8,7,"(1, -1, 0.532258064516129, 72)"
passage_retrieval_en,26,7,0.576271186440678,0.5254237288135594,0.0,0.0,0.2604166666666667,0.2916666666666667,34,31,0,0,59,59,37,37,0.05084745762711862,0.0,0.03125,3,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,9,5,"(1, -1, 0.5254237288135594, 65)"
passage_retrieval_en,1,3,0.5194805194805194,0.5138888888888888,0.0,0.0,0.3854166666666667,0.3645833333333333,40,37,0,0,77,72,19,24,0.005591630591630592,0.0,0.02083333333333337,3,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,10,29,"(1, -1, 0.5138888888888888, 77)"
